,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601898.SH,X601991.SH,X600688.SH,X600660.SH,X601600.SH,X600188.SH,X600886.SH,X600795.SH,X600362.SH,X600547.SH,X000898.SZ,X002466.SZ,X600516.SH,X601992.SH,X600027.SH,X600111.SH,X600176.SH,X600299.SH,X002460.SZ,X000709.SZ,X600352.SH,X600339.SH,X300072.SZ,X600583.SH,X000553.SZ,X600808.SH,X002110.SZ,X600801.SH,X000629.SZ,X601158.SH,X000883.SZ,X000786.SZ,X000301.SZ,X600219.SH,X000932.SZ,X600426.SH,X000792.SZ,X000408.SZ,X600489.SH,X000539.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.21044355281362,0,0,0,0,0.0577039977516647,0.0522209460079202,0,0,0,0,0.0145543172288709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223125082339428,0,0,0.0918642189513372,0,0,0,-0.0123747895309765,0,0,0,0,0,0.0157457136664726,0,0.0401224065550199,0,0,0,0,0.0135687264624673,0.0188563621348771,0,0,0,0,0,0
X600028.SH,0,0,0.0831531848302288,0,0,0,0,0,0,0,0.211972637002028,0.147355564258528,0,0,0,0,0.0547144314077667,0,0,-0.0332816570870718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0638917353301971,0,0,0,0,0,-0.040025739687373,0.0646761673784182,0,0,0,0,0,0,-0.0898499670093048,0,-0.0100307077333725,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.153054041837603,0,0,0,0,0,0,0,0.0290692358075462,0.144796064221682,0,0,0.259645530767719,0,0,0,0,0,0,0,0.0424102258260193,0,0,0,0,0,0,0,0,0,0,0.0339960578162259,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00910438691752942,-0.0338293138091198,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0722365069128307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0414794461469642,0,0,0,0.238742964986512,0,0,0,0.322236401285047,0,0,0,0,0,0,0,0,0,-1.8960326936054e-05,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,-0.0110612038872897,0,0,0,0,0,0,0,0,0,0,0,0.243872224622386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0795158052213125,0,0,0,0,0,0,0,0.302407906213369,0,0,0,0,0,0,0.0108576290074965,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155414222810426,0,0,0,0,0.0676022165769093,0,0,0,0,0,0,0,0,0,0.101378307644197,0,0,0,0.10721072902839,0,0,0,0.216755991958938,0.110579372449187,0,0,0,0,0.00535894793313025,0,0,0,0,0,0,0
X600011.SH,0,0,-0.00567263490004693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0581265164519581,0,0.0331907900085932,0,0,0.740017455118986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0584717425651956,0,0,0.088563235287882,-0.0273720103495129,0,0,0,0.0128275543836321,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15623932855539,0,0.295416864495135,0.154135135031392,0,0,0,0,0,0.132755499982664,0,0,0,0,0,0,0,0,-0.0110591719692899,0,0,0,0,0,0.000715934759064877,0,0.0667768499280387,0.0327019175544479,0.0362395657786745,0,0,0.0155061485111532,-0.00257026512228223,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.293272732045958,0,0,0,0,0,0,0,0.063987934088485,0.0141362471069241,0,0,0.0452543775722357,0,0.0298171634977111,0,0,0,0,0,0,0,0.130955043149585,0,0,0,0,0,0,0,0,0,0.0494809563885675,0,0,0,0,-0.0115579648121024,-0.017210008555007,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.00368576810094779,0,0,0,0,0,0,0,0,0.181609714877255,0.13877818847038,0,0,0,0.0595399399219738,0,0,0.0777888186752743,0,0.0853423150045791,0,0,0,0,0,0,0,0,0,0,0,0,0.06851652140697,0,0,0,0,0.00259080207411448,-0.00122149298239749,0,0,0,0,0,0
