,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X600019.SH,X600660.SH,X000708.SZ,X600547.SH,X002271.SZ,X600011.SH,X600362.SH,X601600.SH,X000786.SZ,X600176.SH,X600886.SH,X601898.SH,X600426.SH,X002466.SZ,X600010.SH,X600188.SH,X000301.SZ,X600111.SH,X600352.SH,X601991.SH,X600801.SH,X600795.SH,X600489.SH,X600486.SH,X300037.SZ,X002080.SZ,X600688.SH,X600219.SH,X600803.SH,X600027.SH,X002353.SZ,X601992.SH,X600299.SH,X600399.SH,X600529.SH,X000898.SZ,X601168.SH,X000932.SZ,X002409.SZ,X000027.SZ,X000723.SZ,X000630.SZ,X600516.SH,X300073.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,-0.00821503398376244,0,0.106708385803612,0,0,0,0,0,0,0,0,0.0621614363228846,0,0,0,0,0,0,0,0,0.00264369637270121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00348561251354653,0,0,0,0,-0.00255320456449079,0,0
X600028.SH,0,0,0,0.0326805072412909,0,0,0,0,0,0,-0.0600689550546265,0,0,0,0,0,0,0,0.0378232847179037,-0.0133062957699493,0,0,0.0183491387553866,0,0,0,0,0,0,0,0,0.071464576912265,0,0,0,0.0223785153039239,0,0,0,-4.33680868994202e-19,-0.00818370919105155,0.150623570127165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00658414861541126,0,0
X601088.SH,0,0,0,0,0,0,0.0300519255702007,0,0,0,0,0,0,0,0,0,0,0.619143212809507,0,0,0,0.178663362588341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,-0.0688924227607969,0,0,0,0,-0.00782352492961595,0,0.0112150093393944,0,0,0,0,-0.00526098926154582,0,0
X600309.SH,0,0,0,0,0,0,0,0,0.297181318841409,0,0,0,0,0,0,0,0,0,0.184683183571879,0,0,0,0,0,0,0,0,0,0.124611713282165,0,0.0707083716614936,0,0,0,-0.178584415261928,0,0,0,0,0,0,0,0,0,0,0,0.0968765662146309,0,0,0.0377870930961299,0,0.0170588657265133,0,0,0,0,0.0153964538441968,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,-0.0496115938470728,0,0.00746886876140915,0.0264232788864786,0,0,0,0.0752897902185432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0418511118512184,0,0,0,0,0.057294877856889,0.0842852133717253,0,0,0,0,0,0,0,0,0.0373422541465193,0,0,0,0,0.00563520118785827,0,0
X002460.SZ,0,0,0,0,0,0,0,0.17435065842865,0,0,0.248846794789737,0,0,0,-0.00935281035943837,-0.0609248042478017,0,0,0,0.378384186479808,0,0,0,0,0,0,0,0,0,0,0.409943660686469,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.230846086421907,0,0,0,0,0,0,0.0121724807576704,-0.043821569113896,0,0,0,-0.0158665871271882,0,0
X600019.SH,0,0,0,0,0,0,0,-0.0589747676412446,0,0,0,0,0.113873575996408,0.0223927611360711,0,0,0,0.112422689835716,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0313036264894197,0,0,0,0,0,0,0,0.0775572095655032,0,0,0,0,0,0,0,0.121632869360646,0,0,0,0.0238015424956931,0.0535529105005983,0,0,0,0.000443626546486477,0,0
X600660.SH,0,0,0,0,0,0,-0.196142255196936,0,0,0,0,0,0,0,0,0,0,0,-0.0400967351297285,-0.000942180043994399,0,0,0.00552283589064079,0,0.0222060774138069,0,0.234898507648671,0,0,0.0111133667848017,0.21422761515132,0,0,0,0,0,0.0740064244735718,0,0,0.0714581772950551,0,0,0,0,-0.071357161563057,0,0,0,0,0,0,0.012804012764542,0,0,0,0,0.0123015990186106,0,0
X000708.SZ,0,0,0.0689815166531135,0,0,0,0,0,0,0,0,0,0.0861999923542402,0,0,0,0,0,0,0,0,0,0,0.122755564023818,0,0,0,0,0,0,0,0,0,0.131025558487314,0.104145555628973,0,0,0,0.179327894820566,0,0,0,0,0.133871603324671,0,0,0,0,0,0,0,-0.0559629143196654,0.106225682672597,0,0,0,0.0015356863524333,0,0
X600547.SH,0,0,0,0,0,0.0628998059861113,0.0573963591348163,-0.0421803114127531,0,0,0,0,0,0,0,-0.0215761539492729,0,0,0,-0.0321419258209698,0,0,0,0,0,0,0,0,0.585420802265518,0,0.0406467631947358,0,0,-0.00519522877161262,0,0,0,0,0,0.0500689387211224,0,0,0.00778193522841357,0,-0.00589290212778439,0,0,0,0,0,0,0.0116106457144473,0,0,0,0,0.00431068938435729,0,0
X002271.SZ,0,0,0.0579945797293908,0.204301941211104,0,0,0,0.0361196098968897,0,0,0,0,0,0,0,0.115268636559596,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0809042343252365,0,0,0,0,0,0,0,0,0,-0.221844277911447,0,0,0,0,0.149504305788867,0,0,0,0,0.0408385375282105,0,-0.0057259713903927,0.109032773473132,0,0,0,0.0368295278891215,0,0
