,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X600585.SH,X600011.SH,X601898.SH,X600547.SH,X601600.SH,X600660.SH,X000792.SZ,X002466.SZ,X600886.SH,X002460.SZ,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X600426.SH,X600795.SH,X000877.SZ,X002271.SZ,X600362.SH,X601699.SH,X600803.SH,X600489.SH,X600027.SH,X000983.SZ,X601991.SH,X600176.SH,X000807.SZ,X000786.SZ,X600160.SH,X000630.SZ,X000932.SZ,X000408.SZ,X600985.SH,X600219.SH,X000933.SZ,X300037.SZ,X600688.SH,X000629.SZ,X600612.SH,X000723.SZ,X002353.SZ,X600096.SH,X600157.SH,X002080.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.728178055292821,0,0,0,0,-0.081380050902727,0,0,0,0,0,0,0,0,0.16462737072656,0,0,0,0,0,0,0,-0.223950560715063,0,0,0,0,0,0,0,0,0,-0.0256712386138346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0264840500425501,0,0,0,0,0,0
X600028.SH,0.487390428630237,0,0,0,0,0.0462091795698829,0,0,0,0,0,0,0,-0.0678772140538787,0,0,0,0,0,0,0,0,0,0,0,0,0.0511701417409131,0.0505185251241974,0,0.0205681505038887,0,0,0,0.131012230395456,0.0220866091162484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00348304895166972,-0.00100311046279917,0,0,0,0,0,0
X601088.SH,0,0.0883226705131521,0,0,0.143145257109842,0,0,0,0.152845131596999,0,0.0976192359944763,0,0,0,0.0470932760957534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0544874928634147,0.0690480747234534,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0620016733837208,0,0,0,0.0493255782393448,0.0166829271583338,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0.0420549413493767,0,0,0,0,0,0.238888233044696,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.0351277257375631,0,0,0.0505544637086823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0264226240075907,0,0,0,0.0278850582103345,0,0,0,0,-0.17637261173467,0,0
X600188.SH,0,0,0,0,0,0.144232897755019,0,0,0.0169966222594998,0,0,0,0,0,0,0,0,0,0,0,0.0492012582196081,0,0,0,0,0,0,0,0,0.421393093296441,0,0,0,0,0,0,0,0,0,0,0.105773852949036,-0.00541616072101309,0,0,-0.0556511089830316,0,0,0,0,-0.180138720793196,0,0.0349471247895062,-0.0672505173172337,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.0829996497465944,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232978488921675,0,0,0,0.366422524566116,0,0,0,0,0,0,0,0,0,0,0.278219092680388,0,0,0,0.309478104845865,0,0,0,-0.242099615273569,0,0,0,0,0,0,0,0,-0.0267059505924044,0.0211826258054675,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.104059595821166,0,0,0,0,0.101735455221271,0,0,0,0,-0.110019920801489,0,0,0,0,0.055421176329649,0,0.166280400367471,0.238684386866048,0,0,0,0,-0.249612920112786,0,0,0,0.122843804683551,0,-0.0500595993376877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0036004072189037,0.0094257687374947,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.089491428767426,0,0,0,0,0,0,0,0,0,0.213705068842671,0,0,0,0,0,-0.133046490740143,0,-0.0380858757451811,0,0,0,0,0.00316628637319828,0.615149343972679,0,0,0.0221786293911648,0,0,0.0855247403915497,0,0,0,0,0,0,0.122839649401944,0,-0.0481494522539884,0,0,0,0,-0.150230265807061,0,0,-0.0136959304753715,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.151899930175783,0,0,0,0,0,0,0,0,0.0846898631850803,0,0,0,0,0,0,0,0,0,0,0,0.313557665566446,0.144633606977466,0.0348263371278432,0,0.0357449827299364,0,0,0,0,0,0,0,0.109690532087507,0.0624265285494473,0,0,-0.101074951675282,0,0,0,0,0,0,0,0,0,-0.000759781534115921,0,0,0,0,0,0,0
X600547.SH,0.0314462931497031,0,0,0,0,0,0,-0.0872318384042665,0,0,-0.220320568725106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50817685347357,0.0648777830182246,0.0514786737307744,0,0,0,0.0487789017136102,-0.0163396076073653,0,0,0,0,0,0.0276756334161539,0,0,0,-0.0415037185434998,0,0.14019776726952,0,0,0,0,0.00804750322242245,-0.0309842689980915,0,0,0,0,0,0
