,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X002460.SZ,X000708.SZ,X600660.SH,X601898.SH,X600886.SH,X600010.SH,X601600.SH,X600362.SH,X600801.SH,X600188.SH,X002466.SZ,X002271.SZ,X000786.SZ,X600795.SH,X600352.SH,X601991.SH,X600688.SH,X002353.SZ,X600111.SH,X600176.SH,X601992.SH,X600027.SH,X000723.SZ,X600426.SH,X600583.SH,X600516.SH,X600299.SH,X600489.SH,X000898.SZ,X601158.SH,X000932.SZ,X600219.SH,X000883.SZ,X000792.SZ,X000709.SZ,X600612.SH,X000553.SZ,X002080.SZ,X600486.SH,X000027.SZ,X000401.SZ,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0.00361002096465712,0,0.040937384538543,0,0,0,0,0.0175677819345348,0,0.0904763793936773,0,0,0,0,0,0.315068269064296,0,0,0,0,0,0,0,0,0,0.00717888743684698,0.0855290239872586,0,0,0,0,0,0,0,0,0,0.0864493105305048,0,0,0,0,0,-0.00931568986286187,0,0,0,0,0,0,0
X600028.SH,0.281632433723074,0,0,0,0,0,0,0.0280403120569368,0,0,0,0,0,0,0,0,0,0,0.00440615085376068,0,0,0,0,0,0.244176746251321,0.00188658872946541,0,0,0,0.0210095865894288,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000108997155150224,0,0,0,0,0,0,0,-0.00751980560733146,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0.0134624143392509,0,0,0.00914623295478157,0,0,0,0,0.058334011931668,0.294853743902774,0.00211797849997198,0,0,0,0,0,0,0,0,0,0,0,0.0750849583789003,0,0.0256577422361781,0.0242338136678802,0,0,0,0,0,0,0,0,0,0,0.0665714309894708,0,0,0,0,0,0,0,0,0,0,0,0.00235539397874816,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.508695888685425,0,0,0.0530755438376433,0,0,0,0,-0.0286631526762636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0204303361880317,0,0,0,0,0,0,0.0402732322845399,0,0,0,0.0773863898482699,0,0
X600309.SH,0,0,0,0,0,0,0,0,0.0382824382180999,0,0,0,0,0,0,0.0835584130668695,0.15610703633931,0,-0.156283386146936,0,0,0,0,0,0,0,0,0,0,0,-0.0181183674373755,0,8.67361737988404e-19,0.0685356231554637,0,0,0,0,0,0,0,0,0,0,0,0.24726548082544,0.0681402888082215,-3.46944695195361e-18,0,0,0,-0.0263686418671252,0,0,0,0,-0.00632535822288207,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.0364549322736102,0.0896339719559799,0,0,0,0.0873172558522307,0,0,0.0567382168573302,0.0899347753522934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0490733176327157,0,0,0,0,0,0,0.0042705401328724,0,0,0.0612791783004399,0,0,0.0081888945140148,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,-0.0633582003845457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.823632175724062,0,0,-0.0473502718359089,0,0,0.0486954080717906,0,0.118811436030786,0,-0.0371686136578396,-0.00217050966136482,0,0,0,0,0,0.0267831507184167,0,0,0,0.0599979345505835,0,0
X600011.SH,0,0,0,0,0,0,-0.0690059107724926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140980793940047,0,0,0.270215599920921,0,0,0,0,0.141149788776811,0.118051740831609,0,0,0,0.031638278054781,0,0.0449421609978059,0,0.0484988823054229,0,0,0,0,0,0.0978408593958568,0.0151238349382418,0,0,0,0,0,0,-0.00108282252596635,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.243681313989333,0,0,0.28157074304425,0,0,0,0,0,0,0,9.5176468440157e-05,0.124077068028178,-0.0931664678812243,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0456967697273345,0,0,0,0,0,0,0,0,0,0.270732690739208,0,0,0,0,0,-0.114612475741251,0.0656398084082623,0,0,0,0,0.0770007883071171,0,0
X000708.SZ,0,0,0,0,0,0,0,0,-0.189679329896032,0,0,0,0,0.0855392295277437,0,0,0,0,0,0,0.291230174213583,0,0,0,0,0.145411136291039,0,0,0,0,0.278353412078404,0,0,0,0.0661363102461703,0,0,0,0,0,0,0,0,0,0,0.0645817199264394,0,0,0.181891345619866,0,0,-0.110536278819373,0.125649189011687,0,0,0,0,0,0
