,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X600019.SH,X000792.SZ,X600111.SH,X600011.SH,X600188.SH,X600660.SH,X002271.SZ,X000877.SZ,X000708.SZ,X002466.SZ,X600010.SH,X000301.SZ,X601600.SH,X601898.SH,X600547.SH,X600886.SH,X600362.SH,X600426.SH,X600176.SH,X000723.SZ,X000786.SZ,X600219.SH,X000408.SZ,X601991.SH,X600795.SH,X600803.SH,X002080.SZ,X000807.SZ,X002353.SZ,X600688.SH,X600027.SH,X600801.SH,X600352.SH,X000825.SZ,X000959.SZ,X000630.SZ,X600157.SH,X000932.SZ,X300073.SZ,X600489.SH,X600516.SH,X300037.SZ,X600486.SH,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.254351454919689,0,0,0.101477672957005,0.00697600317433592,0.0326314797620159,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153680967478196,0,0.078967743947951,0,0.0182038999225983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0351981726800202,0,0,0,0,0,0
X600028.SH,0.0266405828173896,0,0,0,0,0,0,0,-0.0364644141979978,0.0266067331137747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0692586402711625,0,0.112280084691603,0,0,0,0.0427993469052259,0,0,-0.0164080215200751,0,0,0,0,0.0963470733810233,0,0,0,0,0,0,0.00542728545753431,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0.00382687124977206,0.131651648763549,0.00264692429084352,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247947145768822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0724484585135768,0,-0.00471474829640545,-0.0144028285237534,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0.0472117856529177,0,0,0,0.0248639558605494,0.073909453804453,0.0488031989048039,-0.198890028706548,0,-0.0697526765564729,0,0,0,0,0,0,0,0,0,0,0,0,0.0278895460118785,0,0,0.10507773190715,0.109594917564028,0,0,0.0346091305251612,0,0,0,0,0.0847616412118941,0.0200677474829306,0,0,0,0,0,0,0,6.93889390390723e-18,0,-0.0234789209769245,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0802994367675646,0,0.00301692255074822,0.0668976315984054,0,0,0,0,0,0,0,0.114165440448,0.0536825908687264,0.0391176114138568,0,0,0,0,0,-0.0169793378628465,0,0,0.0110123341662392,0.00533255940230802,0.359475617294907,0,0.0124229493538253,0,0,0,0,0,0,0,0,0,0,0,-0.0242764699760657,0,0,0,0,-0.0147067224381705,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,-0.0225449508369164,0.124829971768689,0.014950287125457,0,0,0.0397918337735797,0.560340832046215,0,0,0,0,0,0,0,0,0,-0.189864762267692,0,0,0.057011052674793,0,0,0,0,0,0,0,0,0,0,0,0,0.108203858987081,0,0,0.187835120607816,0.0600805042525572,0,0,0,0,0,-0.059181671516562,0,0,0,0,-0.0436961833530524,0,0
X600019.SH,0.128793809161827,0,0,0,0,0,0,0,0,0.0395572120436824,0.00985255731762701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0584304562865256,0,0,0,0,0,0,0,0,0,0.000915094808567028,0.0795102332056455,0,0,0.221295538702078,0.0238216244591914,0.00958894029659461,0,0.334517609200399,-0.0469375204100169,0,0,0,0,0,0,0.00759454721939875,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0.261935521814559,0,0,0,0,0,0,0.0305563452639785,0,0.113564628224163,0,0,0,0,0,0,0,0.207674418227696,0,0,0.118673217153993,0,0,0,0.0124523364391457,0,0,0,0,0,0,-0.359543425873191,0,0,0,0,0,0,0,0,0,-0.0182412971417231,0,0,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0.101532835607439,0,0.0104954175526791,0,0,0,0,0,0,0.114784354427487,0.188234683519997,0.199609519118737,0,0.00213964876948147,0,0,0,0,0,0,0.109652584889792,0,0,0,0,0,0,0,0.0996130657607818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0.262800691442215,0,0,0,0,0,0,0,0,0.0575785222175976,0,0,0,0.17561035553257,0,0,0,0.0516850125180979,0,0,0,0.00904717410853823,0,0,0,0,0,0,0.641799506914643,0,0,0,0,0,0.0441731701854895,0,0,0,0,0,0,0,0,0.0180526349011332,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0.133907814316089,0,0,0,0,0,0,-0.252167754950275,0.0668754277661382,0,0.339003762873813,0,0.0840147875334707,0,0,0,0,0,0,0,0,0,0,0.196952380258729,0.124236586295842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115123607427965,0,0.0342409798255389,0,0,0,0,0,0,0
X600660.SH,0,0,0.0821525450264295,0.365450322735073,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,-0.0594857795499991,0,0.0185769726972503,0,0,0,0,0,0,0,0,0,0,-0.0315602219710291,0,0,0,0.0366436096706743,0.0530842130745425,0,0,0,0,0,0,0,0,0,-0.232270213167249,0,0,0,0,0.0455074118024419,0,0,-0.0877608434622021,0,0,0,0,-0.111716711584452,0,0
