,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002466.SZ,X002460.SZ,X600585.SH,X000792.SZ,X000301.SZ,X601898.SH,X600019.SH,X600111.SH,X600011.SH,X600660.SH,X000708.SZ,X600010.SH,X000877.SZ,X002271.SZ,X600547.SH,X601600.SH,X600886.SH,X600795.SH,X600426.SH,X600176.SH,X600362.SH,X000629.SZ,X601991.SH,X600348.SH,X000408.SZ,X600803.SH,X600027.SH,X000983.SZ,X600096.SH,X000723.SZ,X002080.SZ,X300073.SZ,X600160.SH,X000786.SZ,X600141.SH,X601699.SH,X600219.SH,X600549.SH,X002353.SZ,X600157.SH,X600378.SH,X000933.SZ,X600295.SH,X300037.SZ,X600801.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0326600438468806,0,0,0,0,0,0,0.0855850035518453,0,0,0,0,0,0,-0.0323480268833169,0.0472215207328411,0,0,0,0.285666676350343,0,0,-0.00299489856637074,0,0,-0.118112196427754,0,0.00883305239327468,0,0,0,0,0,0,0,0,0,-0.0615541218949088,0.0310892410382406,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.0427091767929261,0.232153023795938,0.108506067419379,0,0,0.133144416092522,0,0,0,0,0.066940620686719,0,0,0,0,0.0108995576269313,0,0,0,0,0,0,0,-0.0849738878353084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341946880641885,0,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0,0.0457496207052572,0,0,0,0,0.0230247932205787,0,0,0,0,0.0328226992150181,0,0,0,0,0,0,0.0492815664013273,0,0,0,0,0,0.000849916296397565,0,-0.0114710484302527,0,0,0,0.0654489168000019,0,0,0,0,0,0,0,0,0,0,0.000540059018423282,0,0,0,0,0,0,0,0.00258845359083858,0,0,0,0,-0.0320561645112297,0,0
X600309.SH,0,-3.46944695195361e-18,0,0,0,0,-0.000550893833254245,0,0,-0.0651530852909937,0.0148072906604871,0,0,0,0,0.0460569952280015,0,0.0771660255004063,0,0,0,0,0,0.0675685164430418,0,0,-0.0183808020787353,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0524461961824339,-0.0230429511730735,0,0.107410810291136,0,0,0,0,0,0,0.00564630604284172,0,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0.455814897171164,0,-0.0457860238537454,0,0,0,0,0,-0.0297916007425749,0,0,0,-0.00594882841600258,0,0,0,0.0344004241389698,0,0.0168406074749817,0,0,0,0.0595810683171394,0,0,0,0,0,0,0,0.316483217862104,0,0.0341743103523517,0,0,0,0,0,0,0,0,-0.0927293128336333,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0.624164515033751,0,0.0995502506414761,0.0259654265614091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.202613030829645,-0.00338066437753931,0,0,0,0,0,0,0,0.102831516449337,0,0,0,0.180636099202171,0,0,0,0,0,0,0,0,0,0,0,0,0.0114603094837978,0,0,0,0.00136445043732974,0,0
X002460.SZ,-0.0590893514134639,0,0,0,0,0.218261255522135,0,0,0.0115526965307143,0,0,0,0,0,0,0,0.043189518533424,0,0.0528079414748703,0,0,0,0,0,0,0,0,0,0,0,0,-0.00374970712682374,0,0,0,8.67361737988404e-19,0,0,0,0.189535174354891,0,0,0,0,0,0,0.181149844697419,0,0.198138839157937,0,0,0,-0.0552808755177617,0,0,0,0.0541267829071216,0,0
X600585.SH,0,0,0,0,0,0,-0.00794126655166084,0,0,-0.0105902709137056,0,0,0,0,0,0,0,0,0.11983345915699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119702422399027,0.0587386969691338,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0.388005800557564,0,0,-0.0369806501111866,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.349841351860932,0,0,0,0,0,0,0,0.109782664068875,0,0,0.0572103085931546,0,0,0,0.0756544421605062,0,0,0,0,0,0,0,0.0836856179857061,0,0,0,0,0,0,0.0283083910095143,0,0,0,0,0,0.0276503561579327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0443409572733566,0,0
X000301.SZ,0,0,0,-0.107701459502961,0,0.343187624619518,0,0,0,0,0,0,0,0,0,0.24110516212566,0.153080131246013,0,0,0,0,0,0,0,0,0,0,0,0.0526797511188257,0.275067591830994,0,0,-0.0842176653216517,0,0,0.109986035422416,0,0,-0.0814066987583577,0,0,0,0,0,0,0,0,0,0,0,0,-0.172018163670898,-0.118941406875715,0,0,0,0.0575426079399693,0,0
