,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X000708.SZ,X002460.SZ,X600660.SH,X601898.SH,X600886.SH,X600010.SH,X601600.SH,X600362.SH,X600188.SH,X600801.SH,X002466.SZ,X600795.SH,X000786.SZ,X600352.SH,X002271.SZ,X601991.SH,X600688.SH,X002353.SZ,X600176.SH,X600111.SH,X601992.SH,X600027.SH,X600583.SH,X600426.SH,X000723.SZ,X600299.SH,X600516.SH,X600489.SH,X000898.SZ,X601158.SH,X600219.SH,X000883.SZ,X600612.SH,X000709.SZ,X000792.SZ,X002080.SZ,X000553.SZ,X000027.SZ,X000630.SZ,X600808.SH,X000818.SZ,X600486.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.00643554199021469,0.0528115120518903,0,0.00396963172758216,0,0,0,0.0314896413553036,0,0.00698934724740044,0.0485187691018965,0,0,0,0,0,0.389404701686125,0,0,0,0,0,0.011208532941881,0,0,0.0260090698281917,0.0506938281333778,0.0126078929962363,0,0,0,0,0.105049270786962,0,0,0,0.00634257204516662,0,0,0,0.0426379970374732,0,0,0,0,0,0,0,0.00290877438797747,0,0
X600028.SH,0.0309016844611783,0,0,0,0,0,0,0,0.00521831160464908,0,0,0,0,0,0,0.0558488693912281,0,0,0.0552646690658118,0,0.0404228446956386,0,0,0,0.335208872500949,0,0,0,0,0,0.0135126458441899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128506836452722,0,0,0,-0.00221428777934967,0,0,0,0.000146732008136577,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0.0315154949855841,0,0,0,0,0,0,0.30511136733002,0,0.0166532219762786,0,0,0,0,0,0,0,0,0,0,0,0.0405191175687422,0,0.0931358450602031,0,0.0248317663451665,0,0,0,0,0,0,0,0,0.0557502289808004,0.0538537585121898,0,0,0,0.00247938473295501,0,0,0,0,0,0,0,0.00388369248658877,0,0
X600585.SH,0,0,0,0,0.0838194661095337,0,0,0,0,0,0,0,0,0,0,0,0,0.44477471532278,0,0,0.0165020309550433,0,0.00125143957899095,0,-0.0320926397097602,0,0,0,0,0,0,0.0945959526540458,0,0,0,0,0,0,0,0,0,0,0,0.0799617245834501,0,0,0,0,0,0,0,0.0285144036476582,0,0,0,0,0.0570092933582367,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0998096737066317,0,0.25963935145745,-0.046380184722955,0,0.00952296944167517,0,0,0,0,0,0,0,0,0,0,0,-0.149585681771443,0,0,0.0534409522530841,0,0,0,0,0,0,0,0.120761406681122,0,0,0,0,0.104864982815691,0,0,0,-0.029868233770137,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.10449787805329,0,0,0,0,0.0383008054199262,0,0.0681067871779711,0.187327610415342,0,0,0,0,0,0,0,0,0,0,0.0374955354332785,0,0,0,0,0,0,0,0,0.29473219059919,0,0,0,0,0,0,0.0426295502141557,0,0,0,0,0.0381743894810767,0,0,0,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,-0.00467543323629005,0,0,0,0,0,0,-0.0359967845720381,0,-0.0266414623899879,0,0,0,0,0,0,0,0,0,0,-0.105986532995154,0,0,0,0.0811723263239049,0,0.86215971342214,0,0,0,0,0.247777791647679,0,0.00347016097872669,-0.0414566823667526,0,0,0,0,0,0,0,0,0.0158954520533027,0,0,0,0.0155899116295386,0,0
X600011.SH,0,0,0,0,0,0,-0.0695143653226448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251053933309881,0,0,0,0.0765618706621071,0.232915393150305,0,0,0.137229204029123,0,0,0,0.0467152110806866,0,0,0,0,0,0,0.0306551683479786,0.101708483337408,0,0,0,0.0301509824607685,0,0,0.0188887320555162,-0.0160257591284419,0,0,0,0,0,0
X000708.SZ,0,0,0,0.197887503743361,0,0,0,0,0,-0.113074109293471,0,0,0,0.309097478581809,0,0,0,0.0760238779040625,0,0,0,0,0,0,0,0.149428528238191,0,0,0,0,0,0,0.111249528594191,0.203055531920162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0697527145397475,0,-0.104967842950033,0.127033229307814,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0615444639563264,0,0,0,0,0,0.0274492911310107,0,0,0,0,0,0.450798112188775,0,0.0597633085520445,0.0935822985148646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0324746862110575,0,0,0,0,0.0946539217804777,0,0
