,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600188.SH,X601600.SH,X600019.SH,X600660.SH,X600585.SH,X600547.SH,X600886.SH,X600011.SH,X000792.SZ,X600795.SH,X600362.SH,X600010.SH,X600489.SH,X600111.SH,X000708.SZ,X002460.SZ,X600803.SH,X600027.SH,X000786.SZ,X600160.SH,X000301.SZ,X002466.SZ,X601991.SH,X000807.SZ,X600426.SH,X600219.SH,X000983.SZ,X601699.SH,X600985.SH,X000630.SZ,X000408.SZ,X002128.SZ,X600096.SH,X601168.SH,X000933.SZ,X600176.SH,X000877.SZ,X002271.SZ,X000883.SZ,X600352.SH,X600995.SH,X600378.SH,X002353.SZ,X000027.SZ,X000932.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.205261631553561,0,0,0,0.15238402046956,0,0,0,0,0,0,0,0.227764719857459,0,0,0.301226007312232,0,0,0,0,0,0,0,0,0,0,0,0,0.0327909878901959,0,0,0,0.0154325363136492,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0.170792274062597,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0.0341839467775242,0,0.0293080518392322,0,0.266413647078669,0,0,0.0154455362610556,0,0,0,0,0,0,0,0,0,0,0,0,-0.0689911104407062,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0.164997980150218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0255351813861313,0,0,-0.0283732977032991,0,-0.0028232981428002,0,0,0,0
X600028.SH,0.44981237570606,0.0656327719185462,0,0,0.234007387857905,0.0393213954611546,0,0,0,0,0,0,0,0,0.108384556529873,0,0,0,0,0,0,0,0,0,0,0,-0.0629907023227727,0,0,0,0,0,0,0,0,0,0,0,-0.142814767824536,0,0,0.0347750213401708,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.0165286308808926,0.0724003284016515,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114477921791672,0.118777692038445,0,0.0724704245997604,0,0,0,0,0,0.365060941803792,0,0,0,0,0,0,0.109001320095846,0,0,0,0,0,0.0129969516734581,0,0,0,0,0.0794920257232535,0.0268057113394717,0,0,-0.104901967941019,-0.0311329035412515,0,0,0,0,0,0
X601898.SH,0.0673087671840789,0.218849635811443,0.226317154116514,0,0,0.0593723505718125,0,0,0,0.0225737208641043,0.00175812188089313,0,0,0,0,0,0,0.1120774240141,0,0,0,0.031495420667611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0826312733730891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0857298086271715,0,0,0,0,0,0
X600188.SH,0,0,0,0,0.103404912221525,0,0,0,0,0,0,0,0,-0.132600910172757,0.0633726728312218,0,0,0,0,0,0,0,0.0307077684635524,0,0,0,0,0,0,0,0,0.227435502625665,0.463480347495871,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241538933290531,0,0.111577015807695,0,0,0.068901752949965,0,0.0778375475924643,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56866023012299,0,0.261603722939783,0,0,0,0,0,0.00534188198549524,0,0.377305264600406,0.1300928830769,0,0,-0.0635198832752468,0,0,0,0,0,0,0,0,-0.000139022882492551,-0.0471113027834021,0,-0.0698231193924503,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.204761010642493,0,0,0,0,0.12748730304153,0,0.151499981990565,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0.00652512624204588,0,0,0,0,0,0,0,0,0,0,0.143631948256094,0,0,0,0,0,0,0,0.22777954394651,0,0,0,0,0,0,0,0,0
X600660.SH,0,0,0,0.0152569900553711,0,0,0.0936116179108736,-0.129138112260137,0,0,0,0,0,0,0,0,0,0,0.0598580496482952,-0.0128441699543082,0,0,0,0.328571899778925,0,0,0.00941998759774739,0,0,0,0,0,0,0,0,0,0,0,-0.0763157076315605,0,0,-0.362583197531232,0.227239609430829,0,0,0,0,0,0,0,0,0,-0.0312577035576096,-0.105737211236937,0,0,0,0,0
X600585.SH,0,0,0,0,0.154960447960874,0,0,0,0,0,0,0,0,0.0789459690319276,0,0,0,0,0,0,0,0.0347813019595593,0,0.0459745214432403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0271388719701524,0,0,0.184880177817964,0.00599855795950725,0,0,0,0,0,0,0.310185787011907,0,0.0525563220865774,-0.010846442652348,0,0,0,0,0,0
X600547.SH,0,0,0,-0.125372240517393,0.00824719742027426,0.0525079202486358,0,0,0,0,0,0,0,0,0,0,0,0.807882010925338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0566048016340924,0,0,0,0,0,0,0,0,0,0.060174370657142,0,0,-0.0217445499960307,0,0,0,0,0.239851320712441,0,0
X600886.SH,0.187000679614326,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02744747432518,0,0,0.127529841520943,0,0,-0.186533987376598,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.0489934527310804,-0.0390886263727133,0,-0.0851230134808668,0,0,0,0,-0.046843675354796,0,0,0,-0.00406805110859919,0.0684114104938476,0.241576327797759,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0.00298875898614625,0,0.137774461415498,0,0,0,0,0.230763331538904,0,0,0,0,0,-0.0199076407420831,0,0.0772644323860484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0733581693132559,0,0.219966989676506,0,0,-0.0959692098220939,-0.0211836505723039,0,0,0,0,0,0
X000792.SZ,0,0,0,0.11363650807654,0,0,0,0.224869480818882,0,0,0,0,0,0,0,0,0,0,0,0,0.282158040873169,0,0,0,0,0,0.0256746596969985,0,0,0,0,0,0,0,0,0.0372659334433204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00602780781281086,0,0,0,0,0,0
