,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002466.SZ,X002460.SZ,X600585.SH,X000792.SZ,X601898.SH,X600011.SH,X000301.SZ,X600019.SH,X600111.SH,X600660.SH,X000708.SZ,X600010.SH,X000877.SZ,X600886.SH,X600547.SH,X600795.SH,X601600.SH,X002271.SZ,X600803.SH,X600426.SH,X601991.SH,X600176.SH,X600362.SH,X600027.SH,X000983.SZ,X000408.SZ,X000629.SZ,X600096.SH,X000723.SZ,X601699.SH,X600348.SH,X000786.SZ,X600141.SH,X600160.SH,X600219.SH,X300073.SZ,X002353.SZ,X002080.SZ,X600157.SH,X600985.SH,X600801.SH,X000933.SZ,X600549.SH,X600489.SH,X600486.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0.0414676620833278,0,0,0,0,0,-0.0551923950055355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227668290615154,0,0,0,0,0.169554953745318,0.0144008304726878,-0.0145930656387714,0,0,0,0,0,-0.0628561995808568,0,0,0,0,0,0,0,-0.0327342752786285,0,-0.00425011687961729,0,0,0,0,0,0
X601088.SH,0,0,0,0.113025017532306,0.338753341487861,0.159464682003507,0,0,0,0,0.17852106550292,-0.0297118344345719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0922663809120465,0,0,0.150473901560673,0,-0.00463458081999214,0,0,0,0,0,0,0,0,0,0.0677052193860697,0,0,0,0,0,-0.0255947185799987,0,0,0,0,0.026008583805857,0,0,0,0,0,0
X600028.SH,0,0,0,0.0326060011444704,0,0,0,0,0,0.0878149674524003,0.0175218883698329,0,0,0,0,0.0327254551985372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00627748178587201,0.0192036200737303,0,0,0.0172060353640784,0,0.00986205464602571,0,0,0,0,0,0,0,0,0,0.00439826957319665,0,0,0,0,-0.0380379651353158,0,0
X600309.SH,0,0.0326825769655844,0,0,-4.33680868994202e-19,0,0,0,0.0548732857430461,0.0430249439556335,0.0413168004594557,-0.0104716674987853,0,0,0,0.0086312462805412,0,0,0,0,0,0,0,0,0.0704251474527641,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0.0258166105133845,0,0.00688339192261111,0,0,0.0853861230611361,0,0.0857267028116826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600188.SH,0,0.0950674304090504,0,0,0,0,0,0,0,0.529170285481048,0,0,0,-0.00980255331731309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209253425818335,0,0.0471302704630002,0,0,0,0.0192180972000093,-0.0422149183787074,0,-0.0148241825811696,0,0,0,0,0,0,0,0,0,0,0,0,-0.0979690234767259,0,0,0,0,0.0135225559060507,0,0
X002466.SZ,0,0,0,0,0,0,0.603785818577421,0,0.373213201033897,0,0,0.020355775133328,0,0,0,0,0,0.0571997065302837,0,0,0,0,0,0,0,0,0,0,-0.168018075628764,0,0.00221921481617358,-0.169773062687156,0,0,0,0,0,0.0741967786851582,0,0,0,0.179562968562511,0,0,0,0,-0.0854228399337214,6.93889390390723e-18,0,0,0,0,-0.0119971079466111,0,0,0,0.0526192349057878,0,0
X002460.SZ,0,0,0,0,0,0.190571713738718,0,-0.191638293143325,0,0,0,0.0138519050716291,0,0,0,0,0,0,0,0,0,0,0.051620417506291,0,0,-0.00479811602917569,0,0,-0.041384880360706,0,0,0,0,0.138582395607297,0,0,0,0.231865909042735,0,0,0,0,0,0,0,0,0,0.00633056535516012,0,0,0,0.10949279558438,0,0,0,0,0.018728112128637,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0.0162242885945733,0,0,0,0.0221961170902397,-0.0219358417085066,0,0,0,-5.42101086242752e-20,0,0,0,0,0.139800296874341,0,0,0,0,0,0,0,0,0,0.0627366060871152,0.0875122848776507,0,0,-0.0808722942784258,0,0,0,0,0,0.517635889275269,0,0,0,0.0440288871741417,0,0.0460590995422699,-4.33680868994202e-19,0,0,0,-0.01624717058125,0,0
X000792.SZ,0,0,0,0,0,0.303184074048896,0.104377437566237,0,0,0,0.134165325109483,0,0,0,0,0,0.0550747293777415,0,0,0,0,0.14691594682774,0,0,0,0,0,0,0.0246551917795127,0,0,0,0,0,0,0.0756923199939677,0,0,0,0.0796428818056765,-0.03393136266098,0,0,0,0,0,0,0.0150348505628536,0,0.0362667049816577,0,0,0.0549207466723671,0,0,0,-0.104710901084224,0,0
X601898.SH,0,0.0618658547518298,0,0,0.0384355404349894,0,0,0,0,0,0,-0.011877140346654,0,0,0,0,0,0,0,0,0.0498036233333061,0,0,0,0,0,0,0,0,0.394386428840391,0,0,0.145576249341419,0,0,0,0,0,0,0.0690346942517788,0,0.232243265509921,-0.0274361055341477,0,0,0,0,0,0,0,0,0,-0.0223676288935509,0,0,0,0,0,0
