,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X601898.SH,X600547.SH,X601991.SH,X600660.SH,X600688.SH,X601600.SH,X600886.SH,X600795.SH,X600188.SH,X600362.SH,X600027.SH,X000898.SZ,X601992.SH,X002466.SZ,X600176.SH,X600111.SH,X002460.SZ,X600516.SH,X600299.SH,X000709.SZ,X000629.SZ,X600352.SH,X600808.SH,X600219.SH,X600489.SH,X600801.SH,X601158.SH,X000825.SZ,X000786.SZ,X300072.SZ,X000553.SZ,X000883.SZ,X600583.SH,X000792.SZ,X000408.SZ,X601699.SH,X600339.SH,X000301.SZ,X002110.SZ,X000630.SZ,X002271.SZ,X000027.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.198053765737437,0,0,0,0,-0.0239515523414175,0,0.206047884242585,0,0,0,0.0710644568466306,0,0,0,0,0,0,0,0,0,-0.0774970239617558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0838081259600837,0,0,0,0,0,0,0.313417463268947,0.211548335019453,0,0,0,0,0,-0.0231541197359516,0.0676764490821826,0,0,0,0,0,0
X600028.SH,0.414814238535974,0,0,0,0.0673194937989551,1.35525271560688e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122915055331833,0,0,0,0,0,0,0,0,0,0,0,0,0.00515167576487584,0,0,0.145056992857921,0,0,0,0,0,0,0,0.275360221151903,0,-0.0140877300742161,0,0.0947820344806087,0,0,0,0,0,0
X601088.SH,0.314069046465393,0,0,0,0,-0.10385380469749,0,0,0,0.0292738051151306,0,0,0,0,0,0,0.110453683467491,0,0,0,0,0,0,0,0,0,-0.0826686713298483,0,0.0699146727672861,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141513244552083,0,0,0,0.140009642610532,0,0,0,0,0.0121077005757507,-0.0407620114870775,-0.0579353445302961,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0530435633288076,0.120677818398391,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0175694470689144,0,0,0,0,0,0,0,0.0253368295862507,0,0.093548058279425,0,0,0.502898596936245,0,0,0,0.0350673534843963,0,0,0,0.192006007738066,0,0,0,0,0,0,0,0,0,0.0167992113681799,-0.00287605691394692,0,0,0,0,0,0
X600019.SH,0,0.208702089696443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0237544050047552,0,0,0.537107742073261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216128984705735,0,0,0,0,0,0,0,0,0,-0.00627275379133714,3.25390063099116e-06,0,0,0,0,0,0
X600011.SH,0,0.0885493359295342,0,0.0537787040090384,0,0,0.0227385873565951,0.0166430290536234,0,0,0,0,0,0.0114857559025488,0,0,0,0,0.699749381466906,0,0,0,0,0,0.0342948708444515,0,0,0,0,0,0,0,-0.211492793621512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0157663876967013,0.0564893261349516,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0619331031826023,0,0,0,0,0.187514892087624,0,0.128858669135753,0,0,0,0,0,0,-0.0565080789781855,0,-0.228502266488068,0,0,0,0,0,0,0,0,0,0.2770730410864,0,0,0,0.0699167744359486,0,0,0,-0.485499576208085,-0.107003279720375,0.231150672348795,0,0.421900287190187,0,-0.363173066851811,0,0
X600010.SH,0.157845324699229,0,0,0,0,0.0414533110310925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190918797888684,0,0,0.187387854651907,0,0,0,0,0,0,0,0,0,0,0,0.00611869418375128,0,-0.0134506223716223,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111040066898468,-0.0474604482640409,0,0,0,0,0,0
X601898.SH,0.164523580537808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0547094178635648,0,0,0,0,0,0,0,0,0,0,0.222920952308597,0,0,0,0,0,0,0,0,0,0,0.00261918224209612,0.0795431843494483,0.12000893657352,0.162932369361128,0,0,0.117588495951303,0,-0.0179257952315141,0,0,0,0,-0.0464767675895565,0,0
X600547.SH,0,0,0.0130804617376539,0,0,-0.0392474070805283,0.0617720037972878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0484176157460617,0,0,0,0,0,0,0,0.477186987799213,0,0,0.259291120417203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0182419889558803,0,0,0.0177954842364822,0,0,0,0
