,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X600585.SH,X600011.SH,X002460.SZ,X002466.SZ,X000792.SZ,X600547.SH,X601600.SH,X601898.SH,X600111.SH,X600660.SH,X002271.SZ,X000708.SZ,X600010.SH,X000301.SZ,X600886.SH,X000877.SZ,X600362.SH,X600426.SH,X600795.SH,X600803.SH,X600176.SH,X600489.SH,X600027.SH,X601699.SH,X000983.SZ,X601991.SH,X000807.SZ,X600160.SH,X000786.SZ,X600995.SH,X000629.SZ,X300037.SZ,X600219.SH,X000932.SZ,X002080.SZ,X000933.SZ,X600378.SH,X000723.SZ,X000408.SZ,X600688.SH,X600096.SH,X000831.SZ,X600157.SH,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.186045575545246,0,0,0,0,0,-0.0702971286398779,0,0,0,0,0.0902630420919766,0,0,0,0.0645942963069783,0,0,0,0,0,0,0,0,0.00246479732599832,0.0449388512528163,0,0,0.0673626347853581,0,0,0,0,0.0791381333851602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0464996523284115,-0.0509634317503612,0,0,0,0,0,0
X600028.SH,0.37748546651334,0,0.201209466872598,0,-0.0847817206492015,0,0,0,0,0,0,0,0.160289859261553,0.140000031546502,0,0,-0.000745778571481804,0,0,0,0,0,0,0.140828167653137,0,0,0,0,0,0,0,0,0,-0.1034148542887,-0.0379639036291219,0,-0.0733514243002391,0,0,0.0190260937673842,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.0121606852249981,-0.0391737380619469,0,0,0,0,0,0
X601088.SH,0,0.108776587734846,0,0,0,0,0,0.00546825674490749,0,0,0,0,0.0620901284788106,0,0,-0.0528026228783277,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126344714336849,0,0.0543564069259725,0,0,0.0933216192514115,0,0,0,0,0,0,0.0413885337968763,0.00749938434832537,0,0,0,0,0,0,0.0652246225844471,0,0.003233710901707,0,0,0,0,0,0,0
X600309.SH,0.111938485409783,0,0,0,0.0766306189819486,0,0,0,0,0,0,-0.0024292608478648,0,0,0,0,0,0,0,0,0,0,0,0.28896270191374,0,0,0,-0.0412737883504412,0,0,0.0904084085376907,0.228735441452765,-0.0464817458411308,0,0,0,0.0855916840882616,0,0,0,0,0,0,0,-0.0497169014688576,0,0,0,0,0,-0.0737445433968425,-0.0305285937282066,0.0391519683632487,0,0,0,0,0,0
X600188.SH,0,0,0.425382409493778,-0.0132641517194962,0,0,0,0,0,0,-0.09930880626216,0,0,0,0,-0.422750498691322,0.0553218208894527,0,0,0,0,0,0,0,0,0,0,0,0,0.144909365543448,0,-0.104632962826451,0.0474424160200372,0,0,0,0,0,0,0,0,0.256282920186447,0,0,0,0,0,0,0,0,0,-0.030838482912766,0.025531338505624,0,0,0,0,0,0
X600019.SH,0.150935981793856,0.162873858126651,0,0,0.0844104188692872,0,0,0,0,0,0,0,0.0956538597790347,0.0518454110803002,0,0,0,0.0336755482544229,0,0.0993214516958588,0,0.279256630611601,0,0,0,0,0.0624551071481371,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0785181354875335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106238067442533,0,0,0.100730933027269,0,0.435920844853341,0,0,0,0,0,0,0.0168333556500298,0,0,0,0,0,0,0,0,0.00377174414667414,0,0,0,0.0947880360828088,0,0.00748787499589937,0,0,0.0585285670071317,0,0,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0564150205578826,0,0,0,0,-0.0109482424228999,-0.0879980961944964,6.93889390390723e-18,0,0,0,0,0.426188892430507,0,-3.46944695195361e-18,0,0,0,0,0,-0.176639780920623,-0.0115054846571756,0,0,0,-0.0478473423010761,0.0616780563869726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002460.SZ,-0.0749614903608035,0,0,0,0,0,0,0,0,0.718012326543847,0,-0.0264716109688977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.0888644973500008,0,-0.0594068069244677,0,0,0,0,0,0,0,0,0,0.0329782197449381,0,0,0,0,0,0,0,-0.00442343684912167,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0.531847126989663,0,0,0,0,0,0.131968846057902,0,0,0,0,0.0754270275407087,0,0,0.0581783667796033,-0.0346715616855756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0428937861197973,0.0267902946848857,0,0.0533399690690393,0,0,0,0,0,0,0,-0.0267770985527327,-0.00841200115341118,0,0,0,0,0,0,0
