,X601857.SH,X600028.SH,X600309.SH,X601088.SH,X002460.SZ,X600585.SH,X600111.SH,X002466.SZ,X600019.SH,X002271.SZ,X600660.SH,X600010.SH,X000301.SZ,X000708.SZ,X601600.SH,X601898.SH,X600362.SH,X600188.SH,X600547.SH,X600426.SH,X600176.SH,X000786.SZ,X600011.SH,X600886.SH,X600219.SH,X000408.SZ,X600399.SH,X000825.SZ,X300037.SZ,X601991.SH,X000932.SZ,X600803.SH,X002080.SZ,X600795.SH,X002409.SZ,X000723.SZ,X000959.SZ,X600486.SH,X000898.SZ,X600549.SH,X002145.SZ,X600352.SH,X000027.SZ,X000807.SZ,X600489.SH,X000831.SZ,X002407.SZ,X002192.SZ,X000012.SZ,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,-0.0861133975342231,0,-0.0152271910510467,0.0754347774962777,0,0,0,0,0,0,0.0590679804591848,0,0,0.0164416351579871,0,0,0,0,0,0,0,0,-0.0433280164856964,0,0,0,0,0,0,0,0,0.0427324455692971,0.0676747827953625,0,0,0,0,0,0.0983401737478883,0,0,0,0,0,0.0280101247669269,0.0285738256870377,0,-0.0105662461621044,0,0,0,0,0,0,0
X600028.SH,0.0586557651773648,0,0,0,-0.0441037911244131,0,0,0,0,0,0,0,0.0613041170090244,0,0,0,0,0.0187737001897715,0,0.0588015402191231,0.00962825585021424,0,0,0,0,0,-0.0103977400198266,0,0,0,0,0,0,0,-0.0124638711323799,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0624462893394715,0,0,0,0,0,0.0305152279057238,0,-0.0163793303835874,0.0448899315027005,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0.0295632256882348,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.184295493229367,0,0.154127260294818,0,0,0,0,0,0,0.0445999303752049,0,0,0,0,0,0.0377483636406978,0,0,0,0,0,-0.063216351801988,0,0,0.0916859955672382,0,0,0,0,0,0,0,0,-0.0034470888510026,0,0,0,0,0,0
X601088.SH,0,0,0,0,-0.0254038769801891,0.012190403235922,0,0,0,0,0,0,0,0,0.0340376927535296,0,0,0.219582784814433,0,0,0.0639912510006456,0.156792144138588,0,0,0,0,0,0,-0.0663635619325341,0,0,0,0,0,0,0.00786494750064697,0,0,0,0.0148642847124431,0,0,0,0,0,0,0,0,0,0,0,0.00470945452819748,0,0,0,0,0,0,0
X002460.SZ,0,0,0.135547695465471,0,0,0,0,0.098693223701079,0,0,0,0,0.0989287316070833,0,0,0,0,0,0,0,0,0.0833357790830348,0,0,0,0,0,0,0,0,0,0,0,0,0.0849571279413734,0,0,0,0,0.144586160236791,0.164610687867123,0,0,0,0,0.0300904389964543,0.0748222378444626,0.351843837556506,0,0.0865560148092559,0,0.0524317609315467,-0.0567132064638389,0,0,0,0,0,0
X600585.SH,0.0233135495626285,0,0,0,0,0,0,-0.0683466066223261,0,0,0,0.0160974899361479,0.0785818724621926,0,0,0,0,0,0,0,0.111485929405691,0.177670142653148,0,0,0,0.0259606987677645,0,0,0,0,0,0,0,0,-0.0382136085571938,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050172985773188,0,0,0,0.058794104248436,0,0,0,0,0,0
X600111.SH,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.29232493034064,0,0,0,0,0,0,0,0.0837150381739897,0,0,0,0,0,0,0,0,0.0777001081011343,0,0,0,0,0,0.026576343511321,0,0,0,0,0.050706288106412,0,0,0.0436269766035766,0,0,0.2394716545284,0,0.169672616599824,-0.0217729746737872,0,0,-0.0277072614052075,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0.296488219119948,0,0,0,0,0.0929445724013001,0,0,0.348711830959394,0,0,-0.237134859579444,0,0,0,0,0,0,0,0.118729133193372,0,0.0660068223675503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0565098415962253,0,0,0,0,0.255571990880827,0,0,0,-0.211705939127494,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0360968379440339,0,0,0,0,0,0,0,-0.0313896210624345,0,0,-0.0853112147224218,0,0.0645425721595997,0,0,0,-0.0259017064088908,0,0.0968243154503412,0,0.366169379239088,0.0715508873857201,-0.0337243088220687,0,0,0,0,0.0576778833621969,0,0,0,0,0,0,0,0,0,0,-0.0575963564613703,0,0
X002271.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.145723800102614,0,0,0,0.013848676787906,0,0.212661076574008,0,0.0540227602180042,0.123337998668941,0.0839810745555618,0,0,0,0,0,0,0,0,0.102831796259983,0.145246125469422,0,0,0.158058171544333,0,0,0,0,0.0713366129834277,0,0,0.0334682072789912,0,0,0.0271987581105136,-0.0221704231472691,0,0,0,0,0,0
