,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600019.SH,X600795.SH,X600585.SH,X601600.SH,X601898.SH,X601991.SH,X600010.SH,X600688.SH,X600886.SH,X600111.SH,X600362.SH,X600027.SH,X600188.SH,X600157.SH,X600583.SH,X601992.SH,X600021.SH,X000709.SZ,X600309.SH,X601158.SH,X600352.SH,X000898.SZ,X000539.SZ,X600489.SH,X000792.SZ,X600547.SH,X000629.SZ,X000825.SZ,X000060.SZ,X600808.SH,X600660.SH,X000027.SZ,X000883.SZ,X002353.SZ,X600008.SH,X600578.SH,X600863.SH,X000831.SZ,X600307.SH,X002470.SZ,X600549.SH,X000959.SZ,X000630.SZ,X600219.SH,X000012.SZ,X600315.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.474157476180851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00499479592922667,0,0.0731548594342313,0,0,0.0243576381399147,0,0,0,0,0,0,0,0,0,0,0,0,0.00535941285290745,0,0,-0.0633624899638129,0,0.0657310433338428,0,0,0,0,0,0,0,0,0.0216146279471981,0,0,0,0,0,0
X600028.SH,0.66700019882072,0,0,0,0.0535283264465296,0.0186360319049955,0,0.00363916011676983,0,0,0,0,0,0,0,0,0,0,0,0,0.00739575480162302,0,0,0.0303456332058782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00830939164210965,0,0,0,0.000548642352663715,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.390353506371184,0,0.198680043973868,0,0,0,0,0,0,0,0.0608957539725606,0,0.00661335921626939,0,-1.73472347597681e-18,0,6.93889390390723e-18,0,0,0.0894459487117124,0,0,0.0333775307715172,0.0636671296028771,0,0,0,0,0,0,0,0.000934716540865594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0.0328945034888324,0.249815085428024,0.071019217417955,0,0,0,0,0.112622422596069,0,0,0,0.022589473995965,0,0,0,0,0,0.211144388677548,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147591885082423,0,0,0,0,0,0,0,0,0,0,0,0.0042479770333401,0.00532817086946964,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.00848302376729422,0,0,0,0.0884324189906648,0,0,0,0,0,0,0,0.0539026200542271,0.170159014472402,0,0,0,0.378968438738034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101626636007221,0,0,0,0,0,0
X600795.SH,0,0,0,0.240474643632272,0,0,0,0,0,0.109352051636342,0,0.0492111285360613,0,0,0,0.145243365297408,0,0.0628649685611419,0,0,0.0950324251745402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201095479026478,0,0,0,0,0,0,0,0,0,0,0,0.0296391047290094,0,0,0,0,0,0
X600585.SH,0,0,0.423422187702792,0,0,0,0,0,0,0,0,0,0.107841159253478,0,0,0,0,0,0,0.0362970090945812,-0.0363741562610725,0,0.168394900854075,0,-0.00242104534967411,0,0,0,0,-0.0279913695298741,0,0,0,-0.00565515769731325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0158139980263518,-1.73472347597681e-18,0,0,0,0,0,0
X601600.SH,0,0,0.275360509224358,0,0.014323488007742,0,0,0,0,0.0488859771442722,0,0.0646908154457203,0,0,0,0,0,0,0,0,0.0429967784804382,0,0,0,0.00861127459904194,0,0,0,0,0,0,0.0679104086787951,-3.46944695195361e-18,0.0658579095003402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00461868439427581,0.0464302466678825,0,0,0,0,0,0
X601898.SH,0,0,0.182607782766152,0,0.173735502735977,0,0,0.197736915407446,0,0.0135453594267913,0,0,0.0737644102727747,0,0,0,0,0,0,0.0797748968058168,0.0239679118686707,0,0,0.0150499246328865,0,0,0,0,0,0,0,0,0,0.0266408439482471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0446374998901183,0,0,0,0,0,0
X601991.SH,0,0,0,0.256471076965711,0,0,0,0,0.330066293972543,0,0,0,0,0,0,0,0,0,0.134443327169244,0.0230419526087282,0.204100014297687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357186571773264,0,0,0,0,0,0,0,0,0,0,0,0.0819115289680037,0,0,0,-0.00555642229571685,0,0,0,0,0,0,0
