,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X601898.SH,X601600.SH,X600795.SH,X600688.SH,X600585.SH,X600886.SH,X601991.SH,X600027.SH,X000709.SZ,X600583.SH,X600157.SH,X600362.SH,X000539.SZ,X600111.SH,X600188.SH,X601992.SH,X002075.SZ,X000898.SZ,X600309.SH,X601158.SH,X600352.SH,X000027.SZ,X000792.SZ,X600863.SH,X002353.SZ,X000629.SZ,X000883.SZ,X600021.SH,X000825.SZ,X600307.SH,X600808.SH,X600578.SH,X000060.SZ,X601918.SH,X600098.SH,X600489.SH,X000878.SZ,X600022.SH,X600660.SH,X000959.SZ,X600547.SH,X002470.SZ,X600008.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.514942701743954,0,0,0,0,0,0,0.0323337025926693,-0.000539581714770046,0,0,0.0686294199747721,0,0,0,0.0120385500704883,0,0,0,0,0.0364457623860548,0,0,0.138897651525417,0,0.000605140107251963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0624556450581748,0,0.00814223341520513,-0.000639060163792744,0,0,0,0,0,0
X600028.SH,0.477241088052314,0,0,0,0,0,0.126075174192012,0,0,0,0,0,0,0,0.0217953113831733,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0540710532528232,0,0,0,0,0,0,0,0,0.0639260904920334,0,-0.000738420344047186,0.0206424832513344,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.147479656988473,0.112508507969409,0,0,0.0462373996232356,0,0,0,0,0,0.0667440380461062,0,0,0,0.0159567581364272,0,0,0,0,0,0.137172423355531,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,1.73472347597681e-18,3.46944695195361e-18,0.0245347744229353,0,0,0,0,0,0,0,0,0,0,-0.0125678081349951,5.42101086242752e-20,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.0647110185376171,0,0.034052238471253,0,0,0,0.142120205920186,0.218297280262278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.0201586534718043,0.390621399652001,0,0.0193036336096052,0,0,0,0,0,0,0,0,0,0,-0.00411933639222784,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0349277780010335,0,0,0,0,0.0637250881325155,0,0,0,0,0,0,0,0.0794433160286431,0,0,0,0.117324901093131,0,0,0,0,0.228582218519602,0,0.122751351967213,0,0,0,0,0.166561485660425,0,0,0,0,0,0,-0.00665366966855373,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.0840499403119336,0,0,0,0,0,0,0,0.124799672092913,0.0054043828151598,0,0,0,0,0,0,0,0.187613968379762,0,0,0,0,0,0.0621547237401069,0,0,0,0.0147662295277892,0,0,0.049268676634926,0,0.104276121037971,0.0902540578208381,0,0,0,0.062220171580667,0,0,0,0,0,0,-0.00287621999367757,0,0,0,0,0,0,0
X601898.SH,0,0,0,-6.93889390390723e-18,0,0,0,0.138287610740334,0,0,0,0,0.25067570919222,0,0,0,0,0.100440283716505,0,0,0.0279653975564819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108111248203854,-3.46944695195361e-18,0,0.189015878847717,0,0,0,0,0,0,0,0,0.00309825073079635,0,0,-4.33680868994202e-19,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0.0948487947209602,0,0,0.040065413078702,0,0,0,0.0307155367372183,0,0,0.088368791552036,0,0,0,0,0.0770008168521116,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0.229166266337482,0,0.136351742819886,0,0,0,0,0,0,0,0,0,0,0,-0.00441018754757792,0.00760462357723691,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0.0715716473949259,0,0,0,0,0.0826806990712572,0.0578882262149823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.374126538147592,0,0,0,0.144595681097209,0,0,0,0.0821859273662762,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133025644819092,0,0,0,0,0,0
X600688.SH,0,0.10020767229964,0,0,0,0,1.0842021724855e-19,0.0165286678537221,0,0,0,0,0,0,0.013051669985409,0.238532852036711,0,0,0,0,0,0,0,0,0,0.0114868509640977,-0.098261617413115,0.03263118987324,0,0,0,0,-0.113196143558623,-0.102582195487716,0,0,0,0,0.0289770792458636,0.446120119764725,0,0,0,0,0,0,0,0,0,0,-0.0208582333114285,0,0,0,0,0,0,0
