,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600585.SH,X600019.SH,X601898.SH,X601991.SH,X600795.SH,X601600.SH,X600886.SH,X600188.SH,X600010.SH,X600111.SH,X600362.SH,X600027.SH,X600309.SH,X600688.SH,X600583.SH,X601992.SH,X000898.SZ,X601158.SH,X000709.SZ,X600352.SH,X000792.SZ,X600489.SH,X000883.SZ,X600547.SH,X000539.SZ,X002353.SZ,X000629.SZ,X000027.SZ,X600808.SH,X000825.SZ,X000831.SZ,X000630.SZ,X600578.SH,X600008.SH,X600549.SH,X600660.SH,X601699.SH,X000983.SZ,X600315.SH,X600863.SH,X600307.SH,X002470.SZ,X600098.SH,X000937.SZ,X600348.SH,X000959.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.522245341930646,0,0,0,0,0,0,0,0,0,0.0920255945033314,0,0,0,0,0,0,0,0.0613480763429466,0,0,0,-0.140400004932457,0,0,0,0,0,0,0,0,0,0,0.00222531912243929,0.0949273448959713,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022786219833225,0,-0.0548477594401779,-0.0051223759299101,0,0,0,0,0,0
X600028.SH,0.480066714637153,0,0,0,0,0,0,0,0,0,0,0.0392528240114678,0,0,0,0,0,0.309303652618848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0557969174385855,0,0,0,0,0,0,0,0,0,0,0,0,-0.0386885633423368,0,0,0,0,0,0,0
X601088.SH,0.0338120736893071,0.0286887470913657,0,0,0,0.0414129674217098,0.0661756995541977,0,0,0,0,0.164585163191514,0,0,0,0,0,0,0,0.0657512011797052,0,0,0,0,0,0,0,0,0,0,0,0,0.0280850981378372,0,0,0,4.33680868994202e-19,0,0,0,0.0452356737183033,0.285511161164802,0,0,0,0,0,0,0,0,0,0,-0.00409946098291384,0,0,0,0,0,0
X600011.SH,0,0.101616258974338,0,0,0,0.138927328362313,0,0.0643913785731332,0,0,0.298889753608636,0.0890640075896591,0,0,0,0.0540509257639061,0,0,0.00326681258184202,0,0,0,0.0303770736226508,0,0,0,-0.093376630808792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0754366473213229,0,0,0,0,0,-0.00395399421331608,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0700683723118744,-3.46944695195361e-18,0,0.00400228737326817,0,0,0,0.0140348005176875,0,-0.0441281926351804,0,0.206865035101181,0,0,0,0,0,0,0.0242803775835248,0,0,0,0.0184200963466913,0,0,-0.0589576520982474,0,0,0.0300409390460266,0,0,0,0,0,0,0.0496616526763735,0,-0.0149370143298418,0,-0.0799587029170692,-0.0190938305046526,0,0,0,0,0,0
X600019.SH,0,0,0,0.144437805891078,0,0,0,0,0,0,0.0185511284998079,0,0.0935988272014748,0,0,0.0262237124756072,0,0,0,0,0.469065324132079,0,0.105249269560068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0106618297134045,0,0,0,0,0,-0.0460617186528421,-0.0124210109632685,-0.0323834919036589,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0.0811610912705701,0,0.0753871288500654,0,0.0363202343620011,0,0,0,0.0532850970964046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186264184636874,0,0,0,0,0,0,0,0,0,0,0.477963041675114,0,0,0,0,0,0,0,0,0,0,-0.00187361970443873,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0.100939180497655,0.146018950575459,0,0,0,0,0,0,0,0.0769944293929846,0,0,0,0,0,-0.0131687366263476,0,0,0,0,0,0,0.0907011279666134,0.0109703138687004,0,0,0,0,0.101870560628514,0,0,0,0,0,0,0.0281653309544402,0,0,0,0,0,0,0,0,-0.0182260490830743,0,0,0,0,0,0
X600795.SH,0,0.112101920152123,0,0,0,0,0,0,0,0.00470011621560597,0.301660588583922,0,0,0,0,0.0970057792105866,0,0,0,0,0,0,0.10882261345083,0,0,0.114374078991122,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,-0.0191320895391375,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0.292497717797635,0.128113440459584,0.0412206382743824,0,0,0,0,0,0,0.081082135240244,0,0,0,0,0,0,0.0317100188124202,0,0,0.0583952432471092,0,0,0,0,0,0,0.0637241767746956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00118586830022571,-0.0322442531772835,0,0,0,0,0,0
X600886.SH,0,0,0.0337237670761475,0.406830657799932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0812892997987941,0,0,0,0,-0.107378687011927,0,0,0,0,0.0679172776112683,0,0.0556338394525788,0.0506061473136263,0,0,0,0,0,0,0,0.120925954379916,0,0,0,0,0,0,0,-0.0289811472416484,-0.0031192578733704,0,0,0,0,0,0
X600188.SH,0.397739462738529,0,0,0,0,0.0369929115296759,0,0,0,0,0,0,0,0.145125008906838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161955359166928,0,0.163208100768211,0,0,0.133859704152769,0.0196010703830964,0,0,0,0,0,-2.77555756156289e-17,0,0,0,-0.0555225317081911,-0.0130199408894856,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.509511684373392,0,0.150869450184724,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,-0.00993066622559295,0,0.095319770033225,0,0,0,0,0,2.71050543121376e-20,0,0,0,0,0,0,0.0320819680268422,0.00217281759696989,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0,0,0.0546031844535767,0.0424604641961882,0,0,0,0,0,0,0.0584929325843507,0,0,0,0,0,0.154089871668872,0,0.0274107556195824,0,0,0.0400769750956609,0,0,0,0.0884416625374495,0,0,0,0.245006990108015,0.0401627330892363,0,0,0.0263536375401791,0,0,0,0,0,-5.42101086242752e-20,0,0,0,-0.0329948160865185,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0,0.201069974180273,0,0,0,0,0,0,0,0,0,0.0057953931514142,0,-0.0678259890730265,0,0,0,0,0,0,0,0,0,-0.0113150485410018,0.0810330637249795,0,0,0.154898747744076,0,0,0,0,0.174746399707123,0,0,0,0,0,0.0843052206258566,0,0,0,0,0,-0.0029615776255573,0,0,0,0,0,0
X600027.SH,0,0,0,0.182141996240721,0,0,0,0,0.191704868196787,0.179604343254167,0,0,0.0169138241600929,0,0,0,0,0,0,0,0,0.161187589287895,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0409402464118085,-0.0395054822764737,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0.0518137786242106,0.210627296373651,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0934569443192191,0,0.0414534758319355,0,0.258648573785701,0,0,0,0.0180785967110429,0,0.0369683718132284,0,0,0,0.182324792752379,3.46944695195361e-18,0,0,0,0,0,-0.00293990421793712,0,0.0171866274310336,0,0.0628592659665558,-8.470329472543e-22,0,0,0,0,0,0,0
X600688.SH,0,0.246954928255185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068280218655986,0,0,0,0,0,0,0.0708083097517426,0,0,0,0.00155422636964231,0.183362051804032,0,0.0968776071262511,0,0,0,-0.0721604804578648,0,0,0.0434068668191589,0,0,0,0.0482831425418683,0,0,0,0,0,0,-0.0528897529935289,-0.0134586202962925,0,0,0,0,0,0
