,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X601898.SH,X601991.SH,X600547.SH,X600688.SH,X600660.SH,X601600.SH,X600188.SH,X600886.SH,X600795.SH,X600362.SH,X600027.SH,X000898.SZ,X601992.SH,X600176.SH,X600111.SH,X002466.SZ,X600516.SH,X000709.SZ,X600299.SH,X002460.SZ,X000629.SZ,X600808.SH,X600219.SH,X600352.SH,X000825.SZ,X600801.SH,X601158.SH,X600489.SH,X000786.SZ,X000553.SZ,X300072.SZ,X000883.SZ,X000792.SZ,X002110.SZ,X600583.SH,X000408.SZ,X002075.SZ,X000301.SZ,X600339.SH,X601699.SH,X000027.SZ,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0122753422036645,0,0,0,0,0,0,0.262832522233313,0.077325992882241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299739234860026,0.243512507164065,0,0,0,0,-0.00964422783257035,0.0812225911887789,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.37558562128551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190630003295985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116908610071843,0,0.113669975805035,0,0,0,0.139907180333379,0,0,0,-0.0810990821904647,0.00146994654746145,0,0,0,0,0,0,0
X601088.SH,0.182943772259957,0,0,0.00584465678168157,0,0,0,0,0,0,0.0286535631284612,0,0,0,0.172847756699423,0,0,0,0,0,0,0,0,0,0,0,-0.136894325442067,0,0.0244594516838963,0,0,0,0,0,0,0,0,0,0,0,0,0.176884978570055,0,0.162792958850691,0,0,0.016115256146942,0,0,0,0,0.0132177659348671,-0.054465228466459,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0170042525400329,0.119796088519982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0275995938013588,-1.73472347597681e-18,0,0,0,0.0339878350529614,0.0704267517838828,0,0,0,0.522692908997822,0,0,-6.93889390390723e-18,0,0,0,0.191824256350033,0,0,0,0.0211972992233869,0,0,0,0,0,0,0.0161601982965899,0,0,0,0,0,0,0
X600019.SH,0,0.0946416502313683,0,0.0266953528238408,0,0,0,0,0,0,0,0,0,0,0.00428595103572334,0,0,0,0,0.594288531312912,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0.0676649564742323,0,0,0,0,0.00332782114508128,0,0,0,0,0,0,0,0,0,-0.0160160005427431,0.00901298878899515,0,0,0,0,0.0507457510254251,0
X600011.SH,0,0,0,0.052010306123219,0,0,0.010053019858042,0,0,0,0,0,0.0411186481754065,0,0,0,0,0,0.671111800809261,0,0,0,0,0.118391176445736,0,0,0,0.00226411852070237,0,0,0,0,0,0,0,-0.222283301824583,0,0,0,0,0.0252369961479066,0,0,0,0,0,0,0,0,0,0,-0.00721000964775728,0.0646957425815695,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138934234205316,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,-0.352692828208637,-0.183077422584891,0,0,0.285900504751205,0,0,-0.66122338711614,0.30655916890592,0,0,0,0,0.231563453653792,0,0,0,0,0,0,0,0,-0.367072465993899,0,0.0260951319312679,0,0.0991329609214923,0,-0.109003607434473,-0.00132619126867159,0
X600010.SH,0.0866238144905804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125436766714728,0,0,0,0.341083248089024,0.059664253919364,0,0,0,0,0.0255429271198407,0,0,0,0.0242541091143466,0.081255762033636,0,0,0,0,0,0,0.0221593145992742,0,0,0,0,0,0,0.0635224953753407,0,0,0,0,-0.0341980871814305,0,0,0,0,0,0
X601898.SH,0.0211488379478081,0,0,0,0,0,0,0,0,0.13994325638471,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00232812184506362,0,0,-0.065640875533987,0,0,0,0,0,0,0,0,0.270685648664574,0,0,0,0,0,0.0907147767078637,0,0,0,0.139895800359872,0.0595607788178132,0.184332337190984,0.234890336898002,0,0,-0.00262762327377243,0,0,0,0,-0.011127970957903,0,0
X601991.SH,0,0,0,0,0,0,0,0,0.101827760781213,0,0,0,0.124059526956191,0,0,0,0,0,0,0,0,0,0,0,0,0.108975114102764,0.059101323564594,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0597141076422459,3.46944695195361e-18,0,0,0,0.0607177306941556,0,0,0.126339009977405,0,0,-0.0293009914258068,0,0,0,0,0,0,0
