,X601857.SH,X600028.SH,X600585.SH,X601088.SH,X600309.SH,X600547.SH,X600019.SH,X000708.SZ,X600011.SH,X002460.SZ,X002271.SZ,X600660.SH,X600886.SH,X600801.SH,X601898.SH,X600010.SH,X601600.SH,X600362.SH,X600188.SH,X600352.SH,X600489.SH,X601991.SH,X002466.SZ,X600688.SH,X000786.SZ,X600795.SH,X600111.SH,X600027.SH,X600126.SH,X601992.SH,X600176.SH,X600299.SH,X600426.SH,X600529.SH,X002075.SZ,X002353.SZ,X600315.SH,X600486.SH,X000723.SZ,X600612.SH,X600219.SH,X002080.SZ,X600516.SH,X601158.SH,X000932.SZ,X000898.SZ,X000959.SZ,X000401.SZ,X000883.SZ,X000301.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0.0070702107544602,0,0,0,0,0,0,0,0,0,0,0,0,0.092812432280197,0,0,0.190406058750317,0,0,0,0,0,0,0.0559196184648605,0,0,0,0,0.0608545168600162,0,0,0,0,0,0,0,0,0,0,0,0.0187367082196813,0,0,0.0125032508419721,0.00237622253805513,-0.0117093049939773,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.122123197524256,0,0.050909839013927,0,0,0.0227910460805283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00209413594338167,0.00933933231334579,0,0,0,0.057274371417082,0,0,0.0793792827249206,0,0,0,0.0648891574350438,0,0,0,0,0,0,0,0,0.00124638385207066,-0.00108958327538911,0,0,0,0,0,0
X600585.SH,0,0,0,0.00881023645540775,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0.3541691202482,0,0,0,0,0,0,0,0,0.0567613430405613,0,0,0,0,0,0.0349072943211069,0,0,0,0,0.123044418230694,-0.0607137986170619,0,-0.00710300059174052,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0541780763864413,-0.00433448136714043,-0.000414262943780145,0,0,0,0,0,0
X601088.SH,0,0.176360455607544,0.117143781127459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141829650006541,0.300763365073525,0,0.0474452953578353,0,0,0,0,0,0,0,0,0,0.0901368570555711,0,0,-8.67361737988404e-19,-0.149597316499901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0154272282068674,-0.00478464255223862,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0.106814728031976,0,0.0412554737310414,0,0,0,0,0,0,0,0,0,0,0.0394074419996758,0,0.0163172643963841,0,0,0,0,0,0.0522044894634641,0,0.0803358673447901,0.0644441090668249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0129670236420414,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0.104384828289101,0,0,0,0,0,0,0,0,0,0,0.381262427246047,0,0.0868462629431865,0.00933707122339733,0.0615189577583886,0,0,0,0,0,0,0,-0.325147504728562,0,0.0576047648036949,0,0,0,0,0.110610296948369,0,0,-0.0333664291048693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.121361399475812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0195225665644568,0.0621422598584948,0,0,0,0,0,0,0,0,0,0.00661926210505515,-0.0383898308517262,0.055572587900565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102881168012981,-0.0170268587421539,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0475625956101886,0,0.0133909241832453,0.0780550690513771,0.301197906650609,0,0,-0.304567010258215,0.0104963524913769,0,0.169929177801827,0,0,0,0,0,0,0.0345504103019457,0,0,0,0,0,0,0,0,0,0,0,0,-0.111883687765333,-0.01268148664634,-0.0032312095598033,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,-0.0599024034191411,0.0175578277003458,0,0,0,0.00702635881549413,-0.056311542693391,0,0,0.10914812521966,0.0962638703535125,0,0,0,0.101266929225641,0.319262227539261,0,0,0,0,0,0,0,0,0,0,0,0,-0.0148230845653936,0.0279068154329988,-0.0257349694189926,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0.152946310387106,0,0,0,0,0,0,0,0,0,0,0.163929126255269,0,0,0,0,0,0,0,0,0.04355306616801,0.0537425304794077,0.118088533110732,0.0237639288720086,0.161575949928399,0.0284407758956853,0,0,0,0,0.306849662154544,0,0,0,0,0,0,0,0,0,-0.0117575192692361,-0.00564613485943247,0,0,0,0,0,0
