,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600019.SH,X600585.SH,X600010.SH,X601898.SH,X600547.SH,X601600.SH,X600688.SH,X600362.SH,X600795.SH,X600188.SH,X300072.SZ,X600157.SH,X601991.SH,X600027.SH,X600111.SH,X600660.SH,X601992.SH,X600886.SH,X600309.SH,X600489.SH,X000898.SZ,X600299.SH,X601158.SH,X002466.SZ,X000792.SZ,X000723.SZ,X000709.SZ,X002075.SZ,X000959.SZ,X000630.SZ,X600583.SH,X000408.SZ,X600352.SH,X000983.SZ,X600623.SH,X600219.SH,X000883.SZ,X600098.SH,X600549.SH,X000060.SZ,X000539.SZ,X000937.SZ,X601699.SH,X000027.SZ,X000935.SZ,X600176.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.317975189063372,0,0,0,0,0,0,0,0,0,0.0460908962761444,0,0,0,0,0,0,0,0.00117181380618653,0.0804395929885922,0,0,0,0.0505979220140434,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0641734341275172,0,0,0,0,0,0,0,0,0,0.00148993224053644,0,0,0.0296078997155761,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0.0319707665494538,0,0,0,0,0.0427496504784226,0,0,0,0,0.0875754679413557,0,0,0,0,0.0248026181512404,0,0,0,0,0,0,0,0,0,0.149332691916727,0,0,0.076781493667184,0,0,0,0,0,0.00178957134085235,0,0,0,0,0.0364430043415514,0,0,0.0574419687421506,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.0209471330435171,0.181751879554896,0,0,0,0.0111975650201932,0.0273894452999479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0522741212302684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168518386484922,0,0,0.103438448400143,0,0,0,-0.0759961679055704,0,0,0,0,0,0
X600011.SH,0,0.0307234867122777,0,0,0,0,0,0.0487773315493577,-0.0482233122238742,0.0505466404840744,0,0,0.128983266499779,0,0.061178558015299,0,0,0,0,0,0,0,0,0,-0.0831926807382316,0,0.0367793579454966,0,0,0,0,0,0,-0.0338673902710171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0452192448688503,0.0857763405981894,0,0,0,-0.0203862073356471,0,0.0128895684406501
X600019.SH,0,0,0,0,0,0.19666062731967,0,0,-0.0603364547113778,0,0,0.0606068865423792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0152218406488135,0,0,0,0,0.113855959287375,0,0.0417629790942218,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0166856612455572,0,0,0.0545213271582641,-0.057481451567594,0,0,0,0,0,0.0377575001326765,0,0,0,0,0.0499679786380545,0,0,0.0287604965398232,0,0.0977752267260456,0,0.0779584965504334,0,0,0,0,0,0.113062530166104,0,0,0,0.0205157962045647,0,0,0,0,0,0,0,0,0,0.0394385337537244,0,0,0,0.122082186307078,0,0.00248206062833112,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.0193566853215878,0,0,0,0,0.0299416233825852,0,0,0,0,0,0,0,0,0.113288725724063,0,0.248362761924523,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0606779856733007,0,0,0,0,0.0492164544110967,0,0.0441364742091241,0,0,0,0,0,-0.000507822225757123,0.0142163640015082,0,0,0,0,0,0
X601898.SH,0,0,0.273542462696606,0,0,0,0,0,0,0,0,0,0,0.0719642550202613,0,0,0,0,0,0.0124489234061394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164849251296545,0.141131052405012,0.0310546122129577,0,0,0,0,0,0,0.135642948117767,0.0275716284768046,0,0,0,0,-0.0107234309488908,-0.0662192212731392,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.938187260071452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0672275507162924,0,0,-0.0451744366314712,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0510156432831309,0,0.109201862085625,0,0,0,0,0,0,0,-0.0348743387352584,0.252086890744761,0,0,0,0,0,0,0,0,0,0.3937206000164,0,-0.0311503003271511,0,0,-0.0710202821225651,0,0,-0.0124924363426055,0.0621338198696692,0,0,0,-0.215954777729292,0,0
