,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600011.SH,X600547.SH,X000708.SZ,X601898.SH,X600010.SH,X600886.SH,X601600.SH,X600660.SH,X600362.SH,X600801.SH,X600188.SH,X601991.SH,X600795.SH,X600352.SH,X600688.SH,X000786.SZ,X600027.SH,X600111.SH,X002460.SZ,X002271.SZ,X601992.SH,X002466.SZ,X000723.SZ,X600176.SH,X600583.SH,X002353.SZ,X000898.SZ,X600516.SH,X600299.SH,X600426.SH,X600489.SH,X000883.SZ,X000709.SZ,X601158.SH,X600219.SH,X600612.SH,X000553.SZ,X000629.SZ,X000792.SZ,X000027.SZ,X000630.SZ,X000825.SZ,X000539.SZ,X600808.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.0343080772153425,0.126724413744264,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.0849800585052706,0,0,0.078610346008669,0,0,0,0,0,0,0,0.103295970892526,0.0225016406078236,0,0.0067065999901186,0,0,0.0259257268098552,0,0,0,0,0,0,0,-0.0176163630171728,0,0,0,0,0,0,-0.0152728495660359,0,0,0,0,0.011129778746611,0,0
X600028.SH,0.0669563481457908,0,0,0,0,0,0,0,0.00203175979083403,0.0543042312001951,0,0,0,0,0,0,0,0,0,0.0634257034570226,0.0447258999638866,0,0,0,-0.0252111896183572,0,0,0,0.092786522330592,0,0,0,0,-0.0167662963586334,0,0.0907337453920082,0,0,0,0,0,0,0,0,-0.0152146108827228,0,0,0,0,0,0,0.00202081242239172,0.017157361798133,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.558162022422483,0,0,0,0.0319638764599942,0,0.0885009975508378,0,0.0581243673844991,0,0.0327501149020964,0.00820609213653294,0,0,0,0,0,0,-0.025363674132516,0,0,0,0.0542631195307418,0,0,0,-0.094080576796132,0,0,0,0,0,0,0,0,0,-0.00968745696126774,0,0,0,0,0,0,0,0,0,-0.00891492356473677,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0954897486294201,0,0,-0.0342873650020198,0,0,0,0.0685856452359389,0,0,0,0.390665486369345,0,0,0,0,0,0.0938797915533213,0,0,0,0,0,3.46944695195361e-18,-0.035051398860087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018910010802735,-0.0341731710854248,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0.0742999902686113,0,-0.0771252985169047,0,-0.0250489328363403,0,0,0,0,0.157602148913152,0,0,0,0.00115942102380824,0,0,0,0,0.0130047104234152,0.210756257404713,0,0,0,0,0,0,0,0.0843331335676543,0,0,0,0,0,0,0,0,0,0,-0.108340216717401,0,0,0,0,0,0,-0.0264406283392804,0,0,0,0,0,0,0
X600019.SH,0,0,0.254727454706158,0,0,0,0,0,0.0449167484288689,0,0.0415390619112583,0,0,-0.0516386980678905,0,0,0,0,0,0,0,0.0111054727989951,0,0,0,0,0,0,0,0,0.0470142881841396,0,0,0,0,0,0,0,0.0431786229284636,0,0,-1.73472347597681e-18,0,0,0.00386250508354749,0,0,0,0,0,0,0.0194466351327887,0,0.017866144497602,0,0,0.0261388849217052,0,0
X600011.SH,0,0,0,0,0,0,0,0,-0.063392569520672,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275289488829732,0,0.0881878306390976,0.101281533464229,0,0,-0.0244427419438386,0.0791059482817549,0,0,0,0,0.0559874384762467,0,0,0,0,0,0,0,0,0,0.0554859854923426,0,0,0,0,0,-0.156903787034714,-0.0264342735802592,0.0363357696746828,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.116488136437042,0,0,-0.146864625641881,0,0.00263147289499603,0,0.0759518066524478,0,0,0,0,1.20759849611455,0,0,0,0,0.126765326989208,0,0,0.127098316792273,0,-0.134024420220749,0,0,0,-0.0415935326365882,-0.035654680461232,0.00564121048904949,0,0,0,0,0,0
X000708.SZ,0,0,0.58518329620121,0,0,0,0,0,0,0,0.174894500112974,0,0,0,0,0.0156402783809113,0.152747424091259,0,0,0,0,0,0,0,0,0,0.321484130525427,0.282725314233482,0,0,0,0,0,0,0,0,0.141949115463946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0331619046463139,-0.0317266577637498,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0.169212723792377,0,0,0,0.00382056418947751,0.290859461361381,0,0,0,0,0,0,-0.249901553703048,0,0,0,0.00882309773443015,0,0.0944091807061048,0,0,0,0,0.0745059083978418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.117310809152629,0.00885381386261215,0,0,0,0,0,0
