,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600309.SH,X600011.SH,X600188.SH,X601898.SH,X600362.SH,X600688.SH,X600660.SH,X600795.SH,X300072.SZ,X002466.SZ,X600547.SH,X000898.SZ,X601992.SH,X601991.SH,X600886.SH,X600516.SH,X600176.SH,X600111.SH,X000709.SZ,X000786.SZ,X600157.SH,X601699.SH,X600352.SH,X002460.SZ,X600027.SH,X000825.SZ,X000553.SZ,X600808.SH,X000983.SZ,X002271.SZ,X000959.SZ,X600489.SH,X000792.SZ,X600299.SH,X000830.SZ,X600219.SH,X600583.SH,X601158.SH,X000408.SZ,X000883.SZ,X000630.SZ,X002110.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.442691377802045,0.0107978866709065,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0.206194034153026,0,0,0.046107957808173,0,0,0,0,0.0430880869602729,0,0,0,0,0,0,0,0,0.0557395085250818,0,0,0,0,0,0,0,0,0,0,0.00287869738898728,0,0,0,0,0,0,1.0842021724855e-19,-0.00453726950510238,0,0,0,0,0,0
X600028.SH,0.515307886926385,0,0,0,0,0,0,0,0,0,0.133435582601442,0.0720026365103115,0,0,0,-0.108658464290865,0,0,0,0,0,0.00187430624122593,0,0,0,0,0,0,0,0,0,-0.0401215621970293,0,-0.116244109355059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00402081126128604,-0.000512563718430949,0,0,0,0,0,0
X601088.SH,0,0,0,0.13967131246729,0.0882670334200152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0347744444770055,0,0.183365108066037,0,0,0,0,0,0,0,0,0,0,-0.0507770898811073,0,0.116522740121921,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0.0152125576239863,0,0,0,0,0,0
X600019.SH,0,0,0.264462626503678,0,0.108892962971945,0,0,0,0.046744643927209,0,0.0536071126043043,0,0,0,0,0,0,0.487503761077639,0,0,0,0,0.0367043001904379,0,0,0,0,0,0,-0.224728989709463,0,0.0620668029894244,0,0.0686566783654973,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0.0366102646618542,0,0.00481518757214174,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0.274809850408545,0,0.133951302976491,0,0,0,0,0,0,0,0,0,0,0,0.0644049470159115,0,0,0.291792410893706,0,0.0419757943020554,0,0,0,0,0.00128605391012595,0,0,0,0,0,-0.270608846124501,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,-0.0385425007674779,0.0425048795428895,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00235283001699637,0,0,0.141236452459604,0.145956684502546,0.232074904873987,0,0.0531145025992639,0,0,0,0.00154013962161164,0,0,0,0,0,0,0,0,0.0255629804879555,-0.00711077732977962,0,0,0,0,0,0
X600309.SH,0,0,0.00398365553739148,0,-0.0659381342636294,0,0,0,0,0,0,-0.0694105880014432,0,0,0,0,0,0,0,0,0,0.00494393406060494,0,0,0.0559940910749718,0.185815159605847,0,0,0,0,0,0.0629390904073336,0,0,0,-0.0165403951189583,0,0,0,0,0.0276849946754799,0,0,0,0,0,0,-0.133647398809359,0,-0.0479066369002235,0.0688399882960264,0,0,0,0,0,0
X600011.SH,0,0,0,-0.0662678352812311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0268446122815973,-0.0997637702998831,-0.0101107474286689,0,0,0,2.16840434497101e-19,0,-0.0453852886795194,0,0,0.183199935544854,-0.00805471396678727,0,0,0,0,0,0,0.0279744853710275,0,0,0,0,0,0,0,0,-0.0133397925050744,-0.0121826333286349,0,0,0,0,0,0
X600188.SH,0,0,0,0,0.0971242207344709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0862035902006317,0,0,0.053993189049933,0,0.437998154155029,0,0.144192043011162,0,0,0,0,0,0,0,0,0,0,0.0804350354679492,0,0,0,0,0,0,-8.67361737988404e-19,0,0.0201540073025256,-0.0304414331898112,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0.0927023193817037,0,0,0,0.0176749891882803,0,0,0,0.0960137707706442,0,0,0,0,-3.46944695195361e-18,0,0,0,0.166606111220469,0,0,0,0,0,0,0,0,0,0,0.124827026544502,0.0116662681974234,0,0,0.0381735116149789,0,0,0,0,0.0260087598080437,0,2.16840434497101e-19,-0.00164007705362499,0,0,0,0,0,0
