,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600011.SH,X601600.SH,X600309.SH,X601898.SH,X601992.SH,X600688.SH,X600795.SH,X002466.SZ,X600111.SH,X600362.SH,X601991.SH,X600188.SH,X300072.SZ,X600660.SH,X600547.SH,X600516.SH,X600886.SH,X002460.SZ,X000709.SZ,X000898.SZ,X600027.SH,X600157.SH,X600339.SH,X000959.SZ,X600489.SH,X600808.SH,X600219.SH,X600352.SH,X601158.SH,X600549.SH,X000553.SZ,X000723.SZ,X002092.SZ,X600008.SH,X000630.SZ,X000883.SZ,X000408.SZ,X000983.SZ,X002271.SZ,X000792.SZ,X600299.SH,X600176.SH,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,-0.0168707009288344,0.0161823255993849,0,0,0,0.0364275635989181,0,0,0.058352961538451,0,0,0,0,0,0,-0.0310573623368471,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00614960586539113,-0.00243714503468374,-0.0270987690587593,0,-0.00734129698338618,0,0,0.0627274430270003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0,0.0327782415275375,0.0572731533795464,0,0,0,0,0,-0.0181188022744274,0,0,0,0,0,0,0,0,0,0,-0.00664359021303072,0,0.0305584658596863,0,0,-0.287345064152329,0,-0.0487654947108038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0502139438015959,0,0.00714953987905728,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.120599238132869,0.066689079322653,0.180818336365756,0,0,0,0,0,0.00609280565814532,0,0,0,0,0,0,0,0,0.0158147972149715,0.145375901325466,0,0,0.0216806540956081,0,0,0.222939664535941,0,0.078473279740462,0,0.000824777864824825,0,0,0,0,0,0,0,0,0,0,0,0,0.0895959518687689,0,-0.0140480007615447,0.0348963969143562,0,0,0,0,0,0
X600585.SH,0,0.275239618018648,0,0,0,0,0,0,0.0173222237400348,0,0,0,0,0,0,0.0906701479134796,0,0,0,0.260329611491833,0,-0.0476267089009003,0,0,0,0,0,0,0.0605563415483636,0,0,-0.000438071313223373,0,0,0,0,0,0,-0.0889878321651034,0,0,0,0.0925701358081584,0,0.17680532842976,0,0,0,0,0,0,-0.00667900769059921,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0.0194803026924915,0,0,0,0,0,0,0.0911000988048364,0.0491765106945557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177686360574422,0,0,0,0.0371635492737128,0,0,0.0336240860114181,0,0,0,0,0,0,0,0,0,0.118075119464749,0,-0.0148237361035456,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0.127242789620998,0,0,0,0,0,0,0,0.0677152063064345,0,0,0,0,-0.0636853356296955,0,0.0699740173652779,0,0,0,0,0,0,0,-0.0159415002436877,0,0,0,0,0.0232164521650541,0,0,0,0,0,0,0,0,-0.00941080185281736,0,0,0,0,0.0227419527924726,-0.0112545858632594,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00482410543307717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272385768648759,0.277269961104792,0,0,0.209513307649713,0,0,0,0,0,0,0,0.0998472939063525,0,0,0,0,0,0,-0.017672946760032,-0.0209752883072892,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112593682426151,0,0,0,0.0874238840602966,0.123558166108909,0.31533985856833,0,0.0525183237606184,0,0.0149148757864013,0,-0.0452419998248183,0,0,0.052883870957768,0,0,-0.0226574883920186,0,0,0,0.0912464837533884,0,0,0.233991075792079,0,0,0,0,0,0.0283611964409021,0,0,0,0,0,-0.00563595259004566,0.0203087464392154,0.0981674258516692,0,0,0,0,0
X601898.SH,0,0,0,0,0,0.114914889974857,0,0.136612786934419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00521384150998348,0.326890389827194,0,0,0,0,0,0.0294666819596213,0,0,0,0,0,0,0,0,0,0,0,0.0880200640843281,0,0,0,0,0,0,-0.00669416879351907,0,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,-0.0415411193035174,-0.00946043134554343,0,0,0,0,-0.148333175275927,0.0478606550859347,0,0,0,0,0,0,0.0314181216215787,0,0,0.151417969572299,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.571829809828487,0,0,0,0,0,0,0,0,0,0,0,-0.0071445681751404,0,0,0,0,0,0
X600688.SH,0,0,0,0,0.227443554799694,0,0,0,0.0107905593144818,0,0,0,0,0,0,0,0,0,-0.0600602662601932,0,0,-0.0521440782361485,0,0,-0.0446804011735734,0,0,0,0,0,0,0.0902459537315793,0,0,0,0.0412105591268476,-0.0285676583629646,0,0,0,0,0,-0.222985002686069,0,0.086535945728934,0.00386679176035496,0.0516114165396219,0,0,0,-0.0170088859845894,-0.0186240671646994,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
