,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600795.SH,X601600.SH,X601991.SH,X600688.SH,X600027.SH,X600886.SH,X600362.SH,X600157.SH,X600111.SH,X601992.SH,X600299.SH,X000792.SZ,X600188.SH,X601158.SH,X600160.SH,X600623.SH,X600309.SH,X000883.SZ,X600583.SH,X600660.SH,X000539.SZ,X000027.SZ,X600352.SH,X000898.SZ,X002466.SZ,X000709.SZ,X600098.SH,X000630.SZ,X002470.SZ,X600021.SH,X000629.SZ,X600578.SH,X600547.SH,X000060.SZ,X600489.SH,X002004.SZ,X000012.SZ,X600022.SH,X600315.SH,X300072.SZ,X600863.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.560815925471956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0244868941241358,0,0.00480463412582582,0,0,0.0399601659774609,0,0,0,0.0881045401934165,0,0,0,0,0,0,0.0723910764098621,0,6.93889390390723e-18,0,0,0,0,0,0.0212191106456767,0,0,0,0,0,0,0,0,0.00280578665897279,0,0,0,0,0,0,0
X600028.SH,0.321634198276342,0,0.0375284113102856,0,0,0,0.150136280823866,0,0,0,0,0,0,0,0,0,0,0,0,0.00525460490727649,0,0,0,0,0,0,0.167443939087704,0,0,0,0,0,0,0,0,0,0,0,0.00726905772460218,0,0,0,0,0,0.0107257601939574,0,0,0.0646590435895842,0,0,-0.00753537772919181,0.00984731931491917,0.0445649374153076,0,0,0,0,0
X601088.SH,0.216958210565442,0,0,0,0,0,0,0.258393068154459,0,0,0,0,0,0,0,0,0,0,0,0.0369109472904157,0.00308939475016194,0,0,0,0,0,0,0,0,0,0,0,0.0302827927797628,0.0167183018711455,0,0,0,0,0.0289136224425835,0,0,0.0587920067057402,0,0,0,0,0,0,0,0,0,-0.00758473272762829,0.0452291874436,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0.0526431849056281,0,0,0,0,0.359021268251223,0,0,0,0.0119864094825932,0,0,0,0.0193932680259483,0,0.039360920922311,0,0,0,0,0,0,0,0,0,0,0,0.00673695637411205,0,0.0476436341444662,0.0671031568552347,0,0,0,0.0153589333129516,0,0,0.018044313698246,0,0,0,0,0,0.00827961005810284,0.0128060422924601,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.418370549524951,0.0194834713156826,0,0,0.121464039148798,0,0,0,0,0,0,0,0,0,0,0,0.0467655716087167,0,0,0.0751591383163455,0,0,0.123394624092641,0,0,0.0385801001637607,0,0.0227024906649537,0,0,0,0,0,0,0,-0.00174823021732163,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0.0402645686452023,0,0,0,0.0895025616169071,0,0.133037165076301,0,0,0,0,0,0,0,0,0,0,0,0,0.0124737859739772,0,0.0289250851735939,0,0,0,0.0278219131995625,0,0,0,0,0.0378809277297491,0,0.0684293672037863,0,0,0,0,0,0,0.0276817497734271,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0.0314840435353344,0,0,0.0637250961646719,0,0,0.0724561421931854,0,0,0,0,0,0,0.082160274148824,0,0.153011563695323,0,0,0,0,0,0.0619611465081012,0,0.0251770562999393,0,0,0,0,0,0,0.0213683988878859,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0.0978482437355794,0,0,0.251915713619104,0,0.00788418154273468,0,0,0.0761216924996716,0.0253821661245362,0.0464571113279119,0.0146894058591741,0,0,0,0,0,0,0.0306717756655902,0,0,0,0,0.0132542895309547,0,0,0,0,0,0,0.0643508803689287,0,0,0.111763996644516,0,0,0,0,0,0,0.00446948651769177,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0.0630477278033147,0,0,0.04061545531742,0,0,0,0,0.0386124020909143,0,0,0.0365673301568632,0,0,0,0,0,0,0.0414282740999788,0.0922951822852166,0,0,0,0.0786668820091688,0,0,0.0422473895080521,0.0303339944117705,0,0,0.009614998399532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0.10374992000813,0,0,0.055596182924308,0.0405313374297887,0,0,0,0,0.179033014123194,0,0.0404969642630611,0,0,0,0,0,0,0,0,0,0,0.0182496272274022,0,0,0,0,5.42101086242752e-20,0,0,0.175107558282062,0,0,0,0,0,0,0,0,0.00695819925059152,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0451868972636607,0.142721515508286,0,0.0135133541356679,0,0,0,0,0,0,0.0095147904382069,0,0,0,0,0,0,0,0.0537667211503591,0.106510922968756,0,0,0.0694601917679024,0,0.0669354239408047,0,0,0,0,0,0,0.00936087302900932,0,0,0,0,0,0,0
