,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600795.SH,X601600.SH,X600688.SH,X601991.SH,X600027.SH,X600886.SH,X600362.SH,X600157.SH,X600299.SH,X600111.SH,X601992.SH,X000792.SZ,X600188.SH,X601158.SH,X600160.SH,X600583.SH,X600623.SH,X000027.SZ,X000539.SZ,X600352.SH,X600309.SH,X600660.SH,X002466.SZ,X000709.SZ,X600098.SH,X000630.SZ,X000898.SZ,X000629.SZ,X000883.SZ,X600021.SH,X002470.SZ,X000060.SZ,X600547.SH,X600489.SH,X000012.SZ,X600578.SH,X002004.SZ,X600315.SH,X300072.SZ,X600863.SH,X600022.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.614446665762734,0.020652366989776,0,0,0,0,0,0,0,0.0185367286739643,0,0,0,0,0,0,0,0,0.00203950951752814,0,0,0.0335583273502855,0.0623531680836886,0,0,0,0,0.0476356924754409,0,0,0.050445164464688,0,0,0,0,0,0,0,0.00907993881361697,0,0,0,0,0,0,0,0,0,0,0.00169767080810462,0,0,0,0,0,0,0
X600028.SH,0.345157464615378,0,0.0362137205821221,0,0,0,0.114639172311943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167561244089939,0,0,0,0,0,0,0,0,0,0,0,0.0144623420911724,0,0,0,-1.73472347597681e-18,0,0,0.00753048266614698,0,0.0100908961770541,0,0.0621264964048859,0,0,0,0,0.00410655697893953,0.0466005921118234,0,0,0,0,0
X601088.SH,0.335589388559725,0,0,0,0,0,0.0805783135044387,0.0956234459118182,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0.0291790169589208,0.075225489346494,0,0,0,0,0,0,0,0,0,0.0391649921485188,0,0,0,0,0,0,0,0,0.0373695800434199,0,0,0,0,0,0,0,0,0,0,0,-0.00249386782096344,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.211113724217398,0,0,0,0,0,0,0.0148728796707258,0.0984361500152619,0,0.0618933656969585,0,0,0,0,0,0.024638703335622,0,0.00720746224216306,0,0.0128808394664326,0,0,0,0,0,0,0.0268212231178247,0,0,0.0519186773719556,0,0,0,0,0,0,0,0,0.0206832716125256,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029328471034729,0,0,0.412169669046393,0,0,0.0691008112224904,0,-0.00168260160211548,0,0,0,0,0,0,0,0,0,0,0.0285364294930356,0,0.136033531035861,0,0,0,0.0860142460837558,0,0,0,0,0,0,0,0,0,0,0,0.00125798020440436,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182865688544481,0,0.00252494423350818,0,0,0,0,0,0,0,0,0,0,0.0987241173897972,0,0,0,0,0,0,0,0.0969664471537809,0,0.00374681095208683,1.35525271560688e-20,0,0,0,0,0,0,0,8.67361737988404e-19,0.0227773446905537,0,0,0,0,0,0
X600585.SH,0,0.231613923265693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0251534077421521,0,0.0147340872654083,0,0.0396109058074816,0.0485811426606205,0,0,0,0.0657715422708687,0.0109442941556435,0,0.0424431605282855,0.17429554468302,0,0,0,0,0,0,0,0.0508775611839196,0,0,0,0,0,0,0,0.0539063883997975,0,0,-0.0204749732580308,0.00129190562262962,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0.1170994817954,0,0,0,0.151557464629584,0,0,0.00758845572528249,0,0.0582596504688334,0.103454425471476,0,0,0,0,0.115248603042996,0,0,0,0,0,0,0.0425950878791222,0,0,0,0,0,0,0.0634984421467602,0,0,0.021187812519886,0,0.0116115441435672,0,0,0,0,0,0,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0.0542305116953401,0,0,0,0.0610743579098098,0,0.176090302189006,0,0.0309584157164977,0,0,0,0,0.0190887725184527,0.0359407599952981,0,0.0389777689002799,0,0,0.0243500443952202,0,0.0568097393492177,0,0,0,0,0.0153059650044778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0363482187902463,0,0,-0.00193154398194969,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0.0212866978295755,0,0,0,0.154422194735063,0,0.0139664198948935,0,0,0,0.182767474834814,0,0.00593814083558649,0,0,0,0,0,0,0,0,0.191990361731367,0,0,0,0,0,0,0,0.140978372605341,0.0504625412712538,0,0,0,0,0,0,0,0,0,0.00260875113094935,0.000720554979119745,0,0,0,0,0,0
