,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600309.SH,X600011.SH,X600188.SH,X601898.SH,X600688.SH,X600362.SH,X300072.SZ,X600660.SH,X600795.SH,X002466.SZ,X601992.SH,X600547.SH,X601991.SH,X000898.SZ,X600516.SH,X600176.SH,X600886.SH,X600111.SH,X000786.SZ,X002460.SZ,X000709.SZ,X600157.SH,X600352.SH,X601699.SH,X600027.SH,X000825.SZ,X000553.SZ,X002271.SZ,X600808.SH,X000830.SZ,X000983.SZ,X000792.SZ,X000959.SZ,X600489.SH,X002110.SZ,X000408.SZ,X600299.SH,X600219.SH,X601158.SH,X002092.SZ,X000883.SZ,X600426.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.317942381038294,0,0.022945929867565,0,0,0,0,0,0,0,0,0.0275078909860061,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,-0.0266475913398588,0,0,0,0,0,-0.0626692599135524,0,0.0335194182918409,0,0,0,0.0421423808697474,0,0,0,0,0,0,0,0,0.00972239417936038,0,0,0,0,0,0
X600028.SH,0.220162747626203,0,0,0,0,0,0,0,-0.014096473041694,0,0.295451023323021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0773111038230054,0,0,0,-0.0855624237917049,0,0.00229644769551735,0,0,-0.0192357878141161,0,0,0,0,0,0,0,0,-0.0142376727687028,0.017556071132581,-0.0740785965848753,0,0,0,0,0
X601088.SH,0,0,0,0.140238043817157,0.0876929294404204,0,0,0,0,0,0,0,0,0,0,0,-0.00315706380672597,0,0,0,0,0,0,0,0.0413383225329791,0,0,0,0,0.188509590556767,0,0,0,0,0,0.114833559849081,0,-0.0513367780177256,0,0,0,0,0,0,0,0,0,0,0,0,0.015248699246094,0,0,0,0,0,0
X600019.SH,0,0,0.142504023777275,0,0.207090437083657,0,0,0,0.0485117768510923,0,0,0,0,0,0,0,0,0,0,0.519767604880176,0.035484220803661,0.0591237299103731,0,0,0,-0.165639441457259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018751816907313,0,0,0,0,0,0,0,0,0.0111468536208426,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0.23720462091408,0,0,0.180895333371302,0,0,0,0.0527981152638452,0,0,0,0,0,0,0,0,0.211775218898801,0,0,0,0,0.0430254355905744,0,0,0.0676005473322194,0,0,-0.0639541297959525,0,-0.308741761726594,0,0,0.0260043485689873,0,0.116267123493735,0,0,0,0,0,0,-0.0164422544777538,0.0167166638334811,0,0,0,0,0,0
X600010.SH,0,0,0,0.0511541350298077,0,0,0,0,0.143677004280982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103984884579498,0.114740616359797,0,0,0,0,0,0.1326711113856,0,0.0524877637062518,0,0.0460862399014339,0,0,0,0,0,0,0,0,0,0,0,0,0.0118637010502934,-0.00225367893461153,0,0,0,0,0,0
X600309.SH,0,0,0,0,-0.0534804712525927,0,0,0,0,0,-0.0450379616439165,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196646059388562,0,0,0,0,0,0,0.0924113590246211,0,0,0,0,0,0.0130686763076166,0,0,-0.0541080239490056,0,0,0,0,0,0,0,0,-0.0269789493288209,0.052372676728175,0,0,0,0,0,0
X600011.SH,0,0,0,-0.0812431786707439,0,0,0,0,0,0,0,-0.000944858227624029,0,0,0,0,0,0,0,0,0.0235953764864352,-0.0935271583716235,0,0,0,-0.0377941646949021,0,0,0,0,0,0,0.168582672304691,0,0,0.0249061169390639,0,0,0,0,0,-0.0172572306127998,0,0,0,0,0,0,0,-0.0119642300892271,-0.0150489387452567,0,0,0,0,0,0
X600188.SH,0,-0.184662474645753,0,0,0.271709687102812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0953911948319323,0.202491572892988,0,0,-0.00969659275581549,0.326831340571096,0,0,0,0,0.0166007546778655,-0.00285758894938474,0,0.0762159671671242,0,0,0.0776836445499907,0,0,0,0,0,0,0,0,0.0227315957591369,-0.0139969954601615,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0.0962101693819951,0.0304783882428859,0,0,0,0.0737545895561268,0,0,0,0.00208205587788905,0,0,0,0,0,0,0,0,0.153480331738488,0,0,0,0,0,0,0,0.0977365879205324,0,0,0.00342576500574852,0,0.113104265717394,0,0,0.0444141016690651,0,0,0,0.00474785642833222,-0.00539947198009138,0,0,0,0,0,0
