,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X600688.SH,X601898.SH,X601600.SH,X600795.SH,X601991.SH,X600623.SH,X600188.SH,X600027.SH,X600111.SH,X600157.SH,X600362.SH,X601992.SH,X600547.SH,X600886.SH,X002466.SZ,X600299.SH,X600660.SH,X600309.SH,X600489.SH,X000709.SZ,X601158.SH,X000792.SZ,X600583.SH,X300072.SZ,X600352.SH,X000898.SZ,X000883.SZ,X000539.SZ,X000027.SZ,X000983.SZ,X000630.SZ,X000723.SZ,X600549.SH,X002470.SZ,X002460.SZ,X002407.SZ,X000629.SZ,X600176.SH,X000012.SZ,X000060.SZ,X600021.SH,X000959.SZ,X600022.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.0337026850239145,0,0.0687397908453654,0,0,0,0,0,0,0.0480141255232763,0,0,0,0,0,0,0,0,0.201151527652283,0,0,0,0,0.100654014488606,0,0,0,0,0,0,0,0,0,0.00177559699189344,0,0,0,0,0.0317901217503662,0,0,0,0,0,0,0.0104895515849119,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.0945971031884826,0,0,0,0,0,0.0841652437247792,0,0.059036573153406,0,0,0,0,0,0,0,0,0.0682715400862955,0,0,0,0,0.157733411710955,0,0.0468018294364847,0,0,0,0,0,0,-0.0342648980887976,0.00495982061767975,0,0,-0.012530098868113,0,0,0,0,0,0,0,0,0,0.0138513876330497,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.111893450289366,0,0.102018935358035,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0.162952307170833,0,0,0,0,0.0117874089301371,0,0,0,0,0,0,0.0100143100658351,0,0.133027856087673,0,0,0,0,0.0756293854854464,0,-8.67361737988404e-19,0,0,0,0,0,-0.00972832106289775,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.0504809465713611,0,0,0,0,0,0.0131311527163416,0,0.310747848365158,0,0,0,0,0,0.0363324114778869,0,0,0,0.0331580939341951,0,0,0,0.030334321751019,0.115317862781519,0,0,0,0.00411086425465204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0.00626946101737002,0,0,0,0,0,0.250134779198476,0,0,0,0.0323357199060486,0,0,0,0,0,0,0.172048335360374,0,0.0671844387590148,0,0.0343883813771057,0,0.236456833033302,0,0,0,0,0,0,0,0,0.0247307189556437,0,0.0433669468498998,0,0,0.0447050487155703,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.00678495338349276,0,0,0,0,0.0575223972004524,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0618532400197083,0,0.136180397988493,0,0,0,0.177105194884234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218493846152167,0,0,0.0201706863068001,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0.201702719011979,0,0,0.00929413717064502,0,0,0,0,0,0,0,0,0,0.0417772790182299,0.155821833040883,0,-0.0233653057284334,0.282782153747183,0,0,0,0,0.0946305886258662,0,0,0,0,0,0,0,0.041023406281376,0,0.0236105037669743,0,0,0,0,0,0,0,0,0,-0.05355970690797,0.00702429867871607,0.109096304123039,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0954747042414055,0,0,0,0,0,0.0413151832691792,0,0,0.244435049511543,0,0,0.00836898479226225,0,0.0909909420138737,0,0,0.123862782611974,0,0,0,0,0,0,0,0,0,0,0,0,0.0693374433820254,0,0,0.0474690115729574,0,0.0236090269489447,0,0,-0.0860541456725685,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0449489891853238,0,0,0,0,0,0,0.157895782278333,0,0,0,0,0,0.0983546446201078,0.0629835262677104,0,0,0.227971411473506,0,0,0,0,0,0.0607960111011007,0,0,0,0,0.0338345709913165,0,0,0,0,0.049238188787322,0,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112193661567329,0,0,0,0,0,0,0,0.041149818234696,0,0,0,0,0,0,0,0,0,0.0307062723505204,0,0,0,0,0,0,0.187107037946034,0.228990470002974,0,0.0371615148062664,0,0,0,0,0.0562005017771819,0,0,0,0,0,-0.00146531986556461,0,0.416409357568631,0,0,0,0
X600795.SH,0,0,0,0,0,0,0.126135198837901,0,0,0,0,0,0,0,0,0.0230384819020145,0,0,0,0,0,0.00874742071516099,0,0,0.0568719109245297,0,0,0,0,0.163967105002918,0,0.0543217443286935,0.0755681004120627,0,0,0,0,0,0.0206399496195669,0.0205161074104929,0,0,0,0.0651514667158041,0,0,0,0,0,0.0260483377952915,0,0,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.0109575350281665,0,0,0,0,0,0.00051807883551574,0,0,0,0.0609169914275784,0,0,0,0,0,0,0.128576986332225,0,0.0787361960892286,0,0,0,0.205825070263263,0,0,0,0,0,0,0,0,0.120508446259506,0,0,0,0,0,0,-0.0041043059045727,-0.0167889486040236,0,0,0,0,0,0
X600623.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12161567516216,0.108425829864552,0,0,0,0.143946584123849,0,0,0,0,0,0,0.155152450833159,0,0.593001099930074,0,0,0,0,0,0,0,0,0.198803408869417,0,0,-6.93889390390723e-18,-0.0873973717996038,0,0.0209658783927389,0,0,-0.0462131809407334,0,0,-0.0643314019159127,0.0760378706087327,0,0.0956894301150946,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0.0730774659503102,0,0.109128058277898,0,0,0,0,0,0,0,0.19085428733581,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.113484845328538,0,0,0,0,0,0,0,0.486656694759194,0,0,0.0117158299957156,0,0,0,0,0,0,0,0,0.082828384659497,0,0,0.0231042902631162,-0.0851829476457896,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,0.0614228942021074,0,0,0,0,0,0,0,0,0.0258103980221206,0,0,0,0,0,0.0340951554007174,0.0475895913155479,0,0,0,0,0,0.0687423773082323,0.0995974544250724,0,0.0170503261787992,0,0,0,0,0,0,0,0,0,0,0,0.0190441048820708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0.170441798505213,0,0.0714903711274584,0,0,0,0,0,0.00276289000082879,0,0,0,0,0,0,0,0,0,0,0,0,0.0256267226480035,0.0163634899638217,0,0,0.0485898587209232,0,0.0917801389973414,0.0808115053420902,0,0,0.10143307966516,0,0,0.0229423778669801,0.264331426201503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129752499442958,0,0,0.0922810793572586,0,0,0,0.102859442112619,0,0,0.0375190088683167,0,0.229722763296077,0,0.016642416759933,0,0.116004787337456,0,0,0,0,0,0,-0.00639338385440547,0,0,0,0,0,0,0
