,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600019.SH,X600011.SH,X600585.SH,X600660.SH,X600886.SH,X601600.SH,X600547.SH,X600795.SH,X000792.SZ,X002466.SZ,X000708.SZ,X601699.SH,X002460.SZ,X000301.SZ,X600010.SH,X600111.SH,X600362.SH,X600027.SH,X000983.SZ,X000877.SZ,X600426.SH,X600803.SH,X000786.SZ,X600489.SH,X600160.SH,X601991.SH,X600985.SH,X002271.SZ,X000630.SZ,X000408.SZ,X000933.SZ,X000932.SZ,X600176.SH,X000807.SZ,X601168.SH,X600612.SH,X600348.SH,X600219.SH,X002128.SZ,X300037.SZ,X600096.SH,X000027.SZ,X600157.SH,X600295.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.210302147900721,0,0.186511356395023,0,0,0,0.0358651219053566,0,0,0,0.0465276132468052,0,0,-0.36059913824685,-0.0298993019059568,0.220507104183511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265452598390488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110414762586645,0,0.165565850411847,0,0,0,0,0
X601088.SH,0.0367517677253874,0,0,0,0.293000950534398,0.174741862859535,0,0.0880102097447656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.222784914219015,0,0,0,0,0,0,0.0165399478295825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126344000103616,-0.0118342226330721,0,0,0,0,0,0
X600028.SH,1.73472347597681e-18,0,0,0,0,0.0418891360752124,0,0,0,-3.46944695195361e-18,0,0,0.163195288113799,0,0,-0.0160363557934225,0.037327470235535,-0.071045917150328,0,0,0,0,0,0.0113600341424,0,0,0.0121375916098736,-0.090988170849109,0,0,0,0,0,0,0,-0.0843033516126686,0,0.478620442228416,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0158600645685295,0,0,0,0,0,0,0
X600309.SH,0.156083588473754,0,0,0,0,0,0,0,0,0,-0.179656716045301,0,0,0,0,0.00889206379889587,0,0,0,0.290599344965453,0,0,0.0193652313163786,0,0,0,0.0220770905196753,0,0,0,0,0,0,0,0,0,0.170045907997305,0,0.14486730625382,0.175372106449207,0,0,0,0,0,0,0,0,0,0,0,-0.025717302203889,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0.0284480144219519,0,0,0,0,0,0,0.175010116628044,0,0,0,0,0.139572474221805,0,0,0,0,0,0,0.337724783920279,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0.0604552847470732,0,0.162484493704251,0,0,0,0,0,0,0,0,0.00530924112469307,-0.0141368577916515,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.526763871041755,0,0,0.0567761776173288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149261715468273,0,0,0,0,0,0,0,0,0,0,0,0,0.0146332737229456,0.0165793160813182,0,0,0,0,0,0,0,0,-1.0842021724855e-19,-0.0416762384555242,0.0627053839221627,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.010579023392863,0,0,0.0469826215700883,0,0,0,0,0,0,0.0640212631479089,0.0634352400728635,0,0,0,0,0,0,0,-8.67361737988404e-19,0,-0.0199369627106501,0,0,0,0,-0.125187090646837,0,0,0,0.308544562071985,0,0,0.148995986918254,0,0,0,0,0.0247430235342468,0,0,0,0,0,0.00674084477168277,0,0,0,0,0,0,0
X600011.SH,0.132624543934037,0,0,0,0,0.112166706036174,0,0,0,0,0,0,0,0.0851956858012949,0,0,0,0,0,0,0,0,0,0.28997512329391,0,-0.0327937291982218,0,0,0,0,0,0.179725695851221,0,-0.0286201747134136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00259030399350743,0.0288838821285414,0,0,0,0,0
X600585.SH,0.178496449538901,0,0,0.124251981977832,0,0,0,-0.0176806708221658,0,0,0,0,0,0,0,0,0,0,0.141586792032475,0,0,0,0,0,0,0,0.00998985953520436,0,0,-0.0548995371995157,0,0,0,0.0443258423645677,0,0,0.0205066322881597,0,0.0931558848110211,0,0,0,0,0,0,0,0,0,0,0,0,0.0144309576891659,0.000468247326725438,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0.038272917736605,0,0.0864624921892338,0,0,0,0,0,0,0,0,0,0,0,0,-0.000607905602851916,-0.0374708248101578,0,0,0,0.12033250388371,0,0,-0.198456326940191,0,0,0,0,0,0,0,0,0,0,0,0.0764179750715272,0,0,0,0,0,0.0245759602039177,0,0.316047840797087,0,0,0,0,0
