,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X600547.SH,X601898.SH,X601991.SH,X600688.SH,X600660.SH,X601600.SH,X600886.SH,X600795.SH,X600188.SH,X600027.SH,X600362.SH,X601992.SH,X000898.SZ,X002466.SZ,X600176.SH,X600111.SH,X002460.SZ,X600516.SH,X000709.SZ,X600299.SH,X600352.SH,X600489.SH,X000629.SZ,X600808.SH,X600219.SH,X300072.SZ,X601158.SH,X600801.SH,X000786.SZ,X000825.SZ,X000553.SZ,X000883.SZ,X600583.SH,X000408.SZ,X000792.SZ,X601699.SH,X600339.SH,X000301.SZ,X002110.SZ,X000630.SZ,X000539.SZ,X600612.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0860299473953152,0.0654397340649899,0,0,0,-0.0260344888762555,0,0,0.222782025924108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0743282172246698,0,0.0181107455424202,0,0,0,0,0,0,0,0,0.238945306491207,0.250675075895305,0,0,0,0,0,-0.0228117383923096,0.084638973368901,0,0,0,0,0,0
X600028.SH,0.167713423169271,0,0,0,0.146094143495384,0.0148439767867206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377074295410867,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237865302206894,0,0,0,0,0.028722526232537,0,-0.00315693670063578,0.0358976018836617,0,0,0,0,0,0
X601088.SH,0.396998704625958,0,0,0,0,-0.152758054137929,0,0,0.0501657244046992,0,0,0,0,0,0,0,0.0777582931544062,0,0,0.0460272372333395,0,0,0,0,0,0,0,-0.0307505509152278,0,0,0.0935575640511955,0,0,0,0,0,0,0,0,0,0,0.0964694687067325,0,0,0,0.0118070606648402,0.0542841712866091,0,0,0,0,0.00278622128854355,-0.017012413838701,-0.119155628903615,0,0,-0.041875582141044,0,0
X600585.SH,0,0,0,0,0.00558670889592644,0.0938245192931717,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168064034798598,0,0,0,0,0,0,0,0,0,0.128325496729776,0,0,0,0.528066598189961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125311673698487,-0.000168004132740463,0,0,0,0,0,0
X600019.SH,0,0.166890509297003,0,0,0,0,0.0293677431779782,0,0,0,0,0,0,0,0,0,0.131645508636052,0,0,0,0.490899706321074,0.0205945222587552,0,0,0,0,0.029394665446453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0312065803918922,0.00834261337283618,0,0,0,0,0,0,0,0,0.00247621696228742,0.00671939758239716,0,0,0,0.0977941242665955,0,0
X600011.SH,0,0,0,0.0779264051583831,0,0,0,0,0,0,0,0,0,0,0,0,0,0.689699178649121,0,0,0,0.0311139703509326,0,0,0.0186431852930514,0,0,0,0,-0.235126551788103,0,0,0,0,0,0,0.0468308322144904,0,0,0,0,0,0.0752552480225204,0,0,0,0,0,0,0,0,-0.00312789422537873,0.0524616477066527,0,0,0,0,0,0
X600309.SH,-0.0412640925141287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0525255469747044,0,0,0,0,0,0,0,0.0524233840971712,0,0,0,0,-0.650230335011388,-0.344360396172187,-0.267328061326164,0.149390056936979,0,0,0,0.464911419932988,0.262461942799409,0,0,0,0.190108991021925,0,0,0,0,0.34853518310886,0,0,0,-0.306780819947767,-0.0377555029069432,0.109921090220285,0,0.217301967745355,0,-0.325265540982736,0,0
X600010.SH,0.185589691201474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26240399633254,0,0,0,0,0,0,0,0,0,0,0.133437414919011,0,0.0580637028900395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00668822658896628,-0.00826500004105042,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,-0.040170501689376,0.00798797184586158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0549464150234579,0,0,0.0984615598272026,0,0,0,0,0.52414875099387,0,0,0,1.0842021724855e-19,0,0,0,0.212343047332726,0,0,0,0,-0.0498554281714534,0,0,0,0.0257844589001933,0,0,0,0,0.00959459796824785,0.013085313604353,0,0,0,0,0,0
X601898.SH,0.291391962298659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135701624286484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046138882273749,0.0708509448368554,0.297882096403648,0,0,0,0,-0.00744890089095186,0,0,0,0,-0.00420947182470971,0,0
