,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600795.SH,X601600.SH,X600688.SH,X601991.SH,X600027.SH,X600886.SH,X600157.SH,X600111.SH,X600362.SH,X600299.SH,X600188.SH,X601992.SH,X601158.SH,X000027.SZ,X600583.SH,X000539.SZ,X002466.SZ,X600309.SH,X000630.SZ,X000792.SZ,X600623.SH,X600352.SH,X000709.SZ,X600660.SH,X600098.SH,X000883.SZ,X000898.SZ,X600160.SH,X600021.SH,X002470.SZ,X601918.SH,X600863.SH,X600489.SH,X600808.SH,X000060.SZ,X600578.SH,X600307.SH,X600547.SH,X000629.SZ,X002004.SZ,X600315.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.599261663475571,0,0,0,0,0,0.0708719102307021,0,0.0331514784198718,0.0106182514479515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139444509578601,0,0,0,0,0,0,0,0,0,0,0,0,-0.00603301780204361,0,-0.0288709621747009,0.00606271554070469,0,0.0828214606265071,0,0,0,0
X600028.SH,0.244634345166679,0,0.287889359949203,0,0,0,0,0,0,0,0,0,0,0,0.117701497014074,0,0,0.0374330771629066,0,0,0,0,0,0,0.0300600665795082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0630303770142906,0,0.017252335326895,0,0,0,-0.0242837299565669,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.24400633261059,0,0.311598175402495,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0976720486252656,0,0,0.103190803823135,0,0.0854830029195299,0,0,0,0,0,0,0,0,0,0,-0.0391860820586517,0,0,-0.0259704586190897,0,0,0,0,0,0,0,0,0,0,0,-0.0238390687296752,0,0,0,0,0,0,0
X600011.SH,0,0,0.15407491068184,0,0,0,0,0,0,0,0,0.410685269336806,0.131964513496983,0,0,0,0,-0.0071270452264668,0,0.0905490480831782,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0.059010539265566,0,0,0,0.112091560200857,-0.0538534565905231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0.0324458834770351,0,0,0,0,0.176051710211779,0,0,0.267666978647602,0,0,0,0,0,0.113942902215497,0,0,0,0,0,0,0,0,0,0.15168559465874,0,0,0,0,0,0,0,0.0639449188853097,0,0,0,0,0.0820965927678493,0,0,-0.0115850929177663,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0.219837951211588,0,0.0848270699051479,0,0,0,0,0.0229876875463551,0,0.00366893150810413,0,0,0,0,0,0.0660562530038785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202401348150095,0,0,0,0,0.0313636588665224,0,0,0.0323204764230854,0,0,-0.0405533413960498,0,0,0,0,0,0,0
X600585.SH,0,0,0.238931595721144,0,0.0146241398758455,0,0,0,0,0,0,0,0,0,0,0.0230690255444221,0.035531910640266,0,0,0,0,0,0,0,0.105339151617017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0.0613303762211318,0,0,-0.0551777433557148,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0.265961330886937,0,0,0,0,0.0492991954353901,0,0,0,0,0,0.141176023453886,0.089410685478905,0,0,0.0204135334271254,0,0,0,0,0,0,0,0,0,0,0,0.407614650419386,0,0.0869107534502315,0,0,0,0,0,0,0,0,0,0,0,-0.0120724926879613,-8.80906411651024e-05,0.0229965991265176,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0.00920207379993674,0.194022731151103,0,0,0.0397246795523425,0,0,0,0,0,0,0,0.0551888224746765,0.0321838951938763,0,0,0,0,0,0,0,0,0.241890763978744,0,0,0,1.35525271560688e-20,0,0,0,0,0,0.0150483966624939,0,0,0,0.0573043857181151,0,0,-0.0554845491202373,0.0182871529263455,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.112913442865658,0,0,0,0,0,0,0.248463781916137,0,0,0.00204747604075227,0,0,0.0647729335260685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0317730423944671,0,0,0.0383977320046064,0,0,0,0,0,0.142076972687435,0,0.051374508100265,0,0,0,-0.0447255495664608,0.0316289585340578,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177899109841238,0,0.0272614900763677,0.0669480907689254,0,0,0.143596985229037,0,0,0,0,0,0,0,0.113633051253013,0,0.179168128610089,0,0,0,0,0,0,0,0.137182435874723,0,0,0,0,0,0,0,-0.00753915921760627,0,0,0,0,0,0,0
