,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X600585.SH,X600011.SH,X601898.SH,X600547.SH,X601600.SH,X600660.SH,X002460.SZ,X002466.SZ,X000792.SZ,X600886.SH,X600111.SH,X000708.SZ,X600010.SH,X000301.SZ,X600426.SH,X600795.SH,X600362.SH,X000877.SZ,X002271.SZ,X601699.SH,X000983.SZ,X600489.SH,X600803.SH,X600176.SH,X600027.SH,X000807.SZ,X601991.SH,X000786.SZ,X000932.SZ,X600160.SH,X000630.SZ,X000933.SZ,X600219.SH,X600985.SH,X000408.SZ,X000629.SZ,X600688.SH,X002080.SZ,X002353.SZ,X300037.SZ,X002128.SZ,X600612.SH,X600801.SH,X601168.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.903989849045867,0,0,0,0,0,0,0.12135195205571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045886131776817,0,0,0,0,0,0,0,0,0,-0.0546429931288139,0,0,0,0.148702977818591,0.0547232186159437,-0.0110643196312337,0,0.00265457460263273,0,0,0,0,0
X600028.SH,0.636679378392712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0173001017106478,0,0,0,0,0,0.0497987340628034,0.103154466657841,0,0,0,0.103783784734279,0,0,0,0,0,0,0,0,0,0,0,-0.161046711633167,0,0,0.0127569301501396,0,0,-0.0417679774270736,0.00108353702101395,0,0,0,0,0,0,0
X601088.SH,0.0239269448911515,0,0,0,0.132941471004421,0.035235746954997,0,0,0.215279394033962,0,0,0,0,0,0,0,0,0.00756678015964868,0,0,0,0,0,0,0,0,0,0,1.35525271560688e-20,0,0,0,0,8.470329472543e-22,0,0,0,0,0,0.0438130783183021,0,0,0,0.00503597921802004,0.0668789239806416,0,0,0,0,0.0371854240072068,0,0,-0.000787105338760735,0,0,0,0,0,0
X600309.SH,0.018771396401506,0,0,0,0.0511232773184495,0.000447242524787287,0,0,0,0,0.216167701583496,0,0.0234633638407059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0.0905804700272981,0,0.0964681771384189,0,0,0,0,0,0,-0.0475705888130049,0,0,0.0298120902728202,0,0,0,0,0,0.0485538667790361,0,0.0287023922394353,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0.0750942948529713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262865884285881,0,0,0,0,0,0.341927050600281,0,0,0,0,0,0,0,0,0,0,0.0973742742842182,0,0,0,0,0,0,0,0,0,-0.128566813097616,0,0,0,0.0104771173914936,-0.0153279231417426,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.132055831121749,0,0,0,0,0,0,0,0,0,0,0,0,0.270822325989334,0,0,0,0,0,0,0,0,0.0934884109359178,0,0,0,0,0,0,0.26822620995386,0.122580603280131,-0.0179736770158316,0,0,0,0,0.270542065837294,0,0,0,0,-0.190197439243909,0,0,0.0651539293039402,0,0,0.00383140147174433,0.0580807347723956,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0510882172723335,0,0,0,0,0.0128426688803364,0,-0.0504715307178503,0,0,0,0,0.0233295861217014,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0549808107995115,0,0.068640271626808,0,-0.0151090605985325,0,0.0580641712755079,0,-0.0916851355081052,0,0,0,0,0,-0.162172527082667,0,0,0.589759287445629,0,0,-0.0117810645248683,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.146971974818838,0,0,0,0,0,0,0,0,0,0,0.326224386763522,0,0,0,0,-0.057681796908672,0,0,0,-0.068496165184315,0,0,0,0,0,0.794539443576899,0,0,0,0,0.0775225467301263,0,0,0,0,0,0,0,-0.0565857713251048,0,0.133246314652631,0,0.0123449400685918,0,0,-0.104346619343325,-0.0110300741161301,-0.0204228142587419,0,0,0,0,0,0
X601898.SH,0.0824996229358371,0,0,0,0.163249162179148,0,0,0,0,0,0,0,0,0.0774702740444142,0,0,0,0,0,0,0,0,0,0,0,0.174033542747911,0.0658744417154776,0.0534448887956339,0.260462953121833,0,0,0,0,0,0,0,0,0,0,0.0955715328939875,6.93889390390723e-18,0,0,0,0,-0.133374143181454,0,0,0,0,0,4.77611100403834e-05,0.0148005598462921,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0.00760060125619479,0,0,0,0,-0.0401999294479493,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0280615404691944,0.0340085234886253,0,0.472693204612504,0.161568958680033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0552582192525781,0.0519833747109746,0,0,0.0299164911423269,-0.172124510586247,0,0,-0.0129216507909296,-0.0080841378314905,0,0,0,0,0,0
