,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X600688.SH,X601898.SH,X601600.SH,X600795.SH,X601991.SH,X600623.SH,X600027.SH,X600157.SH,X600362.SH,X600188.SH,X002466.SZ,X600111.SH,X600886.SH,X601992.SH,X600547.SH,X600660.SH,X600299.SH,X000792.SZ,X601158.SH,X600489.SH,X600309.SH,X600583.SH,X000709.SZ,X000883.SZ,X300072.SZ,X000898.SZ,X000539.SZ,X600352.SH,X002407.SZ,X000027.SZ,X000723.SZ,X000630.SZ,X002470.SZ,X600176.SH,X002460.SZ,X000012.SZ,X600021.SH,X000983.SZ,X600549.SH,X600098.SH,X600612.SH,X000060.SZ,X000629.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102875161548924,0,0,0,0.0249358728792896,0.0524081350490053,0,0,0,0,0.00384300189652132,0,0,0,0.224018845542697,0.067126148180839,0,0,0,0,0,0.00683770431973572,0,0,0,0,0.0587410778019288,0,0,0,0,0,0,0.0215684429529555,0.000727990107207749,0,0,0,0.00442758298838328,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.058802441491205,0,0,0,0,0,0,0,0,0.0613781498636753,0,0.0531632120758456,0,0,-0.0159186479621709,0,0,0,0,0,0.0660323194161497,0.202059914240226,0,0,0,0,0,0.0403926062899084,0,0,-0.058477480519262,0,0,0.00455946823721602,0,0,0,0,8.67361737988404e-19,0,0.0214701309766894,0,0.00645469925758076,0,0.00532290201997441,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.169076192528295,0,0,0,0,0,0.00144961572195951,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.0225866898606028,0,0,0.097876444156232,0,0,0,0,0,0,0,0,0,0.114455239704433,0,0,0,0,0,0,0.0440499996327445,0,0,0,0,0.175697976333948,0,-0.0197546662530005,-0.0184036890181159,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.0480877768335682,0,1.73472347597681e-18,0,0,0,0,0.272224509432014,0,0,0,0.0132260223583816,0,0,0,0,0,0,0.047133775411873,0,0,0,0.145518865580129,0,0,0,0,0,0,0,0,0,0,0,0.0309628124196473,0,0,0,0,4.33680868994202e-19,0.00682166217231907,0,0,0,0,0,-0.00691071702694038,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200531307095964,0,0,0,0,0,0.0943060502091415,0,0.0364466536466758,0,0.103197984806788,0.173829092463699,0,0,0,0,0,0,0,0.115591893403356,0,0,0,0,0,0,0,0.0823602267627434,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.0659668880326955,0,0.0158246188327992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.131518340007147,0,0,0,0.199073349082873,0,0,0.245330432114599,0,0,-0.0431601957405241,0,-8.67361737988404e-19,-0.0106717593000894,0,0.0784904850850208,0,0,0,0.00318584966917776,0,0,0,0,0,0,-0.0102482171914291,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.233049884552653,0,0,0,0,0,0,0.0770260742006783,0,0,0,0,0,0,0,0.152561087617147,0,0,0.00275061737379974,0,0,0,0,0.0456930009821295,0,0,0,0,0,0,0,0,0,0,0,0,0.00226036963656644,0,0,0,0.174015657523212,0,0,0,0,0,-0.0177944061577885,0,0.0190154822879289,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0246225734608168,0,0.172153216726206,0,0,0,0,0,0,0.0366191256481323,0,0.128784515648243,0,0,0,0,0,0.192762815312467,0,0,0,0,0,0,0,0,0.131362415064365,0,0,0,0,0,0,0,0,0.208054129364326,0,-0.0540147134970192,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0523863703465828,0,0,0,0,0,0,0,0,0.0363588854548075,0.145696463319493,0,0,0,0.0714212288902974,0,0,0,0,0,0.181273181495704,0,0,0.124881127326788,0,0,0.0579497166215811,0,0,0,0,0.0468472910576331,0.0108091342178836,0.0748527235331993,0,0.0484689048767363,0,-0.00622006633412879,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0.0456823691568781,0,0,0,0,0,0,0.020363892093229,0,0,0,0.259884231871108,0,0,0,0,0,0,0,0.201909316012782,0,0,0,0,0,0,0,0,0,0,0,0,0.22815416655563,0,0,0,0,0,0,0,0,0,-0.0326388418288749,-3.46944695195361e-18,0,0,-0.0335422723995934,0,0,0,0,0,0,0
