,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X000708.SZ,X600660.SH,X002460.SZ,X002271.SZ,X600011.SH,X000786.SZ,X600886.SH,X600176.SH,X600362.SH,X600426.SH,X601600.SH,X601898.SH,X600801.SH,X600010.SH,X600352.SH,X600188.SH,X600489.SH,X000301.SZ,X600111.SH,X600795.SH,X601991.SH,X600688.SH,X600803.SH,X600299.SH,X600486.SH,X002466.SZ,X000932.SZ,X600027.SH,X002075.SZ,X300037.SZ,X600219.SH,X601992.SH,X002080.SZ,X002353.SZ,X601168.SH,X000898.SZ,X000630.SZ,X600315.SH,X000723.SZ,X000027.SZ,X002409.SZ,X000883.SZ,X000878.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0765677872027775,0,0,0,0.125228810336443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0188091747095182,0,0.0305692171267556,0,0.0138329309576458,0,0.0260046681823887,0,0,0,0,0,0.0112135018972114,0,0,-0.0164824160784304,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0.00843128925510533,0,0,0,0.00977178129526501,0,0,0,0,0,0,0,0.00582192507604204,0.0322433904871736,0,0,0,0,0.00295786063959828,0,0,0.00516345547300134,0,0,0,0,0.0450432619250519,0,0.0208374842729023,0,0.0144653441815187,0,0,0,0,0,0,0,0.0519003740984984,0,-0.0116920511068268,0,0,0,0,-0.0195922957110774,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0.097445638491483,0,0,0.0219526097844917,0,-0.00308909863507681,0,0,0,0,0,0,0.00938323200686506,0.301408593818354,0,0.0177913212628701,0,0,0.0607384426693309,0,0,-0.066377475237878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00813928068176207,0,0
X600585.SH,0,0,0,0,0,0,0.0837133976496991,0,0,0.0992740946755043,0,-0.0381668105401436,0,0,0,0,0.0449950746109255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585436903537659,0,0,0,0.0385871574936628,0,0,0,0,0,0,0.0147138528769156,0.00559022496778542,0,0,0,0.0106865384873856,0,0
X600309.SH,0,0,0,0,0,0,0.0705363350267263,0,0,0,0,0,0,0,0,0,0.357134528179508,0,0,0,0,0,0,0.0971043971854656,0,0,0,0,0,-0.151629103861509,0,0.186375662999991,0.0553074683890396,0,0,0.164430122252875,0.187984223228284,0,0,0.0506156509378455,0.263910912137812,0,0,0,0,0,0,0,0,0,0,0.0181757041007528,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0011786351358564,0,0,0.0524429971312535,0,0,0,0,0,0,0,0,0.0453891451202224,0.0414123627646336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133892263077176,0.030394979599154,0.053831251281574,0,0.019229442740722,0,0.0622855135580538,0,0.0514813894705782,0.0489132928437526,0,0,0,0.0110700666496226,0,0
X600547.SH,0,0,0,0.120739717822563,0,0,0,0,0,0.00748680115375817,0,0,0,0,0,0,0.0282695935527184,0,0,0,0,0,0,0.652446473424493,0,0.0904970129760708,0,0,0,0,0,0,0.0443069196839802,0,0,-0.000678909602437766,0.0437626335650574,0.047898427800925,0,0,0,0,0,0,0.066774792582456,0,0,0,0,0,0,-0.00579548016951519,0,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0.0434744228809569,0,0,0,0,0,0,0.0435378562053297,0.0336719051962101,0,0,0,0,0,0,0.0843662087454712,0,0,0,0,0,0,0,0,0,0.100841032175084,0,0,0.190699682328664,0.1211320156271,0,-0.0620757453137562,-0.0969286200384114,0,0,0,0,0,0,0,0.0358612848623356,0,0,0,0,0,0,0,0,0,0,0,0.0535496862251812,0,0
X600660.SH,0,0,0,0,0,-0.0771166168773446,0,0,0,0,-0.0851916369097554,0,0,0,0,0,0.00886701155441263,-0.0241952742946286,0,0,0,0.179022823396373,0,0,0,0,0,0,0,0.208778734196539,0,0,-0.0543037218919935,-0.0161578458834635,-0.0690315263208905,0,0.273345561840718,0,0,0,0,0,0,0,0,0,0,0,0,0.0036987571296221,0,-0.0285383924480995,0.0966644650619587,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0.113310740252381,0.162194353515143,0,1.0842021724855e-19,0,0.131531526162508,0,0,0,0,0,0,0,0,0,0,0,0,0.189023943206098,0,0.00783269276292409,0,0,0,0,0,0,0.240374150955317,0,0,0,0.22987185486624,0,0,0,0,0.104814223653189,0,0,0.0618359193923055,0,0,0,0,0.00770779209411753,0,0,-0.0518232790682557,0,0,0,-0.022581238737274,0,0
