,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X601600.SH,X600688.SH,X600795.SH,X601991.SH,X600027.SH,X600623.SH,X600362.SH,X600886.SH,X600188.SH,X600157.SH,X600111.SH,X601992.SH,X600299.SH,X002466.SZ,X000792.SZ,X600547.SH,X600660.SH,X601158.SH,X000709.SZ,X600583.SH,X600489.SH,X600309.SH,X000539.SZ,X000883.SZ,X000898.SZ,X600352.SH,X000027.SZ,X002075.SZ,X000630.SZ,X000959.SZ,X600578.SH,X000629.SZ,X600021.SH,X000983.SZ,X000060.SZ,X002470.SZ,X600160.SH,X600098.SH,X000012.SZ,X300072.SZ,X600176.SH,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0.133527113947952,0,0,0,0,0,0,0.0240457951423919,0,0,0.170840665495494,0,0,0.0133130732148729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00895735768561885,0,0,0.0498177807848871,0,0.0108015891673392,0.0124976523385743,0,0,0,0.0621167082572233,0,0,0.0221941392496288,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.117955552266413,0,0.0684111969592046,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0.039274463629086,0,0,0,0,0,0,0,0.0186403027502626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0454558690485721,0,0,0.0385310141768335,0.0123246018594564,0,0,0.0847697664358356,0,0,0.0259544937682342,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.420840876649963,0,0,0,0,0,0.0211024438425793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0854049015950164,0,0,0.160776554219755,0,0.0690773066008198,0,0,0,0,0.00136510692488135,0,0,-0.0128330730786897,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.0180024072279854,0,0,0,0,0,0,0,0,0,0,0.0305284627821793,0.0610067622369283,0,0.0153192133399132,0,0,0,0,0,0,0.112538267180267,0,0,0,0,0,0,0,0.144089939572749,0,0,0,0,0,0.0595070078470258,0,0,0,0,0.042507455527146,0.0551812776016694,0,0,0,0,0.00044561247541272,0.00229591716440556,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097146906312255,0,0.302444749726589,0,0,0,0,0.0471614856695641,0,0,0.0159777922958744,0,0,0,0,0,0,0,0,0,0,0,0,0.181281634174884,0,0,0.134827731458063,0,0.0567917619415022,0,0,0,0,0,0,0,-0.00478106322766716,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.018638586450608,0.364415519872797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.334690831195398,0.0763860038638067,0,0.0297511260469449,0,0.148024816292964,0,0,-0.0331175872954214,0.111087877403808,0.0232079572946152,0,0,0,0,0,0,0,0,0,-0.0146356377342702,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0429179908088949,0,0,0.15000532603497,0,0,0,0,0,0,0,0,0.211901102740586,0,0.0214309465880799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109868088085613,0,0,0.0699740426420263,0,0,0,0.0258933387013947,0,0,0,0,0.0510857633432679,0,0,0,0,-0.0136133685633602,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0.0580697554851053,0,0,0.160385018515229,0,0,0,0,0,0.129375992565322,0,0.00668087971376879,0,0,0,0.000530454530977126,0,0.114523087303805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0862961001721357,0,0,0.126532174226454,0,0.0291518584196966,0,0.118499649123542,0,0,0,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.248300962822073,0,0,0,0,0,0,0,0,0,0.181735207884547,0.0805980333697356,0,0,0.0142546475920583,0.0168324490906432,0,0,0,0,0,0,0,0,0,0,0.0598783604197886,0,0,0,0,0,0.0869875546137315,0,0,0.00899157352867613,0,0.106294051380637,0,4.33680868994202e-19,0,0.0376005345889639,0,0,0,-0.0185650008369194,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0.189168462871249,0,0,0,0,0,0,0.0541373360418602,0,0,0,0,0,0,0,0,0,0,0,0.00369494100422133,0,0,0,0,0,0,0,0,0,0,0.0806380252973398,0,0,0,0.00957786779066327,0.243780073916371,0,0.114278993707486,0,0.0592530766069133,0,0,0,0,0.033333306059054,0.00598995115668045,0,0,0,0,0,0
