,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600011.SH,X600019.SH,X002460.SZ,X600585.SH,X601898.SH,X002466.SZ,X600547.SH,X000792.SZ,X601600.SH,X600886.SH,X600660.SH,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X000877.SZ,X600027.SH,X600426.SH,X600795.SH,X600362.SH,X002271.SZ,X601991.SH,X600803.SH,X600176.SH,X600489.SH,X000983.SZ,X601699.SH,X000807.SZ,X000786.SZ,X000539.SZ,X000629.SZ,X600160.SH,X300037.SZ,X002409.SZ,X000408.SZ,X600995.SH,X600219.SH,X002080.SZ,X000932.SZ,X600612.SH,X600378.SH,X600688.SH,X000723.SZ,X000630.SZ,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.613794734999854,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0.0599481154149087,0.0136037794445722,0,0,-0.252461922778679,0,0,0,0,0,-0.292154776920675,0,0,0,0,0,0,0,0,0,0.211897034971468,0,0,0,0.0371372331511159,0,-0.0582120198886922,0,0,0,0.143326194234416,0,0.118357914736891,0,0,0.0769495339882319,0,0,0,0.0410003408064538,0,0,0,0,0,0,0
X600028.SH,0.664760441174483,0,0,0,0,0,0.0686944164829636,0,0.190547110125923,0,0,0,0,0,0,0,0,0,0,0,0,-0.018276647371311,0,0,0,0,0,0,0,0,0,0,0.0242753550154147,-0.120844249203353,0,0,0,-0.0624268394189465,0,0,0,0,-0.0591472108719851,0,0,0,0,0,0.0366963618197282,0,0,0.0262715094044695,0,0,0,0,0,0,0
X601088.SH,0.135409585416426,0,0,0,0.185950048241385,0,0,0,0,0.141519333063771,0,0,0,0.0247026079600074,0.0316688774058516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0639174261004024,-0.00453543029716743,0,0,0,0,0,0,0,0,0,0,0.0395463236144202,0,0,0,0,0,0.0277612816530881,-0.0276702542778992,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,-0.151991164592899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0135328398445862,0.370074316662207,0,0,0,0,0,0.011075446624981,0,0,0,0.110562716308905,0,0,-0.0791303733301076,0.0356647381500132,0,0.044315978568643,0,0,0,0,0,0,0,0,0,0,0,0,0.0083027767513392,0,0,0,0,0,0,0
X600188.SH,0,0,0.23858218949161,0,0,0,0.0258880056423444,0,0,0.337367401402129,0,0,0,0.32767983179388,-0.171195167617856,0,0,0,0.0787598985091751,0,0,0,0,0,0,0,0,0,0,-0.381387896845734,0,0.305461314622729,0.179349623126803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.168595803228613,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.166748174463246,0,0,-0.068791323992792,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327862762036154,0,0.588275502887266,0,0,0.168924790705479,0,0,0.133782171976304,0,0,0,-0.156902073205695,-0.0913046974947096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256191417198935,0,0,0,0,0,0,0
X600019.SH,0,0.0830241534075599,0,0,0.0650836224333755,0,0,0,0.096804110480123,0.00623658593430856,0,0,0,0.0669750787586744,0,0,0,0,0,0,0,0,0.0812410479448926,0,0,0,0,0,0,0,0,0,0.0667284955440169,0,0,0,0,-0.105947093163825,0,0,0,0,0,0,-0.0406609170874667,0,0,0,0.0737320778387273,0,0,0.0377145451651808,0.0535903236752503,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0.525790188343712,0,0.0585244143555472,0,0,0,0,0,0,0,0.131703428084059,0,0,0,0,0,0,0,0,-0.0271033821792051,0,0,0,0,0,0.0880008223032548,0,0,0,0.141983244242951,0,0,0,0.0121444325572745,-0.0270709788706529,0,0,0,0,0,0.221287227018141,0.0254807207839019,0.00244484757064792,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0.199996022057938,0,0,0,0.0326150383898318,0,0,0,0,0,0,0,0,0,0,-0.0459209956570668,0.0764219667739288,0,0,0,0,0,0,0,0.13810022416494,0,0,0,0.0454765350414267,0.133126961833587,-0.0458020130708484,0,-0.0635664055391543,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,-0.0415937048915423,-0.0111323881846742,0,0,0,0,0,0
X601898.SH,0.231437135508805,0,0,0,0.680475670036636,0,0,0,0,0,0,0,0,0,0,0,-0.0119429098896386,0,0,0,0,0,-0.032667743996343,0,0,0,0,0,0,0,0,0,0,0,-0.0204539459572442,-0.0414341304847904,0,0,0.00421997560387462,0,0,0,0,0,0,0,0,0,0,0,0,-0.00189412110825977,-0.0113400415239707,0,0,0,0,0,0
