,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X000792.SZ,X600111.SH,X600019.SH,X600188.SH,X002466.SZ,X000877.SZ,X002271.SZ,X600011.SH,X600660.SH,X000708.SZ,X600010.SH,X000301.SZ,X601600.SH,X601898.SH,X600547.SH,X600362.SH,X600426.SH,X600886.SH,X600176.SH,X000723.SZ,X000408.SZ,X600219.SH,X000786.SZ,X600803.SH,X002080.SZ,X601991.SH,X000807.SZ,X600795.SH,X000983.SZ,X600096.SH,X600801.SH,X600688.SH,X300073.SZ,X601699.SH,X600141.SH,X000825.SZ,X002497.SZ,X002353.SZ,X600352.SH,X000960.SZ,X000932.SZ,X600160.SH,X600157.SH,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.111946843587367,0,0,0,0,0.0745979847600023,0,0,0,0,0.128674507326949,0,0,0,0,0,0,0.0105041166748542,-0.0319056011311543,0,0,0,0,0,0,0,0,0,0.176170216610463,0.0303640476593458,0,0,0,0.106896597406537,0,0,0,0,0,0,0,0,0,0,-0.0240530402203898,0,0,0,0,0,0
X600028.SH,0.180331511730498,0,0.0264635311298268,0,0,0,0,-0.043249578411302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227603566451828,0,0.0523667163013271,0.0731557235914834,-0.0413845878865778,0.0287118492099456,0,0,0,0,0,0,0,0,0,0.040741973090078,0,-0.0030651862670182,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.00821732724277938,0,0,0,0,-0.142718895882177,0,0,0,0,0,0,0,0.0411170919315822,0,0,0,0,0,-0.0587582452796962,0,0,0.273130330270739,0,0,0.200252465369322,0,0.0668441901966001,0,0,-2.16840434497101e-19,0,0,0.146195856714056,0,0,0,-0.0452050038509026,0,-0.0455640841863349,0.0853988167070842,0,0,0,0.0975786018317812,0,0
X600309.SH,0,0,0,0,0,0,0,0,0.0308941997918202,0.00671580532819155,0,0,0.0945799878062564,0,0,0,0,0.0844596384314283,0,0,0,0,0,0,0,0,0.0297655271227828,0,0,0.16205805826827,0,0,0,0,0.0109466690721514,0,0,0,0.00250785682766719,0,0,0,0,0,0,0,0,0,0,0.0133103287044581,0,0,-0.0183473447526731,0,0,0,-0.0165123072022066,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0.0191643050860264,0,0,0,0,0.0496197939708471,0.00606447257392293,0,0,0,0,0,0,0,0,0,0,0.0928654922244374,0,0,0,0,0,0,0,0.423100185119151,0,0,-0.0297302596882715,0,0,-0.00934265656413535,0,0,0,0,0,0,0,0,-0.00679855072646072,0,0,0,0,0.00031726022203989,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0.0934322089201034,0.284175093195137,0,0.128114300495543,-0.0136008164582169,0,0,0,0,0,0,0,0,0,0,0,-0.274343391754852,0,0,0,0,0.126879727022239,0,0,0,0,0,0,0,0.267231938178607,0,0.0833840124285375,0,0.134239842133513,0,0,0,0,0,0,0,0.0736231397073027,-0.0123627165810436,-0.00352610343494444,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0.299534589772337,-0.0604999196911408,0,0.285695299201665,0,-0.0873988907668891,0,0,0,0,0.288736964132677,0,0,0,0,0,0,0,0.0637705201729886,0,0,0,0,0,0,0,0,0,0.0497564007993454,0,0,0,-0.0825097222184621,0,-0.330304919584458,0.0584670547755038,0,0,-0.070513656510111,0,0,0,0,0,0.00997233982145019,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0,0.155047242969664,0,0,0,0,0.105929825705731,0.208638872384151,0.0710890040854129,-1.73472347597681e-18,0,0,0,0,0,0,0.0380887456029775,0,0,0,0,0,0,0.135298339927316,0,0,0.0112527318792653,0,0,0,0,0.0130852402765613,0,0.122742834226064,0,0,0,0,0.0501368662668263,0,0,0,0.012716441443754,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.0234907019292814,0,0,0,0,0,0,0,0,0.0894015273327359,0,0.10000787882888,0,0,0,0,0,0,0,0,0,0,0,0,0.086073804768169,0,0,0,0,0,0,2.16840434497101e-19,0.00741039472862113,0,0,0,0,0,0,0,0,0.0726022813812421,0.570635366923124,0,0,0,0,-0.001827469707971,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0.0144419569460056,0,0,0,0,0,0,0,0,0,0,-0.0151050945762186,0,0,0.249301574525099,0,0,0,0.215573598938581,0,0,0,0,0,0,0.0505331589042678,0,0.0440331385036004,0,0.432456026068539,0.0128330669929101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0545665924173496,0.0913007456640601,0,0,0,0,0,0
