,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601898.SH,X600660.SH,X601600.SH,X601991.SH,X600688.SH,X600188.SH,X600795.SH,X600886.SH,X600362.SH,X002466.SZ,X000898.SZ,X600516.SH,X600547.SH,X600027.SH,X600111.SH,X601992.SH,X600176.SH,X002460.SZ,X600352.SH,X000553.SZ,X002110.SZ,X300072.SZ,X000786.SZ,X600299.SH,X000932.SZ,X600808.SH,X600801.SH,X000709.SZ,X600426.SH,X000883.SZ,X600339.SH,X601158.SH,X600583.SH,X600219.SH,X600985.SH,X601699.SH,X000830.SZ,X601003.SH,X600489.SH,X002271.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.132929629057286,0,0,0.0614171418802398,-0.0276934322024778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0691716651004629,0,0,0,0,0,0.085532996688293,0,0,0,0,0,0,0,0,0,0.0862753330773804,0.00146592088248967,0.0721599100867924,0,0,0,-0.0012516674780448,0,-0.00570889261915538,0,0,0,0,0,0
X600028.SH,0.0484475938748259,0,0.182631028766399,0,0,0,0,0,0,0.0261677483944099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0985310916146473,0.139567630832335,-0.129354294324505,0,0.0189192262163028,0,0,0,0,0,0,0,0,0.0282681213967604,0,0,0,0,0,0,0,0,0.100900452484895,0,0.00543275476338976,0.0104680009936738,0,0,0,0,0,0
X601088.SH,0,0,0,0.0535066383578102,0,0.0309579167182852,0,0,0,0,0,0,0,0.224733651956512,0,0,0.284213315064534,0.0334404750551998,0,0,0.036835743042613,0,0,0,0,-0.0387448513626487,0,0,-0.0377356685733455,0,-0.0717965812830286,0,0,0,0,0,0,0,0,0,0,0,0,0.211846673554575,0,0,0,0,0,-0.00555127430082048,-0.0239313384214646,0,0,0,0,0,0
X600585.SH,0,0,0.0775565084688218,0,0.0805947891555832,0,0,0.010375407316685,0,0,0,0,0,0,0,0,0,0.0832499991561276,0,0,0,0,0,0,0,0,0,0,0,0,0.28769214785297,0,0,0,0.296868130447719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.005797815246488,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.0605570334333603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909642721100079,0,0,0,0.078793254365054,0,0,0,0,0,-0.0192102939251356,0,0,0,0,0.0129005120471355,0,0.246044397856601,0,0.100369194853283,0,0.0140784804745786,0.0110257752353795,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0961223062144059,0,0.37886760005774,0,0,0,0,0,0,0,0,0,0,0.232438086626254,0.14157792969087,0,-0.281838221726947,0.132797195995616,0,0,0,0,0,0,0,0.0298120433354998,0,0.04863378746536,0,0,0,0,0.0390184112440281,0.0581081773314927,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.108017115593626,0,0,0,0,0,0,0,0,0,0.110170453111059,0,0,0,0.0739289252105594,0,0.694098291764349,0,0,0,-0.00226434246409609,0,0,0,0,0,0,-0.0276488918938102,0,0,0,0,0,0,0,0,0,-0.0153098958312199,0,0.138366289651959,0,0,-0.0305211217000217,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.077590322378483,0,0,0.0801108193796643,0.0199137995663636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.405524834236064,0,4.33680868994202e-19,0,0,0.215100790971882,0.0660865129148993,0,0,-0.0206655842475786,-0.0890831940685711,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0.310220058710217,0,0,0,0,0,0,0,0,0.0398228575682231,0,0,0,0.0303882395699418,0.127200668788249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0292263465351436,0,0.0320120041143448,0.0899418642156787,0,0,0,-0.0101129256758287,-0.00504742457629028,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26341502058481,0,0,0,0.0706817665798063,0,0,0,0,0,0,0,0,0.00494221520526946,0.118364823954731,0,0,0,0,0.149349748874418,0,0,0,0,0,0,-0.0730629939080189,0,0,0,0.0609053129700179,0.0835052543887808,0.00583894340932962,0.0306177453189179,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0.0904018814511553,0,0,0,0,0.061876714327322,0,0,0,0,0,0,0,0,0,0,0.0875003019845815,0,0,0,0.0372963287109436,0,0,0,0,0,0,0,0,0,0,0,0.268801898375323,0,0,0.184313327310194,0.0906982783047385,-3.46944695195361e-18,0,0.0404683858455469,0,0.00523604706999941,0.00269757815734023,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00113633290931441,0,0.150251423712034,0,0.0818134204806275,0,0,0,0,0,0,0,0.0280333390225828,0,0,0,0,0.149606827883919,0,0,0,0.0599843610791473,0,0.0167480958575225,0,0.00364740586538293,0,0,0,-0.00341805806479192,0,0,0,0,0,0
X600688.SH,0,0.240357936876358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196452997162635,0.0352513296727144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00904150456469588,0,0.0186936443343301,0,0,0,0.0642621731526954,0,0.080477433192874,0,0,0,0,0,0,0.00366234333921222,0,0,0.0356108907878353,0,0,0,0
