,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600585.SH,X600019.SH,X601898.SH,X601991.SH,X601600.SH,X600188.SH,X600010.SH,X600362.SH,X600111.SH,X600795.SH,X600886.SH,X600027.SH,X600688.SH,X600309.SH,X601992.SH,X600583.SH,X000898.SZ,X601158.SH,X000792.SZ,X000709.SZ,X000883.SZ,X002353.SZ,X600489.SH,X600547.SH,X000539.SZ,X000630.SZ,X000629.SZ,X000027.SZ,X601699.SH,X000831.SZ,X000825.SZ,X000937.SZ,X000983.SZ,X600660.SH,X600315.SH,X600578.SH,X600352.SH,X000959.SZ,X600549.SH,X600808.SH,X002470.SZ,X600307.SH,X600008.SH,X600863.SH,X000878.SZ,X000960.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.180869037150777,0,0.0614985163417607,0.0329432468358629,0.128228335049748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0241109109851947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.073447604723243,0.0416420875096916,0,0.00245400345516129,-0.00453188867243386,0,0,0,0.0141853041375201,0,0,0,-0.0037897300355277,0,0,0,-0.0106783875703658,0,0
X600028.SH,0.043644625784531,0,0,0,0,0,0,0,0,0,-0.02929355663037,0,0,0,0,0,0.183239992710816,0,0,0,0,0,0,0,0,0.0980033175646397,0,0,0,0,0,-0.0215219454035564,0,0,-0.0391843252478616,0,0,0,0,0,-0.115765197481588,0,0,0,-0.0838028672354652,0,0,0,0.12504496317339,0,0,-0.0192498735432932,-8.67361737988404e-19,0.00396303492622353,0,0,-0.011243898854077,0,0
X601088.SH,0,0,0,0,0.148537922980555,0.00587558463876579,0.156885847751051,0,0,0.140007672795797,0,0,0,0,0,0,0,0,0.0404001303638119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00382786817238505,0,0,0.163881830650765,0,0,0,0,0,0,0,0,0,0,0,0.0433176834062693,0,0,0,-0.00242407912513842,0,0,0,0,0,0
X600011.SH,0.124093159284141,0,0,0,0,0.273680761939217,0,0,0,0,0.0139552928536299,0,0,0,0,0.407097726267639,0.197887029733606,0,0,0,-0.056290770719476,0,0,0,-0.0387076003799424,0.0121273665764973,0.0464880773768844,0,0,0,0,0,0,0,-0.050603891085402,0,0,0,0,0,0,0.01446511394553,0,0,0,0,0,0,0,0,0,0.0211541683061333,-0.047740951759079,0,0,0,0,0,0
X600585.SH,0,0,0.0371922721977011,0,0,0,0,0,0.186437170574514,0,0.0847764526123291,0,0,0,0,0.0306964258849586,0,0,0,0,0,0,0,0.0162770467020948,0,0.0689146544543405,0.00324519707177467,0,0,0,0.0354352633770189,0,0,0.0334554483624825,0,0.0796962027677058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0190205067468094,0,0,0,0,-0.0709976283363818,0,0
X600019.SH,0,0,0,0.150208516530406,0.0978205839341326,0,0.00576300366585697,0,0,0.0702233950323366,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248147268936947,0,0,0,0,0,0,0.171001210813014,0,0,0,-0.0426229048479396,0,0,0,0,0,0,0.0962546496848266,0,0,-0.0533852862657689,0,0,0,0.035308062710654,0,0,-0.00626748794217316,0.0131444787829381,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.27991119147993,0,0.0338914632219175,0,0,0,0,0,0,0,0.116123158597939,0,0,0,0,0,0,0,0.0691902172302055,0,0,0,0,0,0.172178209169971,0.152130164393394,0,0,0.019638312457544,0,0,0,0,0,0,0,0,0,0,0,0,0.00324728914786282,0,0,-0.0253514556299368,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0.0181262743290497,0,0,0.0134646189486774,0,0,0,0,0,0.098829758065023,0,0,0,0,-8.67361737988404e-19,0,0,0,0.00120133600361791,0,0,0,0,0,0.114474479218296,0.0121457350302739,0.0380139615921007,0,0,0,0,0.0519349951416165,0,0.125181756798969,0,0,0,0,0,0,0.123333133390742,0,0,0,0,0.0122103893670582,-0.0322707443784498,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0.0286629372669498,0.106872726437012,0,0,0,0.454888034917789,0,0,0,0,0,0,0,0,0.00903925523000894,0,0,0.0333125457608099,-0.0814217077375421,0,0.0196761455007446,0,0,0,0.0491121642297154,0,0.0852389824520785,0,0,0,0.00438968489104831,0,0,0,0,0.0339379053044901,0,0.0843996484245028,0,0,0,0,0,0,0,0.0031609029589373,0.00387781330367904,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0.211069484545961,0,0,0,0,0,0,0,0,0,0.334114345236084,0,-0.0640991786286597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49860854919425,0,0,0.054861983876315,0,0.0687276733889266,0,0,-0.0185705368092262,0,0,-6.93889390390723e-18,0,0,0,0,-0.0253887554333542,0.0344490410436356,0,0,0,-0.0272127816615784,0,0
