,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X600585.SH,X600011.SH,X601898.SH,X600547.SH,X601600.SH,X600660.SH,X600886.SH,X000792.SZ,X002460.SZ,X002466.SZ,X600111.SH,X600010.SH,X000708.SZ,X600795.SH,X000301.SZ,X600426.SH,X600362.SH,X000877.SZ,X601699.SH,X002271.SZ,X600027.SH,X000983.SZ,X600489.SH,X600803.SH,X601991.SH,X000807.SZ,X600176.SH,X600160.SH,X000786.SZ,X000932.SZ,X000408.SZ,X000630.SZ,X600985.SH,X000933.SZ,X600219.SH,X300037.SZ,X000629.SZ,X600688.SH,X600612.SH,X002409.SZ,X000723.SZ,X002128.SZ,X600157.SH,X601168.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.65272574826201,0,0,0,0,-0.0630104433860439,0,0,0,0,0,0,0,0.168336061057999,0,0,0,0,0,0,0,0,0,0,-0.243218778168051,0,0,0,0,0,0,0,0,-0.0151240018367536,0,0.0441334557521358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151735034095609,0,0,0,0.0450105604666233,0,0
X600028.SH,0.577258474440525,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,-0.0182262525247477,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0803865808219693,0,0,0,0,0.0420782328117795,0,0,0,0,0,0,0,0,0,0,-0.023958849806477,0,0,0,0,0,0.000396959702536952,0,0,0,0,0.0531061585584613,0,0
X601088.SH,0.0265410258006864,0.0551382076533934,0,0,0.200006790388445,0,0,0,0,0,0,0,0.0458895797375696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105534605101026,0,0,0,0,0,0,-0.0276322270444498,0,0,0,0,0,0,-0.0504448572163872,0,0,0,-0.0908488556744286,0,0,0,0,0,0.0179829088053617,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0.0390809038865057,0,0,0,0,0,0.139486115765643,0,0,0,0.111214459926519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152126249359099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00774180478452255,0.0485044866126547,-0.0435300957947237,0,0,0,-0.185722697926401,0,0
X600188.SH,0,0,0,0,0,0.00761241795489854,0,0,0.184962267644295,0,0,0,0,0,0,0,0,0,0,0,0,0.115932177723282,0,0,0.0626314057268196,0,0,0.449472273641849,0,0.0555342859454509,0,0,0,0,0,0,0,0,0.0540476549010476,0.120003335519319,0,-0.0924293599987536,0,0,-0.027971031435231,0,0,0,0,0,0,-0.0119019558811267,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.279368190773873,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.119144212953545,0.190829470449507,0,0.610806692301458,0,0,0,0.258862109376503,-0.140551656618668,0,0,0,-0.0373585990237593,0,0,0,0,-0.00104521488594501,0.00394784199820406,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0384503219381715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0859484281597542,0,0.224644851470293,0,0.0823412300795473,-0.145159859412799,0,0,0,0,0.116203546040409,0,0,0,0,0,0,0,0,0,-0.0600627406038913,0,0,0,-4.33680868994202e-19,0,0,0,0,0,-0.0249365991435559,0.0340721257448658,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.0575891133037962,0,0,0,0,0,0,0,0.115385836260861,0,0,0,-0.00184365100290224,0,0,0,0,-0.00143791755684785,0,-0.165675534761521,0,0,0.356033267353484,0,0,0,0,0,0,0,0,0,0,0,0,-0.0262853426819887,0,0.165697166640694,0,0,0,0,0,0,0,0,0,-0.0163082988187464,-0.0080752809693286,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.25621039855018,0,0,0,0,0,0,0,0,0,0,0.112971337300794,0,0,0,0,0,0,0,0.018663814199336,0.252611532769872,0,0,0.057202350900136,0,0.166239598516326,0,0,0,0,0,0,0.0152792450794016,0,0,0,0,-0.063798840307799,0,0,0,0,0,0,0,0,0,-0.00330285067052521,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0.015555522113696,0,0,0,0,0,-0.113023303877869,0,0,0,0,0,0,0,0,0,0,-0.105739425720315,0,0,0,0,0,-8.67361737988404e-19,0.48967068891995,0,-0.00651326174904397,0,0,0,0.0277367523676827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0255638366873331,-0.0344978236253091,0,0,0,0,0,0
