,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600011.SH,X600019.SH,X600585.SH,X600660.SH,X600547.SH,X600886.SH,X002466.SZ,X601600.SH,X002460.SZ,X000792.SZ,X600795.SH,X000708.SZ,X601699.SH,X600111.SH,X600010.SH,X000301.SZ,X600362.SH,X000983.SZ,X600027.SH,X000877.SZ,X600426.SH,X600803.SH,X601991.SH,X002271.SZ,X600489.SH,X000786.SZ,X000408.SZ,X600985.SH,X600160.SH,X000630.SZ,X000807.SZ,X000933.SZ,X600176.SH,X000932.SZ,X300037.SZ,X600348.SH,X600612.SH,X601168.SH,X600219.SH,X002128.SZ,X600157.SH,X600688.SH,X000629.SZ,X000027.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.279946813055269,0,0,0,0.0217770712580268,0,0,0,0,0,-0.270549586860973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.029295082609618,0,0,0,0,0,0,0,0,0,0,0,0,0.121956194271681,0,0,0,0,0,0,0,0,0,0.0188945054511714,-0.399081110902394,0,0,0.22698154033474,0,0
X601088.SH,0.0663609446788637,0,0.11518466359961,0,-6.93889390390723e-18,0.166121921516042,0,0,0,0,0,0,-0.016471249807628,0,0,0,0,0,0.168781568399138,-0.0493025076264049,0,0,0,0,0,0,0,-0.157052052608773,0,0,0,0,0,0.0232421151325094,0,0,0,0.093323985117958,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00175717071927301,0.0151951867100909,0,0,0,0.0499355707294189,0,0
X600028.SH,0.638640869023597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0649492629076608,0,0,0,0,0,0.0792960150010263,0,0,-0.00913236279225698,0,0.091199683164317,0.11425515983872,0,0,0,-0.130883014922852,0,0,0,0,0.0360003288997038,0.0116279428751069,-0.0370281679520984,0,0,0,0,0,0,0,0,0,-0.0109900306409806,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0.00992240227783987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292779040472939,0.0231367549670335,0,0,0,0,0,0,0.228905500538187,0,0,0,0,0,0.303034556572951,0,0,0,0,0.338525652081703,0.268090751070274,0,0,0,0,-0.023256492829953,0.0118994524820303,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0.0779322140753977,0,0.105776534211709,0,0,0.0250858615166604,0,0,0,0,0,0,0,0.235254209610487,0,0,0,0,0,0,0,0,0,0,0.00430303547933222,0.0123122119273004,0,0,0.0772469083267304,0,0,0,1.73472347597681e-18,0,0.0614038448966373,0,0.169784272607009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0.010028605609331,0.0046446333965053,0,0,0.592748613317547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057658299897417,0,0,0,0,0,0,0,0.0265049606387539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0868060417627187,0,-0.00988487221654117,0,0,0,0,0,0
X600011.SH,0,0.0998348006945266,0,0.0181445622185753,0,0,0,0,0,0,0.00573718076829983,0.154945091472934,0,0,0,0,0.0949691705718519,0,0,0,0,0,0,0,0.411331458213566,0,0,0,0,0,0,0,0,-0.0768676594684955,0,0,0,0,0.0507647389245871,0,0.0102728226540342,0,0,0,0,0,0,0,-0.0282734278477742,0,0,-0.00256686949729794,0.00339537282012243,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.242822855365786,0,0,0,0,0,0,0,0.0507809916146755,0,0,0,0.0828872719132962,0,0,0,0,0,0,0,0,0,0,0,-0.0461960434048087,0,0,0.483358678396833,0,-0.034970510481404,0,0,0,0,0.138783708531766,0,0,0,0,0,0,0,0,0,0,0,-0.0220374908510984,0,0.12634679863266,0,0,0.071044670498617,0,0
X600585.SH,0,0,0,0.126030248212001,0,0,0,0,0,0,0,0,0,0,0.0376036959219591,0,0,0,0,0,0,0,0,0.0409227071543683,0,0.146606471646975,0,0,0,0.160638644462038,-0.109404710381485,0.0670730244211833,0,0,0,0,0,0.12302338458197,0.0583975375328923,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00460608150033496,-0.0159434964829604,0,0,0.0352070911316429,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0.209739319039293,0,0,0,0,0.0275960088670184,0,0,0,0,-0.0683092747771072,0,0,0.209929001845339,0,0,0,0,-0.010625652506879,0,0,0,-0.035173668358977,0.314103233774696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0315862694911459,-0.00698706194640994,0,0,0,0.175601544691276,0,0
X600547.SH,0.0144390462830087,0,0.05329359915031,0.00945337858674574,0.0451170842664858,0,0,0,0,0,0,0,0,0,-0.0574725076564145,0,0,0,0,0,0,0,0,0,0,0,0,-0.0212963010551056,0,0.032050489490392,0.519158093689393,0.0513411388855184,0,0,0,0,0,0,0,0.0322317917816152,0,0,0,0,0,0,0,0,0,0,0,0.00375255816455915,0,0,0,0,0,0,0
X600886.SH,0.0216407217214455,0.209428319281003,0,0,0,0,0.13724905784075,0,0,0.0704399631586611,0,0,0,0,-0.0341450957218535,0,0.237910579035746,0,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0.00275437846729045,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,-0.103281763541782,0,0.146099576463194,-0.0305074083378855,0.0268444402808486,0,0,0,-0.013249644358066,0,0
X002466.SZ,0,0,0,0.0430716875257191,0,0,0,0,0,0,0,0,0,0,0.744303425957577,0,0,0,-0.00534259993228977,0,0,0.285058628832686,0,0,0,0,0,-0.255521216872362,0,0.0115457549453078,0.0855149208863882,0,0,0,0,0,0,0,0,0,0.0737353609064814,0,0,0,0,0,0,0,0,0,0,0.00688157296227066,-0.024637582176066,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0199387579501851,0,0.0358218841855236,0,0,0,0,0,0,0,0,0,0,0,0,0.0134355202217777,0.0247854888416918,0.083925342008235,0,0,0,0,0,-8.67361737988404e-19,0.020581330397258,0.249391042240739,0,0.115027653148714,0.030314966165366,0,0,0.129096970428687,0,0,0,0,0,0,0,-0.0399873412294438,0.0439055864140411,0,0,0,0,0,0
X002460.SZ,0.0274847337721837,0,0,0,0,0,0,0,0,0,0,0,0.590075685915084,0,0,0,0,0.184337179515353,-0.0342591588296956,0.117992445462942,0.0119675503459751,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,-0.109725132421251,0,0,0,0,0,0,0,-0.0784672605210491,0,0,0,0,0,0,0,0.190621228794034,0,-0.00259897198164282,0.00227806506481248,-0.0228101120606378,0,0,0,0,0
