,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X600010.SH,X600886.SH,X601600.SH,X601898.SH,X600660.SH,X601991.SH,X600362.SH,X600795.SH,X600188.SH,X600688.SH,X600352.SH,X600111.SH,X000723.SZ,X600801.SH,X600027.SH,X601992.SH,X600489.SH,X002271.SZ,X000786.SZ,X000898.SZ,X600176.SH,X600516.SH,X600426.SH,X600299.SH,X002460.SZ,X600612.SH,X000709.SZ,X601158.SH,X000883.SZ,X002466.SZ,X000629.SZ,X600219.SH,X000027.SZ,X000630.SZ,X002353.SZ,X600315.SH,X600583.SH,X000553.SZ,X601699.SH,X600985.SH,X000825.SZ,X000401.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0785472824888812,0.0279837648812845,-0.00608755726143826,0.0344974884582202,0,0,0,0,0,0,0,0.0329886759913365,0.0547989306161533,0,0.0626611858957621,0.0235224537912532,0,0,0,0,0,0.0728614733824776,0,0,0,0.0305705146203102,0,0.0710318380164252,0,0,0,0,0,0,-0.00515599672618554,0.00586923367753952,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.081034628835377,0,0,0,0,0,0,0,0,0,0,0,0.060530981679921,0,0.0178953636927413,-0.046455335123409,0,0,0,0,0,0,0.0512258475841868,0,0,0.00674880286060036,0,0.061848752418133,0,0,0,0,0,0,0,0,0,0,0.0249177603280121,0,0,0,0,0,0,0,0,-0.029233399198562,0.0268453953862906,0,0,0,0,0,0
X601088.SH,0,0,0,0.202847041289812,0,0,0,0,0,0,0,0,0,0,0,0,0.136108405295111,0,0.0615832408083324,-0.0339850222397154,0,0.0385927939693645,0,0,0,0.0464353019284434,0,0,0,0,0,0.0185819508086627,0,0,0,0,0.133592744166814,0,0,0,0,0,-0.113895455221887,0,0,0,0,0,0,0,0,0,0.0221722284653489,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0490833084069151,0,0,0.378908609374114,0,0,0,0.29846874419039,0,0,0,0,0.0237845009211565,0,0,0,0,0,0,0,0.0319175635411159,0,0,0,-0.0073849273481155,0.00329845545057883,0,0,-0.05325119582386,0,0,0.0163681450003296,0,-0.0112179593522093,8.67361737988404e-19,0,0,0,0.0470201417321312,0,0
X600309.SH,0,0,0,0,0,0.196354745708633,-0.045559527129729,0,0.168259760527576,0,0,0,0,0,0,0,0,0,0,0,0.0410836008153234,0.0989372769892503,0,0,0,0,0,0,0,0.0559853648046211,0,0,0.0806200942873362,0,0,0,0.0801397342776521,0,0,0,0,0.106948668850367,0,-0.0643352452762037,0,0.214986342681492,0,0,0,0,-0.0987850432469908,-0.0156520969417002,0.0237478789281011,0,0,0,0.0319775647927707,0,0
X600019.SH,0,0,0,0,0.101360592479231,0,0,-0.119901557397027,0,0,0,0,0.0544464525283886,0,0,0,0,0,0.0755978147963413,0,0,0,0,0,0,0,0,0.000460582031767122,0,0,0,0,0,0,0,0,0,0,0.124685376904468,0,0,0,0,0,0,0.137201830428226,0,0.015810967472254,0,0,0,-0.0145451925104586,0.00966441663043007,0,0,0,0.0587547402556875,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.0960539471382961,0,0,0,0,0,0,0,0,-0.165571859394201,0,0,0.689608607551845,0,0,0,0,0,0,0,-0.0294715111162474,0.0357377367065761,0,0,0.225558992429087,0,0,0,0,0,0,-0.360010195496537,0,0,0,0,0,-0.0573236257959948,0,-0.0437653221794005,0.0240492033820832,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,-0.06139688625333,0,0,0,0,0,0,0,0,0,0,0,-0.0862813277324687,0,-0.0523624885560589,0,0.326413353607084,0,0,0,0,0,0,0,0,0,0,0,0,0.0190297274800023,0.196015487977645,0.0334574968202792,0.191570479647261,0,0,0,0,0,0,0,0,-0.204861510688629,0,0,0.211940884025679,-0.0147686086291424,-0.00339021249676904,0,0,0,0.169768371704861,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109304335082042,0.0830944835460648,0,0,0,0,0,0,0,0,0.0400696706919721,0,0.0618689007638949,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.11295416298136,0,0,0,0.043773871971902,0,0.182637617536043,0.124799422788441,0,0,0.0109756013939117,-0.00900410169711144,0,0,0,0,0,0
X600886.SH,0,0,0,0.0668367760330857,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0452844810005485,0,0,0.0533285245301507,0,0,0,-0.0138767784664929,0,0.114260222214918,0,0,-0.215879187189936,0,0,0.440715557172248,0.162669929818605,0,0,0,0,0,0,0,0,0.00915021779281846,0.032103158057869,0,0,0,0,0,0,0,0.0170024746822297,-0.0161812169451906,0,0,0,0,0,0
