,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600688.SH,X600188.SH,X600547.SH,X600795.SH,X601600.SH,X601991.SH,X600027.SH,X600362.SH,X600157.SH,X600886.SH,X600111.SH,X600489.SH,X300072.SZ,X601992.SH,X600660.SH,X600309.SH,X600623.SH,X002466.SZ,X600299.SH,X000792.SZ,X002075.SZ,X601158.SH,X000709.SZ,X600583.SH,X000898.SZ,X000408.SZ,X600352.SH,X000723.SZ,X000983.SZ,X000883.SZ,X600549.SH,X000539.SZ,X600176.SH,X000027.SZ,X002470.SZ,X000012.SZ,X002460.SZ,X000630.SZ,X000959.SZ,X601699.SH,X600219.SH,X600021.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0.0525641072829857,0.0114169909125873,0,0,0,0.0108695358807892,0,0,0,0,0,0.012679828670817,0,0,0.00653275556016952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111745901939402,0,0,0,0,0,0,0,0,-0.00533381614957582,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.0415282756982717,0,0,0,0,0,0,0,0,0,0,-0.0416733426593719,0,0,0,0,0.0122643442423135,0,0,0,0.0194818926357728,0,0,0,0,0.0241738341958893,0,0,0.101617425837861,0,0.0396056426116446,0,0,0,0,0,0,0,0,0,0,0,0,-0.00983662988321518,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.0292800115984967,0,0,0,0.122579213230681,0.1025579424643,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0.0190458725870593,0.0328056064439908,0,0.0313278126853961,0.0292429637134516,0,0,0,0,0,0,0,0,0,0.0618370950612302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0630364343326419,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0.103549734607677,0,0,0,0,0.123897001556453,0.0250945168032601,0,0,0,0,0,0,0,0.0885585346669618,-0.0219288238333971,0,0,0.0248227196459607,0,0,0,0,0,0.137511654653337,0.156558787519229,0,0,0,0,0,-0.11817356935924,0,0.0583144027214437,0,0,0,0,0,0,0,0,-0.0197931860257345,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0.0629843499896174,0,0,0,0.107349171919555,0,0,0,0,0,0.00662445710906663,0,0,0.126891033976612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0895768536999026,0.0992545753491805,0,0,0,0,0,0,0,-0.00851779073988859,-0.020705565104538,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.156223902492383,0,0,0,0,0.103853918576356,0,0,0,0,0,0,0,0,0,0,0,0,0.176381992443562,0,0.183952483473335,0,0,0,-0.0714410504062663,0,0,0,0,0,0.0965463843906386,0,0,0,0,0,0,0,0,-0.114223354786943,0,0,0,0,0.140375667739448,0,0,0.014090187843849,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,-0.072916961786618,0,0,0,0,0,0,0,0,0,0.0138478188377124,0,0,0.0270489271453668,0,0,0,0,0.0131324682919465,0,0,0,0,0,0,0,-0.00540276891156436,0,0.0396470396699301,0,-0.0133857010921625,0,0.0411431878207095,0,0,0,0,-0.0241044870863457,0,0,0,-0.0631197995622854,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0.146794594566204,0,0,0,0,0,0,0,0,0,0.00312158308040695,0,0.117041086785149,0,0.0261982060130373,0.0992202043334102,0,0,0,0.0371509862679788,0,0.0522831217032097,0,0,0.0280083407228307,0,0,-4.33680868994202e-19,0,-0.0478114756707754,0,0,0,0,0,0,0,0.048136601217294,0.354960968355849,0,0,0,0.0029187246351856,0,0,0,0,-0.132349337713944,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,-0.0742448579988385,0,0,0,0,0.161522397514217,0,0,0.00982504009778086,0.0450414573686484,0,0,0,0,0,0,0,0.101456980330001,0,0.0323311241294742,0,0,0,0.167171432729,0,0.0266470626392469,0,0,0.11409561402487,0,0,0,0,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0143964955836617,-0.106396895398702,0,0,0.169172722391714,0.114712534296522,0,0,0,0,0,0,-0.0260567288461879,0,0,0,0,0.647663968352903,0,0.0308367400302791,0,0,0,-0.108165033397167,0.152492923934129,0,0,0,0,0,0,0,0,0.196703706618879,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707137866253268,-0.0609733741052339,0.0710899992583339,0,0,0.207526950283904,0,0,0,-0.0212573869559293,0,0,0,0,0,0,-0.186459199444856,-0.191575379508689,0,0,0,-0.0968444634902141,0,0.0894368019879634,0.284368847060912,-0.0991662468548788,0,0,0,0,0,0,0.0509791580314259,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205246685771406,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.0174711360131528,0,0.140617505292309,0,0,0.0900443089947854,0,0,0,4.33680868994202e-19,0,0.0430687200360031,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,-0.00639320450990441,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.135338048189508,0,0,0.0580382096837238,0,0,0,0,0.111416131955035,0.142379416101358,0,0,0,0.0304933730342373,0,0,0.0893102825055949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126796123698133,0,0,0,0,0.0675132880323576,0,0,0,0,0.0523676785670098,0,0,-0.0864534768313165,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,-0.0142182606157443,0,0,0,0,0,0,0,0.0114132628088371,0,0.028406668307876,0,0,0,0,0,0,0,0,0,0,0.112528283039483,0,0,0,0,0.0284782886482757,0,0.0288777930603656,0,0,0,0.112616640215246,0.029087729040868,-4.33680868994202e-19,0,0,0.0478340053590475,0,0,0,-0.0181146003567819,0,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0.0946623286168735,0,0,0,0,-0.0190432578387974,0.0974317112817006,0,0,0,0,0,0.274981876941027,0,0,0,0,0,0.0204027136826351,0,0,0,0,0,0.0520511671062197,0,0,0,0,0.029095548475446,0,0,0,0,0,0.0122461367278129,0,0,0,0,0,0.00886747176105332,0,0,0,0,0.0287586017643588,0,0,-0.00498997091390303,0,0,0,0
