,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X002271.SZ,X002460.SZ,X000708.SZ,X600660.SH,X601898.SH,X600547.SH,X600362.SH,X000786.SZ,X600188.SH,X000301.SZ,X601600.SH,X600010.SH,X600886.SH,X600111.SH,X600011.SH,X600176.SH,X600426.SH,X002466.SZ,X601991.SH,X600803.SH,X600801.SH,X000932.SZ,X600352.SH,X000898.SZ,X000027.SZ,X600219.SH,X600795.SH,X600489.SH,X600688.SH,X600486.SH,X000723.SZ,X000825.SZ,X600157.SH,X002080.SZ,X600027.SH,X600516.SH,X000807.SZ,X000883.SZ,X600299.SH,X002353.SZ,X601168.SH,X300037.SZ,X601992.SH,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.315946920126178,0,0,0,0.0218756819034136,0,1.73472347597681e-18,0,0,0,0,0.0112144835984695,0,0,0,0.0235269251268387,0.0208320178235006,0,0,0,0,0,0,0,0,0,0,0.00881428374981399,0,0,0,0,0,0,0,0,0.00327838732820675,0,0,0,0,0,0,0,0.0298434362272626,0,0,0,0,0,-0.00232821169312289,1.0842021724855e-19,0,0,0,-0.0114810975988393,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.034348009498502,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137124801018481,0.0192793019984269,-0.0850346171557029,0,0,0,0,0.0965364681811013,0,0.0408473231860127,0,0,0,0,0,0,0,0,0,0,0.0335538730350689,0,0,0,0,0,0,0,0,-0.00063032712848031,-0.0207525596835098,0,0,0,-1.0842021724855e-19,0,0
X601088.SH,0,0.0776649670474866,0,0,0,0,0,0.0930019642379406,0.00937549620273496,0,0,0,0,0,0.0834145107417971,0,0,-0.0322262226939901,0,0,0,0,0,0,0,-0.0408693313587647,0,0,0,0,0.0213058830527028,0,0,0,0.0483461064855545,0,0,0,0,0,0,0,0.195284780558617,0.0127097250877614,0,0,0.0199512531489373,0,0,0,0,0.0310068744513072,0,0,0,0,0.0131779087551868,0,0
X600309.SH,0,0,0,0,0,0.0236551020348435,0,0.201902081530181,0,0,0,0,0,0.275770316834697,0,0,0,-0.0938209706456084,0,0,-0.00627400972824523,0,0.0423159554872521,0.00907989189154968,0,0,0,0,0,0,0,0.169651485812577,0,0,0,0.220885035787238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0191383890088256,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0.0280591079246836,0,0,0,0,0,0,0,0.105086692159186,0,0,-0.0300592622995551,0,0,0,0,0.0365975378663388,0,0,0,0.151078988267585,0.0720903536579214,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00486368672660474,0,0,0,0,0,0,0,0,0,-0.0256380406597284,0,0,0,0,-0.0230336071987121,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0.0299767181878826,0,0,0,0.102293374087748,0,0,0,0,0.244152776988151,0,0,0,-0.106582555957079,0,0.113991062582819,0,0.209650663111748,0,0,0,0,0,0,0,0,0,0.245660710346649,0,0,0,0,0,0,0,0,0,0,0,0,-0.00880027436190783,0,0.0160512837392058,0,0,0,-0.0179788712556137,0,0
X002271.SZ,0,0,0,6.93889390390723e-18,0,-0.310997575002674,0,0,0,0.124393370434485,0,0,0,0,0,0,0,0,0,0,0,0.0583707331035733,0,0,0,0,0,-0.0095573046482892,0,0,0,0,0,0,0,0.0612197050020211,0,0,0,0,0,0,0,-0.0129221334718327,0,0,0,0,0,0,0,-0.0194611638829365,-0.0173481923718555,0,0,0,-0.0546610100459759,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0421406141592906,0,0,0,0.0174220848393803,0,0.201789044741945,0,0,0,0.266614838544337,0,0,0,0,0,0,0,0,0,0.306056963589418,0,0,0,0,0,0,0,0,0,0,0.286965076623183,0.161071520015124,0,0,0,0,0.0111806960054972,0,0,0,-0.00506786174048844,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,-0.0540229546185175,0,0,-0.0668117196502873,0,-0.115232663561216,0,0,0,0.238521712477312,0,0,0,0,0,0,-0.172010466776383,0,-0.115965192320034,0.320085278508815,0,-0.356607043906781,0,0,0,0,0,0,0,0,0,0,0,-0.0961598195884117,0.41355605347095,-6.93889390390723e-18,0.0322960589634422,0,0,0,0,0.210753944346126,-0.233005482732016,0,0,0,-0.0493599705212882,0,0
X600660.SH,0,0,0,0,0,0,0.219175580948552,0.0353854159766983,0,0,0,0,0.0616809096000506,0,0,0.0563332407880609,0,0,0,0,0,0.00748975359576,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221423115257945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0139824045365106,0,0,0,-0.0344868262247678,0,0
