,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600019.SH,X600011.SH,X601600.SH,X600547.SH,X600585.SH,X600660.SH,X600886.SH,X000792.SZ,X600362.SH,X600795.SH,X000708.SZ,X600010.SH,X600111.SH,X600489.SH,X002460.SZ,X601699.SH,X600027.SH,X600160.SH,X000983.SZ,X000301.SZ,X002466.SZ,X600426.SH,X000786.SZ,X600803.SH,X601991.SH,X000877.SZ,X000933.SZ,X600985.SH,X000630.SZ,X002128.SZ,X000807.SZ,X600176.SH,X601168.SH,X600219.SH,X002271.SZ,X000408.SZ,X600612.SH,X600348.SH,X000883.SZ,X600096.SH,X000932.SZ,X000027.SZ,X600995.SH,X601666.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.557147849588007,0,0,0,0,0.0408669669958859,0.150498223558475,0,0,-0.0755871116990629,0,-0.0271738247228181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0643871873090523,0,0,0,0,-0.0393543220215844,0,0,0,0,0,0,0,0,0,0,0,0,0.0613644307605264,-0.06798314456519,0.0509444546049209,0,0,0,0,0,0
X601088.SH,0.200861179397418,0,0,0,0,0.154598121326002,0,0.0555295473623157,0,0,-0.0299778823956836,0,0,0,0,0.0247579184038914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0686735020715786,0,0,0,-0.0323507610090798,0,0,-0.0583550369157835,0,0,0,0,0,0,0,0,0.163006851982782,0,0,-0.0242880823259958,0,0,0,0,0,0
X600028.SH,0.357174807992848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0318352397025579,0,-0.00602235048202089,0,0.0749280016470081,-0.153851435652867,0.0444192014079303,0,0.0148877162936061,0,0,0,0,-0.0686427690557006,0,0,0,0,0,0,0,0,0,0.0735003124592283,0,0,0,0,0,0,0,0,0,0,0,0,0.014871947571713,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,-0.0290605484707234,0,0,0,0,0,0,0,0,0,0.0391860146273319,0,0,0.0257343930433639,0,0,0,0,0,0,0,0.0415148426442422,0,0,0.0629823990829483,0,0,0,0,0,0,0,0,0.244264095250733,0,0,0,0,-0.258738352740942,0,0,0,0,0,0,0,0,-0.0193491068861757,-0.0165246599487659,0,0,0,0,0,0
X600188.SH,0.0203191099321391,0,0,0,0,0.295517242334174,0,0,0,0.0600725287877047,0,0,0,0,0,0,0,0,0,0,0,0.337559238526467,0,-0.00218650011879621,0,0,-0.0545855420869183,0,-0.0807928015363429,0,0,0,0.0326639956651661,0,0,0,0,-0.0150568166075578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0174954016319207,0,0,0,0,0,0
X601898.SH,0,0.0792690518598737,0,0,0,0,0,0.252705393369076,0,0,0.257807761603934,0,0,0,0.16181792886179,0,0,0.0518585498728105,0,0,-0.0172813015944716,0.0591671076258827,0,0,0,0,0,0,0,0,0,0,0,0.61006970938898,0,0,0,0.116019265950914,0,0,-0.0877751086077264,0,0.0215268769271619,0,0,0,0,0,0,0,0,0.0974105860851488,-0.0427133424322723,0,0,0,0,0,0
X600019.SH,0,0,0,0.107589712386074,0.0207545757854004,0,0,0,0,0,0,0.0782050225587933,0,0,0,0,0,0,0,0,0,0,0.0274606209008107,-3.46944695195361e-18,0,0,0,0.0425068914678183,0.00785629932434309,0.204946577937057,0,0,0,0,0,0,0,0,0.0530490884991162,0,0,0,0,0,0,0,0.210285587279591,0,0,0.0544295522008213,0,0.00205322911611166,0.0411982420085385,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.590821180811791,0,0,0,-0.0580889285280451,0,0,0.0899877127191092,0,0,0,0,0,-0.0508134893894343,0,0.113064149752305,0,0.0124741342274337,0,0,0.0425075589422321,0,0.0644115712076983,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0465761049157035,0.0399861224074834,-0.00793145598741305,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,-0.141679410800994,0,0,0,0,0,0,0.181447588039767,0,0,0,0,0,0.106572468264843,0,0,0,0,0,0,0.19215669327561,0,0,0.10937169316312,0,0,0,0.237751575068234,0,0.225217878697928,0,0,0.0590196178216277,0,0,0,0,0.029356589321083,0,0,0,0,0.0240597633405872,-0.0265177864806545,0,0,0,0,0,0
X600547.SH,0,0,0,0,-0.204420903325733,-0.0334068492171076,0,0,0,0,0,0,0,0,0,-0.0561328855079424,0,0,0,0.791400417789643,0,0,0,0,0,0,0.0164771055386725,0,0,0,0,0,0.126555194764729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0464345305097756,0,0,0,0,0.0273019520275337,-0.178237664528773,0,0,0.0642176071998347,0,0
