,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600795.SH,X601600.SH,X600688.SH,X601991.SH,X600027.SH,X600886.SH,X600157.SH,X600111.SH,X600362.SH,X600188.SH,X601158.SH,X600299.SH,X600583.SH,X601992.SH,X000027.SZ,X600309.SH,X000539.SZ,X000792.SZ,X600352.SH,X000709.SZ,X000898.SZ,X600660.SH,X600021.SH,X000630.SZ,X000883.SZ,X002470.SZ,X600098.SH,X600623.SH,X601918.SH,X002466.SZ,X600307.SH,X600489.SH,X600863.SH,X300072.SZ,X000629.SZ,X600022.SH,X002004.SZ,X600578.SH,X000060.SZ,X600808.SH,X600008.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.578268935207587,0.0505848061995744,0,0,0,0,0.0842170621650792,0,0,0,0,0,0,0,0,0,0,0,0,0.0823910359154635,0,0,0,0,0,0,0.0656157878234782,-0.0743776121044051,0,0,0,0,0,0,3.46944695195361e-18,0.0220267699972671,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0154957865467672,0.0233560002524199,0,0.0717189959919907,0,0,0,0
X600028.SH,0,0,0.135023366773194,0,0,0,0,0.108684807731352,0,0,0,0,0,0,0.0884934283522457,0,0,0,0,0,0.105846908827036,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125693311987366,0,0,0,0,0.116022004348436,0,0,0.020316397093266,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.173129187685034,0.0500173076844838,0,0,0,0,0.516617293654095,0,0,0,0,0,0,0,0,0.0146436676126062,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0393428915174256,0,-4.33680868994202e-19,0.109214866748373,0,0,0,0,0,0,-0.0215576462789296,0,0,0,0,0,-0.0172880609317717,0,0,0,0,0,0,0
X600011.SH,0,0,0.0620655823148978,0,0,0,0,0,0,0,0,0.374819777372827,0.0800340869356405,0,0,0,0,0,0,0,0,0.224007310108266,0,0,0,0.00565018400302869,0,0,0,0,0,0,0.126125847841825,0.0783242761356139,0,0,-0.0673838845352151,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00380017427030334,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0.00881997653653151,0,0,0,0,0,0,0.137425571195854,0,0,0,0,0.165413250821269,0,0,0,0,0,0,0,0,0,0.183966328623163,0,0,0,0,0.0122213513457195,0,0,0,0,0,0,0,0,0.159821080761131,0,0,0,-0.0365877291984512,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.0178010584505693,0,0,0,0,0.23672605995422,0,0.272077103063,0,0,0,0,0,0,0,0,0.111487635579374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0549872600509207,0.0431938055761078,0,0,0,0,0,0,0,0,0,0,0,-0.0313790808248806,0,0,0,0,0,0,0
X600585.SH,0,0,0.282304739043367,0,0,0,0,0,0.220251080004626,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104069410983735,0.0782412145835976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03234841468104,0,0,0,0,0,0,0
X601898.SH,0.0602469681478314,0,0,0,0,0,0,0,0,0.229481152721407,0.0596116418350126,0,0,0,0.143428424649048,0,0,0,0.0711840242689867,0,0,0,0.107030539685585,0,0,0,0,0,0,0,0.126076376633604,0,0,0,0,0,0.203938520946882,0,0,0,0,0,0,-0.0453328901002383,0,0,0,0,0,0,-0.020286156554492,0,0,0,0,0,0,0
X600795.SH,0,0,0.212540392341689,0,0,0,0,0,0,0,0.0213415945422824,0,0,0,0,0.0601490336400875,0,0,0,0.0136664276005365,0.0609414030569979,0,0,0,0,0,0,0,0,0,0,0,0.0863603018854859,0,0,3.46944695195361e-18,0.0110097048974846,0.0827889981264512,0,0,0,0,0,0,0.0250804085105093,0,0.0802244717423059,0,0.0658879381257561,0,-0.0380995731218611,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.186944391620088,0,0,0,0,0,0,0.260605889713367,0,0,0,0.0672302185970109,0.0270224702510053,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.0417062313731394,0,0,0.0953121686285306,0,0,0,0.0884955960925027,0,0,0,0,0,0,0,-0.0209486093780321,0,0,0,0,0,0,0
