,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600019.SH,X600011.SH,X600585.SH,X600660.SH,X600547.SH,X002466.SZ,X600886.SH,X601600.SH,X002460.SZ,X000792.SZ,X600795.SH,X000708.SZ,X601699.SH,X600111.SH,X600010.SH,X600362.SH,X000301.SZ,X000983.SZ,X600027.SH,X600426.SH,X000877.SZ,X600803.SH,X601991.SH,X002271.SZ,X600489.SH,X000786.SZ,X600160.SH,X000408.SZ,X600985.SH,X000630.SZ,X000807.SZ,X000933.SZ,X600176.SH,X000932.SZ,X600348.SH,X300037.SZ,X600612.SH,X601168.SH,X600219.SH,X002128.SZ,X600157.SH,X600688.SH,X000629.SZ,X600995.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.16617595378723,0,0,0,0,0.145018762086374,0,0,0,-0.225016459469247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0622004824792085,0,0,0,0,0,0,0,0.323500287529608,0,0,0,0,0,0,0,0,0.020220517566717,0.0058967851009598,-0.310155596278873,0,0,0.256287628157563,0,0
X601088.SH,0.0663609446788635,0,0.115184663599611,0,0,0.166121921516042,0,0,0,0,0,-0.016471249807628,0,0,-1.73472347597681e-18,0,0,0,0.168781568399138,-0.0493025076264048,0,0,0,0,0,0,0,-0.157052052608773,0,0,0,0,0,0,0.0232421151325093,0,0,0.093323985117958,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00175717071927296,0.0151951867100909,0,0,0,0.0499355707294188,0,0
X600028.SH,0.546607509823392,0,0,0,0,0,0,0,0,0,0.0369902083522877,0,0,0,0,0,0,0.0370961358612951,-0.0603636017434203,0,0,0,0,0,0.0921184191674979,0,0,-0.0159586393974236,0,0.0263631716456666,0.0684992836463645,0,-0.107613437082781,0,0,0,0,0,0,0.0751314199698077,-0.066956581182036,0,0,0,0,0,0,0,0,0.0801858389694168,0,-0.0107406836674143,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23708967080352,0,0.177161730498465,0,0,0,0,0.259218768073677,0,0,0,0,0,-0.0475952035100154,0,0,0.313151185535791,0,0,0,0.508395221067628,0,0,0,0,0,-0.0297554360352501,0.0238281457093815,0,0,0,-0.0388289081351642,0,0
X600188.SH,0,0,0,0,0,0.0772300245006939,0.107584096036195,0,0,0,0.0198543396141778,0,0,0,0,0,0,0,0.224700452241027,0,0,0,0,0.00961406953640625,0,0,0,0,0,0,0.024067232387147,0,0,0,0.0808136277606833,0,0,-1.73472347597681e-18,0,0.0649003022899566,0.162312730265002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0.0120589004976826,0,0,0,0.579225424791045,0,0,0,0,0,0,0,0.0110978354260916,0,0,0,0,0,0,0,0,0,0,0.0651285756160555,0,0,0,0,0,0,0,0.0333766468625967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0891505556745909,0,-0.00993179261923753,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.313566009488014,0,0,0,0,0,0.0173120162870294,0,0.101069011402944,0,0,0,0.174342834292732,0,0,0,0,0,0,0,-0.0683073373721656,0,0,0,-0.0603910194826213,0,0,0,0.420749064201628,0,0,0,0,0,0.0837481057731497,0,0,0,0,0,0,0,0.225749751784208,0,0,0,-0.0177424047678557,0,0.0996056457487371,0,0,0.0177304100525316,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0.00889385288698937,0,0.126706392815694,0,0,0,0.016318162780306,0,0,0,0,0,0,0,0.450680485905851,0,0,0,0,0,0,0,0,0,-0.0196762664560064,0,0,0,0.0308673610689369,0,0,0,0,0,0,0,0,0,-0.058093999362011,0.0721345931166064,0,-0.00588239860759624,0.00635214419221531,0,0,0,0,0,0
X600585.SH,0,0,0,0.155670799828016,0,0,0,0,0,0,0,0,0,0,0.0562448840076635,0,0,0,0,0,0,0,0,0.0519002151537304,0,0,0.165902525203718,0,0,0.103552072327473,-0.1070791134907,0.0578543290342689,0,0,0,0,0,0.107661513473372,0.074365335992231,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00590654246465802,0,0,0,0.024161320309975,0,0
X600660.SH,0,0,0,0,0,0,0.00319191375401395,0,0,0,0,0,0.202799644813728,0,0,0,0,0,0,0,0,0,-0.0939972888070191,0,0.202569687205642,0,0,0,0,0,0,0,0.291998086668901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0518707578631248,0,0.027127910793544,-0.00162785098752373,0,0,0,0.158176030555638,0,0
