,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601898.SH,X601992.SH,X600795.SH,X600688.SH,X600309.SH,X601600.SH,X600660.SH,X300072.SZ,X601991.SH,X600188.SH,X600547.SH,X600362.SH,X600886.SH,X002466.SZ,X600027.SH,X000709.SZ,X600157.SH,X600111.SH,X600339.SH,X000898.SZ,X600489.SH,X601158.SH,X000959.SZ,X600008.SH,X000723.SZ,X600299.SH,X000883.SZ,X002460.SZ,X002271.SZ,X600176.SH,X600352.SH,X600219.SH,X000630.SZ,X600578.SH,X000539.SZ,X600583.SH,X000408.SZ,X000792.SZ,X000027.SZ,X600021.SH,X000786.SZ,X000983.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.178826731098023,0,0,0,0,0,0,0.0485191725818215,0,0,0,0.183447108500809,0,0,0,0,-0.0238545471888358,0,0.0934617602066503,0,0,0,0,0,-0.0271018727360108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158223702216249,-0.0160504489404067,0,0,0.00125963593833784,0.00586846421563904,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0443779913466214,-0.15427734148686,0,0,0,0,0,0,0,-0.0217542132567828,0,0,0,0,0,0,0,0,0,0.119908649723155,0.0380912715473204,0,0,0,0,0,0,-0.0126967319683875,0,0,0,0,0,0,0.00654322118646985,0.00715005392992912,0,0,0,0,0,0
X601088.SH,0,0,0,0.016876141230178,0,0,0,0,0,0,0,0,0,0,0,-0.0143522784364243,0,0,0,0,0,0,0,0,0,-0.0147987502000714,0.213864463811007,-0.013927783768087,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,-0.015457597969654,0,-0.0511127978220106,0,0,0,0,-0.0122842241763995,0,-0.0110233830435983,-0.0140156494606035,0,0,0,0,0,0
X600019.SH,0,0,0.0476144172169356,0,0,0,0,0,0,0,0,0,0.0103841473206807,0.0871776158922931,0.0239322052167676,0,0.0507147901057772,0,0,0,0,0,0,0,0,0.0876828226839754,0.267963561845287,0,0,-0.0179965030905758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12589714567702,0,0,0.00311579603620611,0,0,0,0,0,0
X600011.SH,0,0,0.178983897085123,0,0,0,0,0,0,0.179654212216396,0,0,0,0,0,0.184384145164355,0,0.00539288708395513,0,0,0,0.246917245189741,0,0,0,0.0709983243616494,0,0,0,0,0.0899258744010779,0,0,0,0,0,0,0,0,0,0.0368387234851472,0,0,0,-0.0856203999273568,0,0.0166931523162248,0,0,0,0.0403113752886103,-0.0382981379955258,0,0,0,0,0,0
X600585.SH,0,0,0.0952129411734974,0,0,0,0,0,0,0,0,0,0,0.0273865696098579,0,-0.0884414801120404,0,0,0,0.0079548658018356,0.131469428285484,0,0,0,0,0,0.000948284240948994,0,0,0,-0.0264516444809849,0,0,0,1.73472347597681e-18,0.159791747305074,0,0,0,0,-0.00142294282338174,0,0,0.195770753743519,0,0,0,-0.0615261854192285,0.0810866793598788,0,0.0389247342035001,0,0,0,0,-0.225902562053178,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0779221117345005,0,0,0,0,0,0.0550750959275299,0,0,0,0,0,0.0902888451440244,0,0.114198910838274,0,0,0,0.11798615361882,0,0,0,-0.0357799329939355,0,0,0,0,0,-0.0568554080630243,0,0.0161443002873222,0,0,0.0975512928449072,0,0,0,0,-0.0106461230309014,0,0,0,0,0,0,0
X601898.SH,0,0,0.0268663109300651,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116855301963749,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0282341749935891,0,0,0,8.67361737988404e-19,0,0.0827997960637015,0,0,0,0,0,0.093977701567054,0,0,0,0,-0.0220534407465952,0.342063323415471,0,-0.010403175364682,-0.00551369589550839,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.075028689580913,0,-0.218279049347272,0,0,0,0,0,-0.25823541965268,0,0.539195699800683,0,0,0,0,0.0579498056911031,0,0.0591164539668705,0.462240007193248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111437357353089,0,0,-0.0496025159983495,0.0678587925521657,0,0,0,0,0,0
X600795.SH,0,0,0,0,0.114657488051314,0,0,0,0,0,0,0.0395828302126549,0,0,0,0,0,0.0344420047969882,0,0,0,0,0.0361609000185612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0423250208277291,0.141645777394703,0,-0.0833125588474433,0,0,0,0,0.0086309066282751,0,-0.0116122975779663,0.0136010717485153,0,0,0,0,0,0
X600688.SH,0,0.327445107242449,0,0,0,0,0,0,0,-0.0270963853598858,0,0.0615997035965858,0,0,-0.0298580676102373,-0.0301618449889596,-0.0372939923937501,-0.075151361888198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,-0.0807012046504834,0,0.0653629028343534,0,0,0,-0.00930670636254476,0.00560644198676841,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0.0267631329512353,0,0,0,0,0,0,-0.506955958080002,0.251188550743126,0.258344217158227,0,0.205303404333095,0,0,0.0854600274207415,0,0,0.077080122252371,0,0,0,0,0.0198238234125724,0,0,0,0,0,0,-0.0036162057381745,0,0.0464096309947126,0,0,0,0,0,0,0,0.105791385005654,0,0,0,0,0,-0.0525111063338422,0,0,0,0,0,0,0
