,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X600585.SH,X600011.SH,X600547.SH,X601898.SH,X601600.SH,X600660.SH,X000792.SZ,X002460.SZ,X002466.SZ,X600886.SH,X600010.SH,X600111.SH,X000301.SZ,X000708.SZ,X002271.SZ,X600426.SH,X600362.SH,X000877.SZ,X600795.SH,X600027.SH,X600176.SH,X600803.SH,X601699.SH,X000983.SZ,X600489.SH,X000807.SZ,X601991.SH,X000786.SZ,X600160.SH,X000932.SZ,X000630.SZ,X600219.SH,X000933.SZ,X000408.SZ,X000629.SZ,X002080.SZ,X300037.SZ,X600688.SH,X000539.SZ,X600096.SH,X600612.SH,X600157.SH,X002409.SZ,X600985.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,1.0848892562312,0,0,0,0,0,-0.0166735897582957,0,0,-0.0261672568133782,0,0,0,0,0,0,0,0,0,0,0.0622610725529491,0,0,0,0,0,0,1.73472347597681e-18,0.0116163218149664,0.150550759862665,0,0,-0.0587466138303085,0,0,0,0,0,0,0.0786749479022492,0,0,0,0,0,0,0,-0.0404026224790763,0,0,-0.0122714854824691,0,0,0,0,0,0,0
X600028.SH,0.455388848290266,0,0,0,0,0.00316597134754447,0,0,0,0.280427851165307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10496440879744,0,0.0624519921788416,0,0,0,0,0,0,0,0,0,0,0.0932864598108233,0,0,0.000927211659253678,0,0,0,-0.229424427265034,0,-0.0241392172224569,0,0,0,0,0.0317368287333793,0,0,0,0,0,0
X601088.SH,0,0.115925361306509,0,0,0.227931964827073,0,0,0,0,0,0,0,0,0,0,0,0,0.0967454197096632,0,0,0.041914864694234,0,0,0,0,0,0,0.029354401639399,0,0,0,0,0,0,-0.059775731855537,0,0.174739757056635,0,0,0,0.0113066319262017,0,0,0,0,0,0,0,0,0,0,0.00876282797667007,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0.0836418193651236,0,-0.0254838660239734,0,0,0,0.0835741205768058,0,0.16098742871552,0.0643688247323223,0,0,0,0,0,0.109914087596414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0544528076244945,0,-0.0277099242739078,0,0,0,0,0,0,0,0.0169673145890745,0,0,0,-0.00919391454072953,0,0,0,0,0,0
X600188.SH,0,0,0.712562496525783,0,0,0,0,0,-0.332161490571078,0,0.144020884087188,0,0,0,0,0,0,0,0,0,-0.0155853094867254,0,0,0,0,0,0,0,0.221178885938933,0.110281747484667,0,0,0,0,0,-0.167723198429286,0,0,0,0,0,0,0,0,0.0677912131204103,0,-0.0908778471639098,0,-0.023213801408004,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.0640907059182739,0,0,0,0,0,0.0516608913993012,0,0,0,0,0,0,0,0,0,0.201568266549076,-4.33680868994202e-19,0,0.00631054482139477,0,0,0,0.0670186488236232,0,0,0,0,0,0,0,0.0170419382598623,0,0,0,0,0,0,-0.0301366384090973,0,0,0,0,0,-0.140884726169842,0,-0.115148361072182,-0.0514545466598124,0.0820037180819112,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0579507408378946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0888956021149347,0,0.0176806992334616,0,0,0,0.144356976778177,0,0.0726080214089922,0,0,0,0,0,0,0,0.319637370261622,0,0,0,0,-0.194040229612482,0,0,0,0,0,0.0156452701915899,0,0,0,0,0,0
X600011.SH,0,0,-0.424361309522685,0,-0.103071254404213,0,0,0,0.0835673349903821,0,0,0,0,0,0,0.0863466545424456,0,0,0,0,0,0,0,-0.0747848038451227,0,0.444823846980968,0,0,0,0,0,-0.203132193335788,0.0868253692525551,0,0,0,0,0,0,0,0,-0.0903860205993766,0,0,0.067229753953585,0,0,0,3.3881317890172e-21,0,-0.0138524927546176,0,0.0608416627574542,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.220915774523389,0,0,0,0,0,0,0,0,0.138120440005277,0,0,0.858512154369914,0,0,-0.0229996498513591,-0.114391226731271,0,0,0,0,0,0,0,0,0,0,0,0,-0.10454809185726,0.0519760850810651,0.0366473922115597,0,0,0,0,0,0,0,0,0
X601898.SH,0.080765584306834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00906647122126364,0,0,0,0,0,0,0,0,0,0.158802740522206,0.227876794976592,0.150360106771268,0,0,0,0,-0.117425942855009,0,0.119744531615418,0.0499177285108902,0,0,0.0694118781287825,0.0236890899668613,-0.131341045959619,0,0,0,0,0,0,0,0,0.00121411159735239,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298427919569635,0,0.0358896012915747,0.025011969199622,0,0,0,0,0,0,-0.0307749828260276,0,0,0,0.405943091893302,0,0.0392597085088085,-0.140435735188286,0,0,0,0,0,0,0,0,0,0,0,-0.0763578957219624,0,0,0,0,-0.00739914740077011,-0.0201685725893603,0,0,0,0,0,0
