,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X600019.SH,X601898.SH,X600011.SH,X600547.SH,X601600.SH,X600660.SH,X600585.SH,X600886.SH,X000792.SZ,X600362.SH,X600795.SH,X000708.SZ,X002460.SZ,X600010.SH,X600111.SH,X000301.SZ,X600027.SH,X002466.SZ,X600160.SH,X600489.SH,X601699.SH,X600426.SH,X000877.SZ,X000983.SZ,X000786.SZ,X601991.SH,X600803.SH,X000630.SZ,X600985.SH,X000807.SZ,X000933.SZ,X600176.SH,X601168.SH,X002128.SZ,X000408.SZ,X600612.SH,X000932.SZ,X600219.SH,X600096.SH,X000883.SZ,X002271.SZ,X600295.SH,X000027.SZ,X600348.SH,X600282.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0936347255037851,0.107229198229588,0,0,0,0.0446224600612676,0.214295597672136,0,0.050471881929465,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,-0.0547891317604122,0,0,0,0,0,0.0570379304036323,0,0,0,0,0,0,0,0,0,-0.109021091715741,0,0,0,0,0,0,0.0239284538081274,0,0,0,0,0,0
X601088.SH,0.0660185792015663,0,0,0,0.200461924458806,0,0,0.123427221402659,0,0,0,0,0,0,0,0,0,-0.0136700836486305,0,0,0,0,0,0,0,0,0,0,0.254444883350291,0,0,0,0,0,0,0,-0.0735731869647426,0.0311857879073287,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,1.73472347597681e-18,-0.0360714685769375,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0.13571256023588,0.000256783321517018,0,0,0,0,0,0,0,0,0,-0.124583410361874,0,0,0,0,0,0.0180816820249538,0.0255130009743191,0,0,0,0,-0.108163649783464,0,0,0,0,0.163463214968071,0,0,0.0330893868283609,0,0,0,0,0,0,0,-0.064003207907716,0,0,0,0,0,0,0.0292909449686421,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,-0.0440252296128889,0,0,0,0,0,0,0,0,0,0,0,0.19161870892048,0,-0.00543393863802867,0,0.13472041205018,0,-0.0859655676732066,0,0,0,0,0,0,0,0,0,0,0.171390859319378,0,0,0.0124336491304746,-0.105238909073279,0,0,0,0,0,0,0,0,0,0,-0.00876336862718801,-0.0712239986077052,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0.250115522127698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36863799124501,0,0,0,-0.101436014757672,0,0,0,0,0,0.0333631707208078,0,0,0.0105296260930254,0,0,0,0,0,0,0,0,0,0,0,0,-0.0165962545285759,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.093198728195545,0.0969639554772516,0,0,0,0,0,0.0504247709635466,0.0744767735143338,0,0,0,0,0,0,0,0.0174948522536842,0.0809062742073167,0,0,0,0,0,0.14873212732134,0,0,0,0,0,0.0569018967946458,0,0,-0.167271657397081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0.233684164972821,0,0,0,0.252618432875761,0,0,0.0551925955864048,0,0,0,0,-0.141939134219991,0,0,-0.106987948581995,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.694716346723704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0683205514398916,-0.0187690402713596,0,0,0,0,0,0
X600011.SH,0.0378496388146888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.517916208934117,0.0259947348268961,-0.056726382877125,0,0,0,0.0769012825178755,0,0,0,-0.00582634129035722,0,0,0,0,0.279884561360731,0,0,0,0,0,0.00952643782294789,0,0.0226925458679158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,-0.217930590238714,0,0,0,0,0,0,0,0,0,0.127176634338051,0,0,0,0,0,-0.0562760234637818,0,0,0,0.609772548818608,0,0,0,0,0,0,0,0,0,0,0.0419345953984102,0,0,0,0,0,0,0,0,0,0,0,0.0165688015191297,0,0.0573580631419764,0,0,0,-0.120837197856191,0,0,0,0,0
X601600.SH,0.050513723736321,0,0,0,0,0,0,0,-0.0346633914975708,0,0,0,0,0,0,0,0.0909288971509307,-0.0967813374769826,0,0,0,0.203669360932443,0,0.0658697879097436,0,0,0,0.0837080413189262,0,0,0,0,0,0,0.322361531638127,0,0.0350784542564284,0.209987157883009,0,0,0,0,0,0,0,0,0,0,0,0.0623815843468253,0,0,0.0347172288372024,0.238534987042926,0,0,0,0,0
X600660.SH,0.00153223613021445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0281361607617167,0,0,0,0,0,0,0.00656976351959825,0.129653127529596,0,0.192721924691029,0,0,0,0,0,0,0,0,0,0,-0.0145196867688276,0.0656503101259259,0,-0.131813438940048,0.0233188430980139,0,0,0,-0.0565106905190555,0,0,-0.0759098364677074,-0.0214800580640135,0,0.0521054115264219,0,-0.0463472680350432,0,0,0,0,0
