,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X600585.SH,X600011.SH,X601898.SH,X600547.SH,X601600.SH,X600660.SH,X600886.SH,X000792.SZ,X002460.SZ,X002466.SZ,X600111.SH,X600010.SH,X000708.SZ,X600795.SH,X000301.SZ,X600426.SH,X000877.SZ,X600362.SH,X601699.SH,X002271.SZ,X600027.SH,X000983.SZ,X600489.SH,X600803.SH,X601991.SH,X600176.SH,X000807.SZ,X600160.SH,X000786.SZ,X000932.SZ,X000408.SZ,X000630.SZ,X600985.SH,X000933.SZ,X600219.SH,X300037.SZ,X000629.SZ,X600688.SH,X600612.SH,X002409.SZ,X000723.SZ,X002128.SZ,X002353.SZ,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002409.SZ,0,0,0,0,-0.770826889349175,0,0,0,0,0,0,0,0,0,0,0.392069939311217,0,0.300760577757767,-0.576182410753094,0,0,0,-0.186604261407528,0,0,0.250261519392417,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258314164244132,0,0,0,-0.411500553251167,0,0,0,0,0,0,0,0,-0.077352545477772,0,0,0,0,0,0
X000723.SZ,0,0,0,0,0.034979206219054,0,0,0,0,-0.265914238778542,0,0,0,0,0,0.0148390726141241,0.259196714366289,0,0,0,0,0,0,0,0,0,0,0.059610319077463,0,0.0409198733447925,0,0,0,0.136833651061766,0,0,0,0,0.0541994218384855,0,0,0,0,0.233719940922929,0,0,0,0,0,0,0,-0.0130731698993097,0,0,0,0,0,0,0
X002128.SZ,0,0,0,0,0,0,0,0,0,0,0.0257207308527716,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0.411594457341969,0.0933285899423342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11026022455064,0.0202486522350838,0.028331446097032,0,0,0.0429329167133112,0,0,0,0,0,0,0,0.00663491890247559,0,0
X002353.SZ,0,0,0,0,0,0,0,0,0,0,0,-0.0294794094703398,0,0,-0.0277129209053225,0,0,0,-0.216279746840764,0,0.289883315150724,0,0,0,0.157881529341104,0,0,0,0,0,0,0,0,-0.155001587269417,0,0,0,0,0,0.0877497127589996,0,0,0,2.77555756156289e-17,0.0434173333766539,0,0,0,0,0,0.00866230910465172,0.0325751009639321,0,0,0,0,0,0,0
X600157.SH,0,0,0,0.133634445895189,0,0,0,0,0,0,0,0,0,0,0,0.0949828429814295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256052466259653,0,0,0.0662545227348585,0.00816439962847802,0,0,0,0,0.0482886456130136,0,0,0,0.0329534379784173,0,0,-0.0202610334500635,0,0,-0.00755430389076691,-0.00364381863283195,0,0,0,0,0,0
Change_TY3M,0,0,0,0,-0.144848789497648,0,0,0.127059399512717,0,0,-0.0366488430375577,-0.636342593394449,0,-0.0469036454376284,0,0,0,0,0,0,0,0,0,0,0,0,0.0563069588758554,0,0,0,0,0,0,-0.065339621248004,0,0,0,0,0,0,0,0,0,0,0.0914050091798188,0,0,0,0.1577117891857,0,0,-0.00915994698728025,0,0,0,0,0,0,0
Slope,0,0.0699819966929558,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.281405241367157,0,0,0,0,0,0,0,0,0,0,0,0.216625415134832,0,0,0,0,0,0,0.284822233066601,0,0,0,0,0,0,0,0,0,0,0.209346619636011,0,0,0,0,0,0,1.13000168737462,0,0,0,-2.09629162823729,0,0
TED,0,0,0,0,0,0,0,-0.0781589364975129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625389283633232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0147178109528473,-0.198746621369259,0,0,0,0,-0.257932080935509,0.544238507268362,0,0,0,0,0.34650292524113,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,-0.0226034256506395,0,0,0,0,-0.07394475962951,0,0,0.115153695965101,0,0,0,0.0251641400423133,0,0,0,0,-0.116247434306558,0,0,0,0,-0.231809506690512,0,-0.00991624193916715,0,0,0,0,-0.0285071608158142,0,0,0,0,0,0,0,0,0,0,0,-0.0111248792422291,0,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0.00393324243851583,0,0,0,-0.0663104960130626,0,0,0,0,-0.113632177048127,0,0.0270340994076592,0,0,0,0,0,0,0,0,0,0,0.0245292128367868,0,0,1.73472347597681e-18,0.0564260621360757,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00985748049976947,0,0,0,0,0,-0.00779407270701984,0.00828823180049254,0,0,0,0.0360124120864231,0,0
MKvol,0,0,0,0,0,0,0,0.0018107173210915,0,0,0,0,0,0,0,0,0,0,0,0,0.00113663163797978,0,0,0,0.00141209191690644,0,0,0,0,0,0,0,0,0,0.000995998685871119,0,0.00127237353584855,0,0,0,0,0,0,0,0,-0.000345859890896961,0,0,0.000182938046541731,0,6.41889650134719e-05,0.000532660788985068,-0.00173556130818631,0,0,0,-0.0105637099362701,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00572281921743483,0,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00614566095721946,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120948020026801,0,0,0.0115324738338382,0,0,0,0,0.00391333618824511,0,0,0,0,0,0,0.00193254540202933,0.00766985800408443,0.00249367542359716,0,0,-0.00109583576756717,0,0.00103106273870364,-0.00689272145177794,0,0,0.0316419638774147,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00183257201991736,0,0,0,0,0,0,0,0,0,0,0,-0.00585144343214999,0,0,0,0,0,-0.00350186326958406,0,0,-0.00280464663082016,0,0,-0.014987570174089,0.00920431353412899,0,0,0,0.04098527020799,0,0
