,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X601898.SH,X600547.SH,X601991.SH,X600660.SH,X601600.SH,X600688.SH,X600886.SH,X600795.SH,X600188.SH,X600362.SH,X600027.SH,X000898.SZ,X601992.SH,X600176.SH,X600111.SH,X002466.SZ,X600516.SH,X000709.SZ,X002460.SZ,X600299.SH,X000629.SZ,X600808.SH,X600219.SH,X600352.SH,X600801.SH,X600489.SH,X601158.SH,X000825.SZ,X000786.SZ,X000553.SZ,X300072.SZ,X000792.SZ,X000883.SZ,X600583.SH,X000408.SZ,X601699.SH,X000301.SZ,X002110.SZ,X600339.SH,X000630.SZ,X000027.SZ,X000539.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.133728912819131,0,0,0,0,-0.0387263178377487,0,0.278505940263755,0,0,0,0,0.0502120874574983,0,0,0,0,0,0,0,0,0,0,0,0,-0.0156357768706614,0,-0.0367621699592838,0,0,0,0,0,0,0,0,0,-0.0475321125040933,0,0,0,0,0,0.247986034617664,0,0.281508751237729,0,0,0,0,-0.00949364246844264,0.0770003002101791,0,0,0,0,0,0
X600028.SH,0.120570352408602,0,0,0,0.425308241472286,0.0522119322864455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190083042596064,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0506632628596424,0,0,0.0787637672180431,0,0,0,0,0.150909633781366,0,0,0,-0.0774153350051468,0,0.0352995003484327,0,0,0,0,0,0
X601088.SH,0.215085044233582,0,0,0,0,0,0,0,0,0.0406154169435685,0,0,0,0,0,0,0.165410436538007,0,0,0,0,0,0,0,0,0,0,-0.124558017779246,0.0147830323857311,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156879208677615,0,0,0.141938198274365,0,0,0,0,0,0.0199138034305647,-0.0650568536760469,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.010372370006349,0.107700375186056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0366425283064607,0,0.0174029435852356,0.0725901613575855,0,0,0.525721293581525,0,0,0,1.38777878078145e-17,0,0,0.205011528069869,0,0,0,0,0,0,0,0,0,0,0,0.0195325483758744,0,0,0,0,0,0,0
X600019.SH,0,0.116162805663674,0,0.0420423005353435,0,0,0,0,0,0,0,0,0,0,0,0,0.00857481306484967,0,0,0.614310811651147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00208400888383591,0,0,0,0,0,0,0,0,0.0253539826976812,0,0,0,0,0,-0.00750980355975455,0.000169988452667919,0,0,0,0.0037312499283697,0.0449155878547393,0
X600011.SH,0,0.0340253524377901,0,0.0852094800846273,0,0,0,0,0,0,0,0.023806981008235,0.0602529186429251,0,0.0765125216475617,0,0,0,0.686804597229263,0,0,0,0,0.0255425215033731,0,0,0,0,-0.0274441862875131,0,0,0,0,-0.248605307176459,0,0,0,0,0,0.00454321442599027,0,0,0,0,0,0,0,0,0,0,0,-0.00665554822891594,0.0505017480173983,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138190035086093,0,0,0,0,0,0,0,0,0,0,0,-0.282933768793326,-0.18505870433867,0,0,0,-0.616200138868887,0,0.251236573850539,0.253246576782238,0,0,0,0,0,0,0,0,0.233063382301707,0,0,0,0,-0.390783473309003,-0.00812423577626852,0.0451625124157861,0,0.0845226025105974,0,0,-0.148734967763611,0
X600010.SH,0.128928624408031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0445272850313828,0,0.370251039196575,0.0490374828428884,0,0,0,0,0.047509186375155,0,0,0,0.0541027922834318,0,0,0.00891383099942528,0,0,0,0.00650141471785951,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,-0.00109719515771252,-0.0255882891368121,0,0,0,0,0,0
X601898.SH,0.159728114963338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0521299854407023,0,0,0,0,0,0,0,0,0,0.227054007013421,0,0,0,0,0,0,0,0,0,0.00737160824854677,0.116220796716149,0.159802112101057,0.0813906954781136,0,0.136344904252028,0,0,-0.0179652464656379,0,0,0,0,-0.042268997021378,0,0
X600547.SH,0,0,0,-0.00145453845538827,0,-0.0820889710798468,0.0959718843221237,-0.0167656724643198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0495001976699253,0,0,0,0,0,0,0.527528741461028,0,0.247503714895601,0,0,0,0,0,0,0,0,0,0,0.0245711426211887,0,0,0,0,0.0200836938745792,0,0,0.0740741584597832,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0.0426756999977311,0,0,0.0909044415397246,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0998523030104641,0,0.084825843195343,0,0,0,0,0,0,0,0,0,0,0,0.0944829119966467,0,0,0,0,0.104746927743499,0,0,0,0.122409443218138,0,0,-0.0296586580518385,2.71050543121376e-20,0,0,0,0,0,0
X600660.SH,0.0797371077490539,0,0,0,0,0.0989702890894547,0,0,0,0,0,0,0,0.190550912271945,0,0,0.149868746368762,0,0,0,0,0,0,0.0798969639051696,-0.0689943053411659,0,0,0.176097104397179,0.085048166254961,0,0,0,0,0,0,0,0,0,0.12613518195041,-0.0357807791287868,0,0.104183639245614,0,0,0,0,0.0437946935563978,0,0,0,0,-0.01216836264179,0.146000018930145,-0.123564905097952,0.239443085307971,0,0,0,0
X601600.SH,0,0,0,0.112352930464851,0,0.0154952469969384,0.0143980784762535,0,0,0,0,0.0663362477780102,0,0,0,0,0,0,0,0,0,0,0.0905149039447578,0.0712976161149636,0.20885712247522,0,0,0,0,0,0,0,0.0188628038938127,0,0,0,0,0,0,-0.0160043165053109,0,0.0124658463767471,0,0,0,0,0.0392205795846297,0,0,0,0,0,-0.0787300308426318,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0.364988273090394,0,0,0,0,0.000949941530842255,0,0,0,0,0,0,0,-0.0191769329227708,0,0,0,0,0.335391466554424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00664611215436435,0,0,0,0,0,0,0,0
X600886.SH,0,0.100399047822869,0,0,0,0.204310146841738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0812113397687635,0,0,0,0,0.0179637471167437,-0.0322493698615053,0,0,0,0.0829225253057776,0,0,0,0.0742581766781489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00767128902224104,0.00905377149617707,0,0,0,0,0,0
X600795.SH,0,0.0112127351322084,0,0,0.0325292993652654,0,0.00576336309490799,0,0,0,0,0,0,0,0,0,0,0.172062372496826,0,0,0,0.0141151860782562,0,0,0.207769453902017,0,0,0,0.0110237895474783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00593893461970858,-0.0418199793338481,0,0,0,0,0,0
X600188.SH,0,0,0.530419385994223,0,0,0,0.0713183203624533,0,0,0,0,0.446581426598332,0,0,0,0,0,0,-0.0810604631947669,0,0,0,0,0,0,0,0,0.172082907806547,0.0113746449812404,0,0,0,0,0,0,0,0,0.111378061536746,0,0.035116805309117,0,0,0,0,0,0.0307720605675572,0,0,0,0,0,0.0142105713856222,0.0105408286387706,0,0,0,0,0,0
X600362.SH,0.047602005476108,0,0,0,0,0,0.126099479904825,0,0,0,0,0,0,0,0,0,0,0,0.0208289299928166,0,0,0,0,0.0245889364146079,0.100135781420912,0,0.0196990691137825,0.0371578359096881,0.0682301941373572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00887552305984902,0,0,0.239545079651192,0,0,0,-0.0100001311919056,-0.0467663070274849,0,0,0,0,0,0
X600027.SH,0,0,0,0,0.341873872119281,0.195626689337894,0.126358779354905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00190560877547085,0,0,0,0,-0.228181987680811,0,0.117737050065238,0,0,0,0,0,0,0,0.291014083802578,0.134635049213907,0,0,0,0,0,0,0,-0.0300437673733409,0,0,0,0,0,-0.00932714348160066,0,-0.104707401327871,0,0,0,0,0
X000898.SZ,0,0,0,0,0.656097918267112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115997808357812,0,0,0,0,0,0,-0.0877815473973309,-0.0562864028125025,0.348064847497287,0,0,0,0,0,0,0.0500761797987412,0,0.0695176034875667,-0.114110949975466,0,0,0,0,0.00369904829082823,1.73472347597681e-18,0,0,0,0,-0.160295857357903,-0.00773905248891656,0,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0.0500983444833299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0201803074159323,0,0.337209343870874,0,0,0,0,0,0,0,0.0642007343329139,0,0,0.0219101132870731,0.102254224888744,0,0,0,0,0,0,0,0,0.0904972924597009,0,0,0.186453709759878,0,0,-2.16840434497101e-19,-0.0280455709586129,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,-0.0568684557751509,0,0,0,0,0,0,0,0,0,0,0.0610883879138367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.420623438431475,0,0,0,0.0627870192181384,0.171783756584024,0.194494123405792,0,0,0,0,0,0,0.016665066747861,-0.0445987296606094,0,0,0,0,-0.00185101681181778,-0.0767934465690961,0,0,0,0,0,0
