,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600011.SH,X600188.SH,X600585.SH,X600019.SH,X002460.SZ,X002466.SZ,X600547.SH,X601898.SH,X000792.SZ,X601600.SH,X600886.SH,X600111.SH,X600660.SH,X600010.SH,X000708.SZ,X000301.SZ,X000877.SZ,X600795.SH,X600027.SH,X601991.SH,X002271.SZ,X600362.SH,X600426.SH,X600803.SH,X601699.SH,X000983.SZ,X600489.SH,X600176.SH,X000807.SZ,X600995.SH,X000539.SZ,X000786.SZ,X000408.SZ,X600160.SH,X600219.SH,X300037.SZ,X000629.SZ,X600688.SH,X600378.SH,X002409.SZ,X000932.SZ,X600612.SH,X600157.SH,X002080.SZ,X000027.SZ,X600021.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.710379552503963,0,0,0,0.032086180034405,0,0,0,0.111221822910051,0,0,0,0,0,-0.0241176159460299,0,0,0,0,0,0,0.0169576363088702,0,0,0,-0.0443803624695793,0,0,0,1.73472347597681e-18,0,0.0664128570011758,0,0,0,0,0,0,0,0,0,0,0,0,0.21019987246934,0,6.93889390390723e-18,0,0,0,0.0349812856647595,0,0.308348745967832,0,0,0,0,0
X600028.SH,0.712488325749311,0,0,0,0,-0.0929374263416135,0,0,0,-0.0828337758808162,0.0872911210651703,0.0612828023635628,0,0,0,0,0,0,0,0,0,0,0,0.0498325782464582,-0.00584508529255726,0,0,0,0,0,0,-0.0453976038245679,0,0,0,-0.0475207796584893,0,0,0,0,0,0,0,0,0,-0.0100289412727101,0,0,0,0,0,0.00672960854173831,0,0,0,0,0,0,0
X601088.SH,0.161247042360679,0.122752073504658,0,0,0,-0.111927368427738,0,0,0,0.0274500857282609,0,0.284371502279408,0,0.134163466687086,0,0,0,0,0,-0.11442276423349,0,0,0,0.124103801545655,0,0,0,0,0,0,0,0,0,0,0,0.185352544760625,0,0,0,0,0,0,0,0,0,0,0,0.0484848190701033,0,0,0,-0.0554592515252729,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,-0.154403342240476,0,0,0,0,0,0.0335308209339279,0,0,0,0,0,0,0,0,0,0,-0.00603964311794054,0,-0.0105117540067811,0,0,0.126523563448612,0,0,0,0,0.0447848988504287,0.102273861128732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00988460383133664,0,0,0,0,0,0,0
X600011.SH,0,-0.0852798163160049,0,0,0,-0.0644708941320341,0,0,-0.126038520416935,0,0,-0.0332260573429581,0,0,0,0,0,0,0,0,0,0,0.300612186669132,0,0,0,0,-0.00510242636011846,0,-0.121836598531629,0,0,0,0,-0.0972637950689316,0,-0.138926217912422,0,0,-0.0268744721690914,0,0,0,0,0,0,0,0.115705896649773,0,0.426490777379941,0,0,0,0,0,0,0,0,0
X600188.SH,0.113802150919673,0,0.0269266197726193,0,0,0,0,0,0,0,0,0.295151166117574,0,0,0,0,0,0,0.209108874087241,0,-0.0134065877836397,0,0,0,0,0,0,0,0.216285264646098,0.0672233788523554,0,0,0.209554082199996,0,0,0,0,0,0,0.186121469771012,0,0,0,0,0,0,0,0,0,0,0,-0.148456438329808,-0.0402252962184949,0,0,0,0,0,0
X600585.SH,0,0,0,0.126298787453709,0,-0.0427205304137157,0,0,0,0,0,0,0,0.022962422836469,0,0,0,0,0,0,0.0692208665060601,0,-0.104556893972893,0,0.0184946741491479,0,0,0,0,0,0,0,8.67361737988404e-19,0,0.045690304707065,0.244890166920134,0,0,0,0.00578547544434038,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,-0.0166409213962189,0,-0.153466389461062,0,0,0,0,0
X600019.SH,0,0.0722185923234728,0,0,0,0.0844065777175612,0,0,0,-0.0267861428197603,0.0628423561018008,0,0,0.0826759173244481,0,0,0,0,0,0,0,0,0,0.0371881335414332,0,0.0764673132834542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242900802428127,0,1.73472347597681e-18,0,-0.0612128375704852,0,0,0,0,0.0346902512115023,0.0306465002872392,0,0,0,0,0,0,0
X002460.SZ,-0.0260636776735114,0,0,0,0,0,0,0,0,0.602714209697599,-0.00522900128289908,0,0,0,0,0,0,0,0,0,0.198513069950646,0,0,0,0,0,0,0,0,0,-0.0425503225990764,0,0,0,0,0,0.0374947303112781,0,0,0,0,0,0,0,0.047106479367679,-0.00944806325595069,0,0,0,0,0.117220516196613,0.00531953726843468,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0.242565530891084,0,0,0,0.250647602453838,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.122397107347997,0,-0.0877758652671734,0,0.335735013147493,0.0402456204238358,0,0,0,0,0.0366439240494683,0,0,0.325728172682557,0,0,0,0,0,0.0932150388769626,0,0,0,0.0708975765556475,0,0,-0.134205430920998,0,0.0413142143039148,0,0,0,0,0,0
