,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X601600.SH,X600309.SH,X600011.SH,X601898.SH,X002466.SZ,X600688.SH,X600795.SH,X601992.SH,X600188.SH,X600362.SH,X600111.SH,X600660.SH,X002460.SZ,X601991.SH,X600547.SH,X300072.SZ,X600516.SH,X600886.SH,X000792.SZ,X000709.SZ,X000898.SZ,X600157.SH,X600027.SH,X000807.SZ,X600339.SH,X000408.SZ,X600219.SH,X600489.SH,X000959.SZ,X600549.SH,X600808.SH,X002271.SZ,X000723.SZ,X000983.SZ,X600352.SH,X601158.SH,X002092.SZ,X000883.SZ,X000553.SZ,X000630.SZ,X600299.SH,X600176.SH,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.0369080358292949,0,0,0,0,0,0,0,0,0,0.034257677249851,0.0409047226805818,0,0,0,0,-0.0345876006306614,0,0,0,0,0,0,0,0,0.0112426176839066,0,0,0,5.42101086242752e-20,0,0,0,0,0,0,-0.024872173729002,0,0.0282736797362292,0,0,0,0,0,-0.022130823627872,0.0170241184161494,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.161642349051154,0,0,0.0297714905514325,0,0,0,0,0,0,0,0,0,0,0.0236962237019671,0,0,0,-0.0364205962405816,0,0,0,0,0,0,0,-0.078473844861108,0,0,0,0,0,0,0,0,0,0.117309632010786,0,0,0,-0.0114515245831055,0,0,0,0,0,-0.0106735804082269,0.0109523245709203,0,0,0,0,0,0
X601088.SH,0,0,0,0.169329387904596,0,0,0,-0.0339936464491798,0,0,0,0,0.795701528175738,0,0,0,0.00166181607343105,0,0,0,0,0,0,0,-0.0490186051534157,0,0,0,0,0.0253833108016212,0,0,0,0,0,0,0,0,0,0,0,0,0.0516028363455664,0,0,0,0,0,0.051825761699132,0,-0.0241465718761104,-0.000565376019305133,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.168951585251377,0.0648887459382189,0,0,0.0456674826883558,0,0,0,0,0,0,0.0051405419670605,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,-0.0423287066525604,0,0,0,0,0.380533174480564,0,0,0,0,0,0,0,0,0,-0.00956856018471591,0,0,-0.0411651571315656,-0.0296050859608489,0.0185544223380196,0,0,0,0,0,0
X600585.SH,0,0.220926541430169,-0.0363546079669546,0,0,0,0,0,0,0,0,0,0,0.104285682762939,0,0,0,0,0,0,0,0,-0.0424676577391938,0,-0.109830347001527,0,0,0,0,0.195669151322428,0,0.032070559789859,0,0,0,-0.11255888288282,0,0,-0.0207747910745653,0,0,0,0,0,0.0104415119543397,0,0,0,0,-0.032952667376528,-0.0457369994389834,0.032672452719374,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0283903934370995,0.0404497294608102,0,0,0,0,0,0,0,0,0.0507337203859258,0.128778908678934,0,0,0.0582027361446125,0,0,0,0,0,0.169908807782001,0.0472069110201555,0,0,0.0468184360699318,0,0,0.172951309026633,0,0,0,0,0,0,0,0,0.013293653577174,0,0,0,0,0,0
X601600.SH,0,0,0,0.0548285034361684,0,0.37647415118212,0,0,0,0.00104438577360078,0.122027797771784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0743804461850005,0,0,0,0,0,0.0732286870952109,0.118092446030009,0,0,0.0475082832785179,0,0,0.0167268467218811,0,0,0,0,0,0.0219603987125428,0,-0.0268068275498088,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0.278124533506606,0,0,0,0,0,0,0.0334228435051903,0,-0.054652940371783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051017121543241,0,0,0,0,0,0.111039373019146,0,-0.0117314078721084,0.00979284963432228,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042062655556517,0,0,0,0.095160860856318,0,-0.0233771224104719,-0.015419265427589,0,0,0,0,0,0,0,0,0,0,0.0547316719256198,-0.0954302903296265,0,-0.0261475629609751,0,0,0,0.0199141157508809,0,0.0594359693023992,0,0.054572530702552,0,0,0,0.05324713124374,0,0.0238657581873226,8.67361737988404e-19,0,0,0,0,0,0
X601898.SH,0,0,0,0.0688527099949936,0,0,0.00573035862308276,0,0,0,0,0,0,0,0.0169836821927168,0.138797569154538,0,0,0,0,0,0,0,0,0,0,0.253533132470536,0,0,0,0,0,0,0,0,0.109446886875682,6.93889390390723e-18,0,0,0.13938732632633,0,0,0,0,0,0,0,0,0,0,-0.000306774441503565,4.33680868994202e-19,0,0,0,0,0,0
