,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600547.SH,X600688.SH,X600795.SH,X600188.SH,X601600.SH,X601991.SH,X600027.SH,X600362.SH,X600489.SH,X600157.SH,X600886.SH,X600111.SH,X601992.SH,X600660.SH,X600309.SH,X300072.SZ,X600623.SH,X002466.SZ,X600299.SH,X000792.SZ,X002075.SZ,X601158.SH,X600583.SH,X000723.SZ,X600352.SH,X000709.SZ,X000883.SZ,X000898.SZ,X000408.SZ,X000983.SZ,X600549.SH,X002470.SZ,X000539.SZ,X600176.SH,X000027.SZ,X002460.SZ,X000630.SZ,X002407.SZ,X000060.SZ,X601699.SH,X600612.SH,X600021.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0.0596114839100132,0.012275295666085,0,0,0,0,0,0.00694660081882077,0,0,0,0.0162294351170288,0,0,0,0.0238575750834649,0,0,0,0.00423929737997498,0,0,0,0,0,0,0.160841193589292,0.0464061757280868,0,0,0,0,0,0,-0.0103513699840133,0.0346099368490831,0,0,0,0,0,-0.00702321113751728,0,0,0,0,0,-0.00144702067281267,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.0398568632262773,-0.0173777823779146,0,0,0,0,0,0,0,-0.0181244956298829,0,0,0,0,0,0,0.0311899539215029,0.0279548724549234,0,0,0,0,0,0,0,0,0,0,0,0,0.111331922909107,0.0401799068746919,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00971109698290681,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.175153813983407,-0.00989953031272693,0,0,0,0,0,0,0,0,0,0,0.0202654306296658,0,0,0,0,0,-1.73472347597681e-18,0,0,0.0206425013382984,0,0,0,0.0517309359114543,0,0,0,0,0.0871949083282108,0,0,0,0,0,0.0303458922058959,0,0,0,1.73472347597681e-18,0,0,0,0.010050284701281,0.0177994271188877,0,0,0,0,0,0
X600011.SH,0,0,0,0,0.107851282717203,0.207750399709105,0,0,0,0.0021623412537008,0,0.0602522161686968,0,0,0,0,-0.00559393039073999,0,0.0644824029489438,0,0,0,0,0,0.0689391112877346,0,0,0,-0.0365208477016673,0.115173704172629,0,0,0,0,0,0,0.0965625708308957,0,0.0284453230862051,0,0,-0.109506233709861,0.0697321375760337,0,0,0,0,0,0.0295537007820895,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0.119384280599888,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0.517282042380849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0297853516419383,0.00358796994663324,0,-0.0509659859766517,0,0,0,0,0,0,0.0144030073659563,0,0,-0.0148372606258001,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0821894781924049,0,0,0,0,0,0,0.0427482559149861,0,0,0,0,0.017880459770768,0.0321020867110353,0,0,0,0.155573086800705,0,0,0.0914289438183567,-0.146453048087948,0,0,0,0,0,0,0.0846225805950706,0,0,0,0,0.0428783144280295,0.0827975093631457,0.00927194575845285,0,0,0,0,0,0,0,0,0,0,0,-0.0306843573813675,0.0723938966243712,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0728917559270146,0,0,0,0.0903715402201703,0.035664554364322,0,0.0481094640514208,0,0.0412015051581115,0,0,0,0,0.0464323923096051,0,0,0.0112852816092874,0.089932708413497,0.00645263588704837,0.0403301998696065,0,0,0,0,0,0,0,0,0,0,0,0.0167206857816974,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0443474568932263,0,0,0,0,0,0,0,0,0.104917532151828,0,0,0.0712446194242408,0.0896597952796184,0,0,0,0,0,0,0,0.0394302960120932,0,0.0225317968680258,0,0,0.00377773761787595,0,0,0,0,0,0.277388976329186,0,0,0,-0.0198253167433136,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.445326987358522,0,0,-0.0424219544904622,0,-0.202534584725793,0,0,0.332220159356618,0.073615210618062,0.0316183479747087,0,-0.0155932556778138,0,0,0,0,0,0,0,0,0,0.0316032404827196,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.139052889513374,0.0734578137274578,0,0.0297500595063387,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,-0.0524174407283956,0,0,0,0,0,0,0,0,0.0527055990837318,0,0,0,0,0,0,0.122234517426327,0,0,0,0.0436988658318444,0,0,0,0.149721442505329,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0.0699091575782401,0,0,0,0.281894344496053,0,0.0749176269949398,0,0,0,0,0,0,0,0,0
