,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600688.SH,X600547.SH,X600188.SH,X601600.SH,X600795.SH,X601991.SH,X600362.SH,X600111.SH,X600157.SH,X600489.SH,X600027.SH,X600886.SH,X002466.SZ,X601992.SH,X600623.SH,X600299.SH,X000792.SZ,X600309.SH,X600660.SH,X300072.SZ,X600549.SH,X601158.SH,X000723.SZ,X600583.SH,X000408.SZ,X600352.SH,X000883.SZ,X000709.SZ,X002075.SZ,X000898.SZ,X000983.SZ,X002460.SZ,X600176.SH,X000539.SZ,X000027.SZ,X002470.SZ,X000060.SZ,X000630.SZ,X002407.SZ,X600021.SH,X000012.SZ,X600612.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.0488732836009993,0,0,0,0,0,0,0.0810856989486738,0,0,0,0,0.0100556015583309,0,0.00334020551809419,0,0,0.0401924617658261,0,0.0466454365337462,-0.0358761307456706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0663114104631515,0,0,0,0,0,0,0,0.00520564230812834,0.0251754709873276,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.191521739179233,-0.0339754221779158,0,0,0,0,0,0,0,0,0,0,0,0,0.00765677797144129,0,2.85740872606325e-05,0.114991758592605,0,0.0126849903760121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00954916614835669,0,0,0,0,0,0,0,0,0.0325615181346823,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.0336712905388052,0,-0.0324820100492996,0.118096979677106,0,0,0,0,0,0.0323067727987157,0,0,0,0,0,0.0297809186999812,0,0.0884948755329236,0,0,0,0,0,0.00412007899764523,0,0,0.0737352612437226,0,0,0,0,0,0,0,0,0,0,0,0,-0.0338237953066033,0,0,0,0,-0.00227998991949203,0.0615137294291714,0,0,0,0,0,0
X600011.SH,0,0,0,0,0.10907704048146,0.068308865235032,0,0.209788663323747,0.0337933297440817,0,0,0,0,0,0,0,0,-0.110392555441179,0,0,0.0384889047442947,0,0,0,0,0,0,0,0,0,0,0,0.0507441325766729,0,0,0,-0.00257777764765635,0,0,0,-0.0433307946527508,0,0,0,0,0,0,0,0,0.155886436890107,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0.0408543780770178,0,0.0674544890797201,0,0.0106393775966243,0,0.0713734904694641,0,0,0,0.385687898907995,0,0,0,0,0,-0.0172706612057636,0.0106456266777885,0,0,0,0,0,-0.00450629464084723,0,0.140661904633764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028105630054242,0,0,0.0495059156682825,0,-0.00962580237666415,-0.0475598096108475,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0.0840123040925239,0,0,0,0,0.0897798101484547,0,0,0,0,-0.113562708658142,0,0,0.0523533630581604,0,0,0.203524397932934,0,0.141107411234486,0,0,0,0,0,0,0,0,0,0,0.0744159227592812,-0.0446475227459883,0,0,0,0,0,0,0,0.180983929351657,0,0,-0.0996222971377115,0,0,0,0,0.0266585114452533,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,-0.0136543582032609,0,0,0,0,0,0.0360148297486296,0,0,0,0,0,0,0.0609988363225269,0,0,0,0,0.0469220182996156,0.0766255510007185,0,0,0,0.104361372078256,0.0664872649099872,0,0,0,0,0.0414748591486986,0,0,0,0.039595454297538,0.0116451026260054,0,0,-0.0795347165654385,0,0,0,0,0.00135791252133299,0.0194657204647233,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,-0.0171115310005494,0.0215166297448608,0,0,0,0,0,0,0,0,0,0.0430682167308165,0,0.0141626638858155,0,0,0,0,0,0.0842090197425618,0,0,0,0.0738646162747115,0,0,0,0.0242161579433514,0,0.18041155184775,0.0151918865431847,0,0,0,0,0.0718835077558907,0,0,0.0174600829886886,0.109482432998819,0,0,-0.0208567754914894,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,-0.0186289328296736,0.107571581894721,0,0,0,0,0,0.0597023764706127,0,0,0,0.126421853470327,0,0,0.14782136706612,0,0,0,0.135232525877629,0,0,0,0,0.0870942756260594,0,0,0,0.162242891731258,0,0,0,0.0487356646684414,0,0,0,0,0,0,0.0473042253959092,0,0,0,0,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52626312328577,0,0,0,0.169875351276357,0.121707670167045,-0.0650412150205807,0,0.052110644445592,0,0,0.00380425329746387,0,0,0,0,0,0,0,0,-0.0690942214753582,0,0.0578081988373821,-0.0585552614379735,0,0,0,0.102744656607448,0,0,0,0,0,0,0,0,0,0,0,0,0,0
