,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X601898.SH,X601600.SH,X600019.SH,X600795.SH,X600688.SH,X600585.SH,X600886.SH,X601991.SH,X600027.SH,X600583.SH,X000709.SZ,X600157.SH,X600362.SH,X600188.SH,X000539.SZ,X600111.SH,X601992.SH,X002075.SZ,X000898.SZ,X600309.SH,X000027.SZ,X601158.SH,X600863.SH,X000883.SZ,X000629.SZ,X601918.SH,X600021.SH,X002353.SZ,X000792.SZ,X600352.SH,X600307.SH,X000060.SZ,X600578.SH,X600808.SH,X000825.SZ,X600098.SH,X600022.SH,X600489.SH,X000878.SZ,X600008.SH,X600660.SH,X600547.SH,X000959.SZ,X002470.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.587801845523392,0,0,0,0,0,0,0.00743661644090894,0,0,0,0,0,0.0992950963741755,0,0,0,0.0336420668442821,0,0,0,0,0,0.0589959401114005,0,0,0,0,0,0.0903049558996794,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0081731367363673,0,0,0,0,0,0.000245626013953477,-0.0149391287021039,0,0,0,0,0,0
X600028.SH,0.582386408957313,0,0,0.0298862100393059,0,0.0490385546348186,0.0169357159532524,0,0,0,0,0,0,0,0.038833612093682,0.0326035906655086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0815514814493277,0,0,0,0,0,0.00723347286906555,0,0,0,0,0,0,0,0.0312614153946542,0,0,0,0,0,-0.0037626980539922,0.00601110499602762,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.183827389567712,0.0652249322712191,0,0,0,0.0154517456109287,0.0366584576714503,0,0,0,0,0.0612431307815483,0,0.0180373353091944,0,0,0,0,0.0558700365040138,0,0,0,0,0,0,0,0,0,0,0.087026741202017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0154954758564712,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.126277666626944,0,0,0.0269474803517275,0,0,0.0164189089978032,0.0735303395969169,0.138035705275761,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0282001810876163,0,0,0.0471700496634474,0,0,0,0,0,0,0.406639018560318,0,0,0,0,0,0,0,0,0,0,0,0,-0.00660236927387091,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0.0742033629806331,0,0,0,0,0,0,0,0,0,0.0763131209265754,0,0,0,0.0381951350419037,0,0,0,0,0.234204221875712,0,0,0,4.33680868994202e-19,0,0,0,0,0,0.0605525415609865,0.0225246027873465,0,0.0866658043625587,0,0,0.169558727282321,0,0,0,0,0,0,0,0,0,-0.0111399371812908,0,0,0,0,0,0
X601898.SH,0,0,0.0278554176883206,0,0,0,0.0989584325387782,0.0363240494807379,0,0,0,0,0.249184270687946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215545131781096,0,0,0,0,0,0,0,0.172953880657311,0,0,0,0,0,0,0,0,0,0,0,0,0.00388571895976852,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0.047896552446881,0,0,0,0.0491309008875309,0,0,0,0,0,0.00775377051646716,0.120454628637075,0,0,0,0,0.13970456279767,0,0.0229173278796047,0,0,0,0,-0.0129141563274393,0,0,0,0,0,0,0,0.0954179761665856,0,0.250195699278298,0,0,0,0,0,0,0,0,0,0,0,0,0.0103208998499507,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.0829103653086687,0,0,0,0,0,0,0,0,0,0.136644092009093,0,0,0,0,0,0.00900957315482062,0,0.175720996044174,0,0,0,0.0398878216887148,0,0,0.0955977302664226,0.0185081180367614,0,0,0,0,0.0927784253576086,0,0.0565631980152679,0,0,0.0801010201734315,0,0,0,0,0,0,0,0,-0.00443640904397656,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0.129886675185117,0,0,0,0,0.0256107765297197,0.143027570677839,0,0.0555630392926048,0,0.00384931624944993,0,0,0,0,0,0,0,0,0,0,0.232879732212134,0,0,-1.73472347597681e-18,0.0878509479765776,0,0,0,0,0,0.183366475806727,0,0,0,0.0457919829900323,0,0,0,0,0,0,0,0,0.0024505531158081,0.0184813029692061,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0.0310998537796619,0,0,0,0,0,0,0.141545388377381,0,2.71050543121376e-20,0,0,0,0,0,0,0,0,0,0,0,-0.0595647515622461,0,0.422615616018214,-0.128267107130938,0,0,0,0,0.109283246599865,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0215076247506181,0.00691725390869473,0,0,0,0,0,0
X600585.SH,0,0,0.191647259303873,0,0,0,0,0,0,0,0,0.12318834076538,0,0,0,0,0,0,0,0,0,0.0864244441362656,0,0.0767011751329571,0,0,0,0.084071914054202,0,0,0,0.0272045413551335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0277065007956227,-0.0256431272514239,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0.0100913641060924,0.24719021031821,0,0,0.0646250290322673,0,0,0,0,0,0,0,0,0.146110562244157,0,0,0,0,0,0,0,0.0388302601990792,-0.0160624358850793,0,0,0,0,0,0,0,0,0.21065575055724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
