,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002466.SZ,X002460.SZ,X600585.SH,X000792.SZ,X601898.SH,X600011.SH,X600019.SH,X000301.SZ,X600111.SH,X600660.SH,X000708.SZ,X600010.SH,X600886.SH,X000877.SZ,X600547.SH,X601600.SH,X600795.SH,X002271.SZ,X601991.SH,X600027.SH,X600426.SH,X000983.SZ,X600803.SH,X600362.SH,X600176.SH,X000408.SZ,X601699.SH,X000723.SZ,X600348.SH,X600096.SH,X000629.SZ,X000786.SZ,X600995.SH,X600141.SH,X000933.SZ,X600219.SH,X600160.SH,X600985.SH,X600157.SH,X002353.SZ,X300073.SZ,X002080.SZ,X600489.SH,X000807.SZ,X600801.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,-0.0145391917850351,0.0665597332945127,0,0,-0.0221449312662466,0,0,0,0,0,0,0,0.10079715685327,0,0,-0.021794512823504,0,0,0,0,0,0,0,0.196836515721668,0,0.00437645776546401,0,-0.0440890380776496,0.0205338146785956,0,0,0,0,0,0,0,0.0753056940623829,0,0,0,0,0,0,-0.0028754576887501,0.00214272522904903,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.388491004810222,0.196024263288336,0,0,0,0.0362972151742251,0.193835581117843,0,-0.067708205978704,-0.0867050873248871,0,0,0,0,0,0,0,0,0,0,0,0,0.227445653168329,0,0,0,0,0,0,0,0,-0.149542554447223,0,-0.113838698312394,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115794853905604,0.0411281852205111,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.0246824047327388,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0.0370794220349626,0,0,0.00902867793002621,0,0,0.0161361513095877,0,0,0.0494885294298297,0,0.0380174120318452,0,-0.012675760118371,0,0,0,0,0,0,0,0,0,0,0.0547061430016852,0,0,0,0.0595241215345264,0,0,0.00141787843462129,0.0120324303386658,0,0,0,0,0,0
X600309.SH,0,0.0301838419713987,0,0,0,0,-0.00664021621819859,0,0,0,0.000379263873737148,0,0,0,0,0,0,0,0,0,0,0,0.0437125678788092,0,0.038165725990836,0,0,0,0,0.092739269825483,0,0,0,0,0,0,0,0.00827041645652244,0,0,0,0,0.0981237510458172,0,0.0893690998112179,0,0,0,0,0,0.0306605773362069,0,0,0,0,0,0.034501655599777,0,0
X600188.SH,0,0.0970251615956403,0,0,0,0,0,0,0,0.580735184943423,0,0,0,0,0,-0.106335771597506,0,0,0,0,0,0,-0.0881064997008626,0,0,0,0.0807052416838165,0.0573358460496139,0,0,-0.0410496623670411,0,0,0.0421348965581419,0,0,0,0,0,0.105081605477773,0,0,0,0,0,0,0,0,0,0,0,-0.13472313641583,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0.630213104166783,0,0.101927422845173,0,0,0,0.0427705331351916,0,0,0,0,0,0,0,0,0,0,0,-0.0219038153246528,0,0,0,0,0,0.248338979966792,0,0,0,0,-0.14226340021896,0,0,0.159978518445532,-0.0966288220127561,0,0,0,0,0.179159788998506,0,0.0681015702199643,0,0,0,0,0.0390985870397755,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0.373271501596855,0,-0.161097029558133,0,0,0,0,0.123877344677765,0,0,0,0,0,0.0533208473172246,0,0,0,0,0,0,0,0,-0.171142225530349,0,0,0,0.0552356864088812,0,0.0634969408444686,0,0.0736678673350741,0,0,0.0989133922791767,0.106935899978152,0,0,0,0,0,0,0,0,0,0,0,0.0287603602103393,-0.0793781836742027,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0.0304301550787882,0,0,0,0,0,0,0,0,0,0,0.0943274069821356,0.0324599921009966,0,0.0446863718875324,0,0,0,0,0,0,0,0,0,0.0314003982487475,0,0.0657450428569878,0,0,0.0164521224756633,0,0,0,0,0.0794499710744292,0,0,0,0,0.378801971204168,0,0.0181838452707296,0.0310354676036915,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.0319884701362613,0.19378456180781,0,0,-1.73472347597681e-18,0.146203856638505,0,0,0,0,0,0.140648946631264,0,0,0,0.0849679081258806,0,0,-0.039944041902742,0,0,0,0,0,0,0.255892358372414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,-0.034329515120177,0,0
X601898.SH,0,0.0982995470442782,0,0,0.00580905432500921,0,0,0,0,0,0.0429829978795179,0,0,0,0,0,0,0,0,0,0,0,-0.059648319454341,0,0,0,0.309181484004082,0,0,0,0,0.0995189209103811,0,0,0.141027119665368,0,0,0,0,0,0.123642643615185,0,0,0,0.150898635530465,0,0,0,0,0,0,0,-0.0275333770634313,0,0,0,0,0,0
