,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600188.SH,X600660.SH,X601600.SH,X600019.SH,X600585.SH,X600547.SH,X600886.SH,X600011.SH,X000792.SZ,X600795.SH,X600362.SH,X600010.SH,X600489.SH,X600111.SH,X002460.SZ,X000708.SZ,X600803.SH,X600027.SH,X002466.SZ,X600160.SH,X000786.SZ,X601991.SH,X000301.SZ,X000807.SZ,X600426.SH,X600219.SH,X000983.SZ,X601699.SH,X000630.SZ,X000408.SZ,X600985.SH,X601168.SH,X600096.SH,X600176.SH,X000933.SZ,X002128.SZ,X000877.SZ,X600378.SH,X002271.SZ,X600995.SH,X002353.SZ,X000883.SZ,X600352.SH,X000027.SZ,X600299.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.17918203750844,0,0.0621544270466289,0,0,0.112946589056461,0,0,0,0,0,0,0.306530493053623,0,0,0.288680088111172,0,0,0,0,0,0,0,0,0,0,0,0,0.0822126603308398,0,0,0.0660583076241768,0,0,0,0,0,6.93889390390723e-18,0,8.67361737988404e-19,-0.0635490586475309,0,0,0.136908134411297,0,0,0,0,0,0,-0.000832724339619492,0,0,0,0,0,0
X601088.SH,0.163524127760301,0,0,0,0.208923397533594,0,0,0,0.0252188366704266,0,0,0,0,0,0,0,0,0,0,-0.122594942234067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139995554313355,0,0,0,0.0596531885133738,0,0,0,-0.0132770529893998,0,0,0,0,0,0,0,0,-0.0466651323206464,0,0,0,0,0,0
X600028.SH,0.455360262162626,0.0812604413877442,0,0,0.19501751784161,0.0729791718225686,0,0,0,0,0,0,0,0,0.0307483806849789,0,0,0,0,0,0,0,0,-0.0748011035808407,0,0,0.0552613422232119,0,0,0,0,0,0,0,0,0,-0.117669131416498,0,0,0,0,0.0330042717644385,0,0,0,0,0,0,0.00977956707596634,0,0,0,0.027262361515573,0.0518581298015078,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0958844103338147,0,0.141929280921261,0,0.0203047713395738,0,0.106768666517739,0,0,0,0.352086778063313,0,0,0,0,0,0,0,0,0,0,0.0833518667492293,0,0,0,0,0.0506874395180222,0,0,0.0372571331910908,0,0,-0.106472511925208,-0.0295234084435846,0,0,0,0,0,0
X601898.SH,0.19707749598226,0.214451272859908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0815681008220573,0.120863615696697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,-0.0191038326314121,0,-0.0311830571980655,0,0,0,0
X600188.SH,0,0,0,0,0.0520884870568346,0,0,0,0.0266873752452061,0,0,0,0,-0.2225028815502,0,0,0,0,0,0,0,0,0.0666721539492529,0,0,0,0,0,0,0,0.022759492946293,0.124583138011619,0.580116308524325,0,0,0,0,0,0,0,0,0,0.215465518669565,0,0,0,0,0,0.0910098183712359,0,0,0,0,0.181209750611084,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,-0.192494613021408,0,0,0,0,0,0,0,0,0,0.134469818031475,0,-0.10874085147752,0,0,0,0,0.359803396998613,0,0,0,0,0,0,0,0,0,0,-0.0191514996849318,0,0,0,0,-0.207888129157457,0,0.170616383254278,0,0,0,0,0,0,0,-0.0272459691353555,-0.0240665192489227,-0.125296763972437,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0781049971893758,0,0,0,0.440058271198833,0,0.345827920261382,0,0,0,0,0,0.292477736640701,0,0,0.0908973631350192,0,0,0,-0.114346363298377,0,0,0.116268730292937,0,0,0,0,-0.0211477586862515,-0.0598696399500355,0,0,0,0,0,0
X600019.SH,0,0,0.359284499482941,0,0,0,0,0,0,0.162372158723436,0,0,0.136705277119547,0,0,0,0,0,0,0,0.157698673964578,-6.93889390390723e-18,0,0,0,0,0,0.0837188031789052,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0361478294621322,0,0,0,0,0,0,0,0,0,-0.0605954540717934,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0600046894562466,0,0,0,0.0792525588367778,0,0,0,0,0.252975497485736,0,0,0,0,0,0,0,0.0543939559997139,0,0,0,0.221794480127238,0.0657144217974521,0,0,0,0,0,0,0,0,0,0,0,0,-0.0489066730744999,0,0.209587117231134,0,0,0,0,0,0,0,0,0,0.066090493950294,0,0,0,0,0,0,0
