,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600011.SH,X600010.SH,X601600.SH,X002466.SZ,X601991.SH,X601898.SH,X600688.SH,X600188.SH,X600660.SH,X600362.SH,X002460.SZ,X600795.SH,X300072.SZ,X600547.SH,X601992.SH,X600886.SH,X600111.SH,X600176.SH,X600516.SH,X000786.SZ,X000898.SZ,X600299.SH,X000709.SZ,X002271.SZ,X600352.SH,X600027.SH,X000792.SZ,X000553.SZ,X600489.SH,X000408.SZ,X000825.SZ,X601158.SH,X601699.SH,X600219.SH,X000883.SZ,X600549.SH,X000630.SZ,X600583.SH,X600808.SH,X002470.SZ,X600315.SH,X002110.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.188286999806933,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.0193355767900113,0,0.169746715709183,0,0,0,0,0,0,0.0333550298970618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191545186827231,0,0,0,0.0627177058877474,0,-0.0118924203242775,0.00310484910572226,0,0,0,0,0,0
X600028.SH,0.388404844062268,0,0.163255627499787,0,0,0,0,0,0,0,0,0.129375321662584,0,0,0,0,0,0,0.152371929027039,0,0,0,0,0,0.0662925707783866,0,0,0,0,0,0,-0.0390936113591936,0.0701892492678108,0,0,0,0,0,0,0,0,0,0.0183839209977028,0,0,-0.204400888826715,0,0,-0.0279057351495033,0.0272557984890073,0,0,0,0,0,0
X601088.SH,0,0.0614098305820267,0,0.30800536114927,0,0,0,0.0220782890629605,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,-3.46944695195361e-18,-4.33680868994202e-19,0,0,0,-0.00935808944623259,0,0.0166732675013592,-0.173358142048651,0,0,0,0,0,0,0,0,0,0,0.326430616515488,0,0,0,0,0,0,0,0,0,0,0.00595178832242199,-5.42101086242752e-20,0,0,0,0,0,0
X600019.SH,0,0,0.133845621250728,0,0.232739723073483,0,0,0,0,0,0,0,0.02493620579506,0,0,0,0,0,0,0,0,-0.0749081237628653,-0.00455749293323623,0,0,0.147171290550814,0,0,0,0,0,0,0,0,0,0,0,0.195960144910717,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.0237181821541955,-0.0509561010939078,0,0,0,0,0,0
X600585.SH,0,0,0.00615866511554808,0,0,0,0,0,0,0,0,0,0.075926739044662,0,0,0,0,0,0,0,0,0,0.0150149752004064,0,0.226311724625547,0,0,0,0,0,0,-0.167940401789469,0,0,0,0,0,0.309228740279391,0,0,0,0,0,0,0,0,0.218694313620167,0,-0.0221551047757499,0.00653631301735,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0287156150619881,0,0,0,0,0,0.0118736852687122,0.141797933984127,0.0635928466874834,0.137598974611408,0,0,0,0,0.0301497010483408,0,0,0,0,0.0583635651205917,0,0,0,0,0,0.0242270268869155,-0.0373807616152009,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0364824151721418,0,0,0,0,0,0,0.0502796931514484,0,0.0880475553548772,0,0,0,0.0346408850395568,0,0,0,0.134439197758072,0,0,0,0,0.0505103021421196,0,0,0,0,0,0,0,0.0315117131239282,0.10124855455143,0.105119190781057,0.0590062375027134,0,0,0.0303055563587597,0,0,0,0,0,0,0
X601600.SH,0,0.297024894012163,0,0,0,0,0,0,0,0,0,0,0.376533513255107,0,0,0,0,-0.298541554309423,0,0,0,0,-0.072478415614551,0,0,0,0.0814438797195675,0,0.146436603637096,-0.090163698036968,0,0,0,0,-0.508119544336064,0,0,0,0,0,0,0,0,0,-0.462408041918315,0,-0.212784095148686,0,0.153461165741104,-0.269201219810614,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0,0,-0.0226986013264421,0,0,0,0,0.494319573910559,0,0,-0.0619801521046968,0,0,0,0,0.153761476955168,0,0,0,0,-0.0726394316629767,-0.0623096281189118,0,0,0,0,0,0,0,0,0,0,0.118347164519287,0,0.0329376233522604,0,0.00325893813324645,0,-0.0477824090997544,0,0,-0.0175847845887383,-0.04938366132315,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.098801479960415,0,0,0,0.0399492187475433,0,0,0,0,0.0466335796180114,0,0.180602975296485,0.00475346642547267,0,0,0.143755890532489,0.041433351124529,0,0,0,0,0.0543558028113395,0,0,0,0,0,0.0263173802061232,0,0,-0.000485810960632578,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127867482563015,0,0,0,0.0527788475394616,0.105340653054854,0,0,0,0,0,0,0,0,0,0,0,0.0628021963504866,0,0,0,0,0,0.264512968621869,0,0,0,0,0.101673218484311,0.0966299317496184,0.0912354739779842,0,0,0,0.00321061932015957,0,0,0,0,0,0,0
X600688.SH,0,0.458620183744903,0,-0.0724751389225538,0,0,0,0.000324393638995516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0365757408039601,0,0,0,0,-0.0241583246624225,0.00255667193403695,0,-0.0557251678459107,0,0.0692175256575916,-0.123275565348239,-1.0842021724855e-19,0,0,0,0,0,0,0.157768942180759,0,0.0344743210691003,0,-8.67361737988404e-19,0,-0.0429519553205141,0.0506867649791374,0,0.152228589021077,0,0,0,0
X600188.SH,0,0,0,0,0.0738230623916692,0,0,0,0,0,0,0,0,0,0,0.114367657677609,0,0,0,0,0,0,0,0,0.311501907809206,0.454995066303897,0,0,0,0,0,0,0,0,0,-2.71050543121376e-20,0,0.288616672638634,0,0,0,0,0,0,0,0,0,0,0.000867205835158488,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,-0.0216089269325406,0,0,0,0,0,0,0,0,0,0,-0.0141763552353796,0,0,0.199395989536929,0,0,0,0,0,0.0492870074136625,0,0,0.0124234551335374,0.0342179085566122,0,0,-0.177683456321427,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0.255095605686624,0,0,-0.00895731159717758,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0209072601774296,0.264769415889708,0,0,0,0.00406594941009093,0,0,0,0,0,0.0550686254124891,0,0,0.0146912148676438,0,0,0,0,0,0.476026965104586,0,0,0.21512937055049,0,0,0,0,0,0,0,-0.0317179356447677,0.0537484959359693,0,0,0,0,0,0
