,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600011.SH,X600585.SH,X600019.SH,X002460.SZ,X002466.SZ,X601898.SH,X000792.SZ,X600547.SH,X601600.SH,X600886.SH,X600111.SH,X600660.SH,X600010.SH,X000708.SZ,X000301.SZ,X600795.SH,X000877.SZ,X002271.SZ,X600803.SH,X600426.SH,X600362.SH,X600027.SH,X601991.SH,X601699.SH,X000983.SZ,X600176.SH,X600489.SH,X000807.SZ,X000786.SZ,X600995.SH,X600160.SH,X000539.SZ,X000408.SZ,X600219.SH,X300037.SZ,X000629.SZ,X600378.SH,X002080.SZ,X600688.SH,X600612.SH,X600985.SH,X000932.SZ,X600157.SH,X600348.SH,X600096.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.638272057135399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115667484845691,0,0,0,0,0.166988218939243,0,0,0,0.0334125395510139,0,0,0.116217688793832,0,0,0.069431805137102,0,0.0204303705948667,0,0,0,0,0,0,0.096132827002095,-0.0170620208539546,0.284581654494325,0,0,0,0,0
X600028.SH,0.682182246757402,0,0,0,-0.113401024217742,0,0,0.0392285622009098,0,-0.0906355255144416,0.0786787087490844,0,0.13435975146349,0,0,0,0,0,0,0,0,0,0,0,-0.00275383526869167,0,0,0.00493631157469976,0,0,-0.0345970833461436,0,0,-0.0405269126586439,0,0,0,0,0,0,0,0,0,0,-0.0142128870403159,0,0,0,0,0,0,0.0103359149514119,-0.0180392389692871,0,0,0,0,0,0
X601088.SH,0.0856337034402746,0,0,0,-0.233071073861727,0,0,0,0,0,0.119849470383317,0,0,0.335234267394643,0,0,0,0,0,0,0,0.0154580017506054,0,0,0,0,0,0,0.0528328963039718,0,0,0,0,0.0789037310078995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0578077899596421,0,0,0,0,0,0,0
X600309.SH,0.0298751227649529,0,0.0558149468536833,0,0,-0.126448044424638,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0295851040579975,0,-0.0825345672232919,0,0,0.345802010161675,0,0,0,-0.0773272826706402,0,0,0,0.0702768227360193,0,0,0,0.0472415929595944,-0.0235654688925796,0,0.0429822245702175,0,0,-1.73472347597681e-18,0,0,0,0.0298555671205813,0,0,0,0,-0.0956464393836601,0.0167533601326938,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0.280870548887263,0,0,0,0,0,0,0,0,0,0,0,0,0.0438455560130602,0,0.0736975978563172,0,0,-1.73472347597681e-18,0.104141042073543,0,0,0.149355262027723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221861363959026,0,0,-0.0429319246829796,-0.0446422729863278,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,-0.281949590881373,0,-0.0251493951059463,0,0,0,0,0,0,0,0,0,0.485036102893974,0,0,0,-0.0227849936616942,0,0.121489849469391,0.168767093229366,0,-0.106397306737302,0,0,0,0,0,0,0,0,0,-0.00392323215347582,0,0,0.114818451448333,0,0,0,0,0,0,0,0,0,-0.0139695193799176,0,0,0,0,0,0
X600585.SH,0,0.0109270680744667,0,0.126240717186015,-0.0100637822685426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.320050929425081,0.0514489287736757,0,0,0,0,0,0,0,0,0,0.0770003931229505,0,0,-0.0210826474245672,0.0296465735422484,-0.0097639789976686,0,0.0540530852033447,0,0,-0.00767880081964111,0,0,0,0,0,0,0,0,-0.00547000178260532,0.0182157814963591,0,0,0,0,0,0
X600019.SH,0,0.0884843796917876,0,0,0.0926420638207675,0,0,0,0,0,0,0,0.0230893676418123,0.00615231470383546,0,0,0,0,0,0,0,0,0.0799578360267137,0,0,-1.73472347597681e-18,0,0.0363329446264461,0,0,0.0797453122543195,0.0493136215961654,0,0,0,0.0106983018663588,0,0,0,-0.072211695627065,0,0,0,0.100891361490786,0,0,0,0,0,0,0,0.146117780656745,-0.0131507775527647,0,0,0,0,0,0
X002460.SZ,-0.0616607209068902,0,0,0,0,0,0,-0.015535861392688,0,0.524807329367862,0,0.12325604756823,0,0,0,0,0,0,0,0,0,0.175457161942148,0,0,0,0,0,0,-0.0109135600960312,0,0,-0.0742633551371138,0,0,0,0.122742922704199,0,0.00951321730660972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0
X002466.SZ,0,-0.0837309315765147,0,0,0,0,0,0,0.342629509764524,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168968930203627,0,-0.00796155671787064,0,-0.175988606987661,0,0,0,0,-0.00177571560207419,0.0608282836432613,-0.158603981530015,0,0.0407963868786405,0.276487457468707,0,0,0,0.10613821314593,0,0.094375711915091,0,0,0,0,0,0,0.163745534324526,0,0,0.00837344225698405,0,0.414665377283107,0,0,0,0
X601898.SH,0,0.203021324119867,0.0324019988694682,0,0.13745933713714,0,0,0,0,0,0,0,0.00309819452000158,0,0,0,0,0,0,0,0.0413758423377261,0,0,0,0.318089714883699,0,0,0,-0.0507403760669582,1.38777878078145e-17,0,0,0,0.0442734845238648,0,0,0.00930880449708611,0,0,-0.0191101248026494,0,0,0,0,0,0,0,0,0,0,0,0.0516371317482109,0,0,0,0,0,0,0
