,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600585.SH,X600188.SH,X002460.SZ,X000792.SZ,X600019.SH,X600111.SH,X002466.SZ,X600011.SH,X000877.SZ,X002271.SZ,X601898.SH,X600010.SH,X601600.SH,X600547.SH,X000708.SZ,X600660.SH,X000301.SZ,X600886.SH,X600426.SH,X600362.SH,X600176.SH,X000723.SZ,X000408.SZ,X600803.SH,X000786.SZ,X000983.SZ,X600096.SH,X601699.SH,X600219.SH,X000807.SZ,X600795.SH,X601991.SH,X002353.SZ,X002080.SZ,X600801.SH,X300073.SZ,X000630.SZ,X600141.SH,X600489.SH,X600688.SH,X600486.SH,X000825.SZ,X600378.SH,X000932.SZ,X600985.SH,X000683.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.035722719428939,0,0,0.205527214939709,0,0,0,0.0461427473453762,0,0,0,0,0,0.109302586837966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100862973820338,0,0,0.0690949754585418,0,0,0,0,0,0,0.22678717408919,0,0,0,0,0,0,0,0,-0.0336510016805887,0.0577496036293674,0,0,0.0381364099293017,0,0
X601088.SH,0.0473214433331857,0,0,0,0,0,0,0,0,-5.45440290885603e-05,0,0,0,0,0.143577127307288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0429789315245872,0,0,0,0,0,0,0,-0.072155942749294,0,0,0,0,0,0,0,0,0.378551769136627,0.0524037750740737,0,0,0.0349623515027245,0,0,0,0.0730400551172108,0,0
X600028.SH,0.0370500408861099,0,0,0,0,0,0,0,0,-0.0588763769261965,0,-0.0123769097205279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00517970188159701,0,0,0.0442693951104974,0,0,0,0,0,0,0,0,0,0,0.0541236007755636,0,0,0.250404556355271,0,0,0,0,0,0.0251500191438949,0,-0.0146171345138689,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0725679809026438,0,0,0,0,0.137747401147164,0.0327846474927251,0.219110663486044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109804786024691,0,0,0,0,0,0,0,0.0459391342278112,0,0.0127267964188397,0,0,0,0,-0.00793514477807514,0.0124491030682426,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028297571647596,0,0,0,0.0158059284904914,0,0.0877249079728259,0,0.00900504634345823,0,0,0,0,0,0.00282624148325404,0,0.450177145054486,-0.00918524376671674,0,0,0,0,0,0.0358593504962359,0,0,0,0,0,-0.00793997744638502,0,0,0,0,0,0,0
X600188.SH,0,0.0919061417137221,0,0,0,0,0.0989231686178769,0,0,0,0,0,0,0.042773127495178,0,0,0,0,0.0377717811440012,0,0.0143388663914159,0,0,0,0,0,0,0,0,0.461163230388598,0,0,0,0.0818995491348133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0805106482108038,0.108630951422375,0,0,0,-0.0667904829138072,0,0
X002460.SZ,0,0,0,0,0,0.0425678613007784,0,0.132091016714555,0,0.0529774341857624,0.387565508374443,0,0,-0.0375065055166457,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.0726758519194462,0,0,0,0,0,0,0,0,0,0,0,0,0.242000625387738,0,0,0,0,0,-0.132948590360679,0,0,0,0,0.0251993403736282,0,-0.0382706622664344,0,0,0,-0.0159457807946861,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0.252499237269474,0.204214530905556,0,0,-0.00565970173343929,0,0,0,0,0,0,0,0,0,0,0,0.389159117349835,0,0,0,0,0.108363707739588,0,0,0.00869482017734234,0,0,0,0,0,0,0,0.137890980609637,0,0,0,-0.257773437101417,0.0696287149177881,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.0807484074376029,0,0,0,0,0,0,0.125547506571487,0.0167891985640135,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234833378690292,0,0,0,0,0,0,0,0,0,0,0,0.192468605578558,0,0,0,0,0,0,0.0180278315758723,0,0.284975308318128,0.021862929302401,0,0,0,-0.0118607099725549,0,0,0,-0.00182526822694766,0,0
X600111.SH,0,0,0,0,0,0,0.359475217109712,0,0,0,0,0,0.108502658316225,0,0,0,0,0,0,0,0.118052008012588,0,0,0,0,0.044669841179097,0,0,0,0,0,0,0.10293392261051,0.115482314695639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073958740788321,0,0.064324741514163,-8.67361737988404e-19,0,0,0,0.0103986290883983,0,0
