,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600010.SH,X600585.SH,X601898.SH,X600688.SH,X600547.SH,X601600.SH,X600795.SH,X600362.SH,X300072.SZ,X600188.SH,X600157.SH,X601991.SH,X600309.SH,X600027.SH,X601992.SH,X600660.SH,X600886.SH,X600111.SH,X600489.SH,X000959.SZ,X600299.SH,X000898.SZ,X601158.SH,X000792.SZ,X000709.SZ,X600339.SH,X000723.SZ,X002466.SZ,X600583.SH,X000408.SZ,X000630.SZ,X600098.SH,X000883.SZ,X600352.SH,X600219.SH,X000539.SZ,X600623.SH,X000027.SZ,X600021.SH,X000983.SZ,X002092.SZ,X000060.SZ,X601699.SH,X002470.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.367763158786911,0.00774472977481413,0.0723713267005621,0,0,0,0,0,0.00102766720087846,0.0140170239238114,0,0,0,0,0,0,0,0,0.0316305777043287,0,0,0,0,0,0,0.0597852633175053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109207372718847,0,0,0,0,0,0,0,0,0.00377173409582869,-0.00654798834607962,0,0,0,0,0,0
X600028.SH,0.825458098003683,0,0,0,0,0,0.154995192129188,-0.0202174151031282,0,0,0,0.0203788926810188,0,0,-0.028065648437684,0,0,0,0,0,0,0,0,0.0300881624361132,0,0,0,-0.0186200174352488,0,0,0,-0.0374446122069997,0,0,0,0,0,0,0,0,0,-0.0486937139836511,0,0,0,0,0,0,0,0,0.00793081344316698,0.0151067486587963,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.183328985465936,0,0.0490309378060067,0,0.0560695254027077,0.041419895322407,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122964334847394,0,0,0,0,0,0,0,0,0.0635224210518707,0,0,0,0,0,-0.115944664538187,0,0,0.0659982130755074,0.0104130824171415,0,-3.46944695195361e-18,0,0,-0.00227464547629134,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.345970053451661,0,0,-0.0279042680736483,0,0,0.150925699045806,0,0,0,0,0,0,0.210680289768802,0,0,0,0,0,0,0.0789842648838917,0.0446918534183612,0,0,0.0383677351978171,0,0,0,0,0,-0.0726877683469929,0,0,0,0,0,0,0.153464242357837,0,-0.150271737420963,0,0.00603816830475222,0,0.0104150942258733,-0.0107003030643504,0.0252962515628138,-0.469510148412406,0,0,0,0,0
X600011.SH,0,0.0161525718522639,0,0,0,0,0,0,0,-0.0423678226395609,0.0111382470769245,0.365272767654209,0,0.0208086076061392,0,0,0,0,0,0,0,0,0,0,0,0,-0.0804679047156135,0,0,0,0,0,0,0.0314001769139003,0,-0.0523974158152581,-0.0544287373600743,0,0,0,0,0,0,0,0,0.0603935599516821,0,0,0,0.0774080635100006,-0.0374530788646936,0.0429677944902356,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0.0749362715208885,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00961364012054505,0,0.187162437252025,0,0,0,0,0,0,0,0,-0.0092126852634213,0.0371223243249598,0,0,0,0,0.0813181903191869,0.0714687144673773,0,0.0829319582085849,0,0,0,0,0,-0.0191659834698989,0,0,0,0,0,0,0
X600585.SH,0,0.367578378158516,0,0.0582308259886171,0,0,0,0,0,0.067809954519184,0,0,0,0,0,0,0,0.117836126387349,0,0,0.155917651297884,0,0,0,0,0,0.219213670022764,0.0564164901037488,0,0,0,0.0330786583408812,-0.0399037936635109,0,0,0,0,0,0,0,0,0,0,0,-0.0161456456926152,0,-0.0731456601947841,0,0,-0.171240817601021,-0.00855571307437729,-2.16840434497101e-19,0,0,0,0,0,0
X601898.SH,0,0,0.0981405128209022,0,0,0,0,0,0,0,0,0,0.0526329239826055,0,0.102303302313067,0,0,0,0,0,0,0,0,0,0.0305986816953791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00251597278459619,0,0,0,0,0.188220877801334,0.0177485806456861,0,0.160574187392615,0,-0.0536489730878252,-0.0177942408427262,0,0,0,0,0,0,0
X600688.SH,0,0.114334379471312,0,0,0,0,0,0,0,-0.00619899823095365,0,0,0,0,0,0.119680113020613,0,0,0,0,0,0,0.0877981763018838,0,0,0,0,0.0191159180320786,0,0,0.0584626132200468,0,0,0.322827845435881,0,0.05421492112869,0,0,0,0,0,0,0,0.0737857891397361,0,0.0715095416969015,0,0,0,0,0,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0438765675783748,-0.0830437655625295,0,0,0,0,0,0,0,1.01917312930718,0,0,0,0,0,0,0,0,0,0,0,0,0.0650036385131783,0,0,0,0,0,0,0,-0.0249151504258675,0.19730548743668,0,0,0,0,-0.0273845689459213,0.00785152230527439,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0.0726765098541283,0,0,0.0684642095826187,0,0,0.100717193983948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204278186579346,0,0,0,0,0,0,0,0,0,0.178547496984584,0.402445704054764,0,0,-0.0809287120390172,0,0,0,0,0,0,0,0
X600795.SH,0,0,0,-0.240746316215854,0.0148750592041146,0,0.041884880995757,0,0,0,0.16446455879146,0,0.106494726236959,0,0,-0.0326783175336221,0,0,0,0,0,0.0151076308450763,0,0,0,0,0,0,0,-0.025564950036308,0,0,0,0,0,0,0,0,0,0,0,0.078813787774794,0,0,0,0,0,0,0,0,0,0.00258505242346892,0.121104692937763,0,0,0,0,0
X600362.SH,0,0,0,-0.0594200048122519,0,0,0,0,0,0,0.263705988589844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.111843533925993,0,0,0,0,0.417176888767992,0,0,0,0.117326602050721,0,0.172836359907754,0,-0.0990209478558605,0,0,0,0.0769168124763745,0,0,0.0252745951503814,-0.0382529631375256,0.135682413369428,0,0,0,0,0
X300072.SZ,0,0,0,0,0,0,0,0,0,-0.0053306425510944,0,0,0.140892710079821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109779984464724,0.194882103432741,0,0,0.0931017984496445,0,0,0,0,0,0,0,0,0,0.00243746320600542,0,0,0,0,0,0,0,0.0352448408504798,0,0.0154023700499613,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0.525204673423117,0,0.0857446795930327,-0.00564660546395602,0,0,-0.106946323880644,0,0.213283746563747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100485450491316,0.0637277381828925,0,0,0,0,0,0,0,0,0,0,-0.184808124051295,0,0,0,0,0,0.0608962678495938,0.0565913226033932,-0.039770453907224,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.542491057558533,0,0,0,0,0,0.0686955356842059,0,0.0840408928895968,0,0,0,0,0,0,0,0.132643881274815,0,0,0,0.282028418452804,0,0,0,0,0,0,0,0,0.0821036360529147,0,0,0,0,0,-0.0679216894733981,0.0460138773167741,-0.0373288033896009,0,0,0,0,0,0.230330702909584
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,-0.0345592171011916,0,0.0432802900876578,0.00661648814270483,0,0,0,0,0,0.0394125811798283,0,0,0,0,0,0,0,0.114677972475061,0,0,0.123434505232824,0,0,0,0,0,-0.0125766233113317,0,0,0,0,0,0,0
X600309.SH,0,0,0,-0.0916088859386259,0,0,0,0,0,0,0,0,0,0.105477006352764,0,0,0,0,0,0,-0.0147158313818429,0,0,0,0.117827637642425,0,0,0,0,0,0.127010097041671,0,0,0.370556512123339,0,0.0906524287838629,0,0,0,0,0,0,0.0439869161180803,0,-0.0887005381145963,0,0,0,0,0,-1.73472347597681e-18,-0.0270939225114428,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,0,0,0.0118643521743803,0,0,0.119162339408828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00720895424796385,0.0294567654961273,0,0,0.0213311989110122,0,0,0,0,0,0.0813243621519381,0,0,0,0,0,0,0,0.0450821239460091,0.000288143348879266,0,0,0.0218906483253183,0,-0.0123447766767358,0.0213445132067584,0,0,0,0,0,0
