,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600585.SH,X002460.SZ,X000792.SZ,X600188.SH,X600019.SH,X600111.SH,X600011.SH,X002466.SZ,X000877.SZ,X601600.SH,X600010.SH,X002271.SZ,X000708.SZ,X600660.SH,X601898.SH,X000301.SZ,X600547.SH,X600362.SH,X600886.SH,X600426.SH,X600176.SH,X000723.SZ,X600219.SH,X000408.SZ,X000807.SZ,X601991.SH,X600795.SH,X600803.SH,X000786.SZ,X002080.SZ,X601699.SH,X000983.SZ,X000630.SZ,X600688.SH,X002353.SZ,X600801.SH,X000825.SZ,X000932.SZ,X600141.SH,X600096.SH,X000959.SZ,X600027.SH,X600489.SH,X000960.SZ,X600157.SH,X601168.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,-0.0251776475038599,0,0.0874005482599448,0,0,-0.0609877059322188,0,0,0,0,0,0,0.0501720433930423,0,0,0,0,0,0,0,0,0,0.0791395751110914,0,0,0,0,0,0,0,0,0.097214765321598,0,0.204968875132554,0,0,0,0,0,0.0392739969915917,0,0.0716709587418393,0,0,0,0,-0.00144059207997316,0,0,0,0.0575285886722986,0,0
X601088.SH,0,0,0,0,0,0,0,0.070934978818934,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,-0.274446621783921,0,0,0,0,0,0,0,0,0,-0.0620174863210822,0,0,0,-0.0824869982179213,0.0391203840938104,0.340593621912239,0,0,0,0,0,0,0,0,0,0,0,0.0364976738295392,0,0,0,-0.0463654109918659,0.0420152273379765,0,0,0,0,0,0
X600028.SH,0.237497813593378,0,0,0,0,0,0,0,0,-0.0321745710656458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177246447932007,0,0,0,0,0,0,0.0762914843351652,0.0231907269655077,0,0,0.0310220560358912,0,0,0,0,0.0204473188940669,0,0,0,0,0,0,-0.00625949013602255,-9.19082539068746e-05,0,0,0,0.000376359259568913,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0661077068713599,0,0,0,0.043426576495822,0,0,0,0,0,0.0275997106525328,0.00684946348447935,0.0901747752397604,-0.0127254008388666,0,0,0.0408665932734261,0,0,0,0,0,0,0,0,0,0,0,0,0.0216235629025065,0.0176986006271962,0,0,0,0.125490037006501,0,-0.0107936760191309,0,0,0,0,-2.71050543121376e-20,0,0
X600585.SH,0,-0.00694889313832519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0830006106809778,0,0,-0.0182018303098195,0,0,0,0.442121904066002,0,0,0,0,0,0,0,0,0,0,0,0,-0.00584418327575185,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0.309075842049799,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104973561705442,0,0,0,0,0,0,0,0.222062144343623,0,0,0,0,0,0,0,0,0,0.128096208517617,0,0,0,0,0,0.0884731445337404,0.031391339364905,0,-0.0130280546608371,0,0,0,-0.023790886709377,0,0
X000792.SZ,0,-0.0774118143709508,0,0,0,0,0,0,0,0.351061282713092,-0.0199536150847859,0.261512666011378,0,0,0,-0.0115400020991667,0,0,-0.051708989402268,0,0,0,0,0,0,0.167035498961899,0.114038470333081,0,0,0,0,0,0,0,0,0,0,0,0.0316792546074793,0,-0.416967333598328,0,0,0.188251264418239,0,0,0,0,0,0,0,0,0.0157205805207873,0,0,0,0,0,0
X600188.SH,0,0.0216704367752918,0,0,0,0,-0.0315454145255167,0,0,0,0.105140370625711,0,0,0.0353947891330966,-0.084732889991638,0,0,0,0.200638305344263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167094826352091,0.309644684187905,0,0,0,0,0,0,0,0,0,0,0,-0.1134830504813,0,0.207394755194897,0,-0.0742380939668865,0.119451043027639,0,0,0,-8.67361737988404e-19,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0.0415941684274677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0.189016161376466,0.149214778497057,0,0,0,0.2230649783026,0.0773583624536347,0,0.0603437014431868,0,0.025496733454621,0,0,-0.00622705660849848,0,0,0,-8.67361737988404e-19,0,0
X600111.SH,0,0,0,0,0,0,0.0469518822408002,0.0358063371268278,0,0,0,0.0605640175344729,0,0,0.0823732542494923,0,0.163407283111044,0,0,0,0,0,0,0,0,0.0283658755670602,0,0.0391697655140405,0.107829547977722,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202419676158901,0.00538670011352348,0,0,0,0,0,0,0,0.0245845642086979,0,0,0,0,0,0,0
