,X601857.SH,X600028.SH,X601088.SH,X600010.SH,X600011.SH,X601898.SH,X600019.SH,X600585.SH,X601600.SH,X600886.SH,X600795.SH,X601991.SH,X600688.SH,X600027.SH,X000709.SZ,X600157.SH,X600111.SH,X600188.SH,X600362.SH,X600583.SH,X002075.SZ,X601158.SH,X000027.SZ,X600021.SH,X000539.SZ,X000898.SZ,X601992.SH,X600309.SH,X000883.SZ,X002353.SZ,X601918.SH,X000629.SZ,X600352.SH,X600098.SH,X600022.SH,X600307.SH,X000792.SZ,X000878.SZ,X000060.SZ,X002470.SZ,X600863.SH,X600808.SH,X600660.SH,X600160.SH,X600578.SH,X600489.SH,X000825.SZ,X600547.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.952916903323803,0,0,0,0,0,0,0,0,0,0,0,0,0.0151812264081648,0,0,0,0,0,0,0,0,0,0,0,-0.14663104087569,0,-0.0118052221680607,0,0.0320900775850264,0,0,0,0,-0.0145049358729085,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0150766119335355,-0.0600571314677891,0,0.0254133372293418,0,0,0,0
X600028.SH,0.447518250925805,0,0.0162359713666526,0,0,0,0.141753650646907,0,0,0,0,0,0,0,0,0,0,0.0830926567711618,0,0.072464498515017,0,0,0.0218951456456523,0,0,0,0,0,0,0,0.0590393402377009,0,0,0,0,0,0.0234275945219579,0,0,0,0,0,0,0,0,0,0,0,0,0.0250781077619754,0,0.0517479371580692,0,0,0,0,0
X601088.SH,0,0,0,0.0835705449557676,0,0.0803119557840423,0.148007838604982,0,0,0,0,0.052657717338012,0,0,0,0,0,0.0603796668055946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151826138343852,0,0,0.110303020187122,0,0,0,0,0,0,0,0,0,-0.00849334946431298,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.178898152864553,0.118252325795777,0,0,0.0539655344982707,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154604068365544,0,0,0.189501594659172,0,0,0,0,0,0,0,0,-0.00347230300099253,0,0,0,0,0,0
X600011.SH,0,0,0,-8.67361737988404e-19,0,0.203058175669541,0,0,0,0,0,0,0,0.12878975881651,0,0,0,0,0,0,0,0,0,0,0,0.0468738388265801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0162027123344465,0,0,0.368953842011935,0,0,0,0,0,-0.00526384771169094,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.200932811752721,0,0,0,0,-2.16840434497101e-19,0,0,0,0.318526869378134,0,0.296528571030896,0,0,0,0,-0.0592003781862582,0,0,0,-0.0345357430887205,0,0.123020971219053,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,-0.00268458489376877,-0.0342791534551735,0,0,0,0,0,0
X600019.SH,0,0.0383436622948156,0.20925154103985,0,0.0956507012322936,0,0,0,0,0,0,0,0.0494359256809985,0.127139063913312,0,0,0,0,0,0,0,0,0,0,0,0,0.156468669004998,0.0179505184827765,0,0,0.0399938332533864,0,0,0.00956266668377583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0124029601791636,0,0,0,0,0,0
X600585.SH,0.0366065704498649,0,0.0158622617564161,0,0.121513062773257,0,0,0,0.0928911784990196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126999192510442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217490421018402,0,0,0,0,0,0,0,-0.0316669381202643,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0.0589934754817439,0,0,0,0,0,0,0.0255500691268093,0.116626871972053,0,0,0,0,0,0.048902478898332,0,0,0.0792491404414506,0,0,0.0708375350271444,0,0,0,0,0.0188520580733379,0,0,0,0,0,0,0,0,0,0,0.0263238816242372,0,0,0.0905852290706341,0,0,0,0,0,0,0,0,0,0,0,0
X600886.SH,0,0,0,0.0118376895175904,0,0,0,0,0,0,0,0,0,0,0.351435587257679,0.00711885905659594,0,0,0,0,0,0,0.039186499002642,0,0.0738678501558995,0,0,0,0,0,0,0,0,0,0,-0.0378715663655549,0,0,0,0.00365235201960672,0,0,0,0,0,0,0,0,0,-0.0705059872780598,0.0292482342967161,0,0,0,0,0,0
