,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X600660.SH,X601898.SH,X601991.SH,X002466.SZ,X600688.SH,X600188.SH,X600886.SH,X600795.SH,X601600.SH,X600362.SH,X300072.SZ,X600027.SH,X600516.SH,X000898.SZ,X600547.SH,X002460.SZ,X600111.SH,X600352.SH,X600176.SH,X000553.SZ,X601992.SH,X000786.SZ,X600426.SH,X002110.SZ,X000709.SZ,X600299.SH,X000408.SZ,X600808.SH,X000883.SZ,X600315.SH,X600801.SH,X601158.SH,X000830.SZ,X000932.SZ,X600219.SH,X002271.SZ,X000792.SZ,X601699.SH,X000539.SZ,X600489.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.317011639038966,0,0,0,0,0,0,0,0,0,0,0,0.0437247441541167,0,0,0.0474579893619411,0,0,0,0,0,0.0746548714085788,0,0,0.0457059418303753,0,0,0,0,0,0,0,0,0,0,0,0.0109579246946883,0,0,0.147310756135958,0,0,0,0.00613583210874101,0.0732122646688571,0,0,0,0.00511954138947102,0.0163317649028157,0,0,0,0,0,0
X600028.SH,0.13707611208929,0,0.221755046123803,0,0,0,0,0,0,0,0,-0.0524667674499477,0,0.0399317352722351,0,0,0,0,0,0,0,0,-0.0959158715089205,0,0,0,0,-0.0933873046210465,0,0,0.0114980342440855,0,0,-0.0612463739263492,0,0,0,0,0,0,0,0,0,0,0,0.0579182821352766,0,0,0,0.00786072016029714,0,0,0,0,0.158833398681278,0,0
X601088.SH,0,0,0,0.194022462999356,0,0,8.67361737988404e-19,0,0,0,0,0,0.103596665771418,0.594486121278847,0,0,0,0,0,0,0,0,0.0243158720949212,-0.0242354545127282,0,0,0,-0.083387355177495,0,-0.0633216894828097,0,-0.166462452966642,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0182595093005919,0,0,0,-0.00170484915658939,-0.00227735333239517,0,0,0,0,0,0
X600585.SH,0,0,0.146798470414546,0,0,0.0899516517327257,0,0,0,0,0,0.0663907817208506,0.291039714610493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18958472945176,0,0,0,0,0,0,0,0.111260960174188,0.283645139123319,0,0.0614672718396709,0,0,0,0,0,0,0,0,-0.0265528757277004,0.0186973831609584,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.142146228926046,0,0,0,0,0,0,0,0.394766841983875,0,0,0,0,0,0,-0.0585582329977865,0,0,0,0,0,0.0323380141620326,-0.0676098911556686,0,0,0,0,0,0,0,0.223658739500879,0,0,0,0,0,0,0,0,0,0.0147660537399431,0,0,0,-0.00562156616162205,0.0518201091354084,0,0,0,0.023614129884019,0,0
X600309.SH,0,0,0.138290718719858,0.0331575633279807,0,0,0,0,0,0,0,-0.223486516295331,0,0,0,0.199676236693401,-0.07752933053575,0,0,0,0,0,0,0,0,0,0,0,0,0.121048215685955,-0.0812817823787443,-0.0608195092358433,-0.180703192031502,0.266895260174496,0,0,0,0.000200115098090571,0,0,0.188864299345903,-0.0695075732461736,0,0,0,0,0,0,0,0.0440351749822111,0.0633442428577615,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,-0.00831675663143862,0,0,0,0,0.161264257423206,0,0,0,0.0476033166321427,0,0,0,0.0464264485390475,0.150565929547221,0.0107500866047155,0,0,0.0572058999123581,0,0,0,0,0,0,0,-0.0183322299869511,0,0,0,0,0,0.0577285393750682,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0.00690460621690722,-0.0281337721215856,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0500731727239282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066699025819839,0.488205945492,0,0,0,0,0,0,0,0,0,0,0,0.179621185775475,0,0.0195444938842057,-0.098057643816741,0,0,0,0,0,0
X600660.SH,0,0,0,0,-0.0721139160469027,0,0,0,0,0,0,0,0,0,-0.319956584998997,0,0,0,0,0,0,0,0,-0.00679873922916315,0,0.203917664167726,0.0946134692763852,0,0,0.0202336884610383,0,0,0,4.33680868994202e-19,-0.233721292716204,0,0,-0.0302283555229884,0,0,0,0,0,0,0,0,0,0,0,0.0215907548069006,0.0280210579392691,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00705146131438851,0,0,0.0550955532569962,0,0,0,0.189810514820526,0,0,0,0,0,0.0507527993157797,0,0.118069284859452,0,0,0,0,0,0,0,0,0,0,0,0.00544000497483187,0,0,0,0.0679936027055454,0,0,0,0,0.00671581101413515,0,0,0,0,0,0,0
