,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X600585.SH,X002460.SZ,X002466.SZ,X000792.SZ,X600019.SH,X601898.SH,X600011.SH,X600660.SH,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X002271.SZ,X600547.SH,X601600.SH,X000877.SZ,X600886.SH,X600795.SH,X600426.SH,X600362.SH,X600176.SH,X601699.SH,X601991.SH,X600027.SH,X600803.SH,X000983.SZ,X000786.SZ,X600995.SH,X000629.SZ,X600096.SH,X600160.SH,X000408.SZ,X600219.SH,X000723.SZ,X000807.SZ,X002080.SZ,X600489.SH,X000933.SZ,X600348.SH,X600378.SH,X600141.SH,X600688.SH,X600157.SH,X000932.SZ,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.587456389735801,0,0,0,0,0,0.00158552293295227,0,0.267914936596174,0,0,0,0,0,0,0,0,0.030202212160072,0,0,0,0,0,0,0,0,0,0,0.0807584272842008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00501294435779227,0,0,0,0.0534974602986674,0,-0.0207810616673745,-0.023909387267609,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.43092171120801,0,0,0,0,0,0,0,0,-0.0154520746346315,0,0,-0.0757675506703678,0.0158216003411785,0,0,1.73472347597681e-18,0,0,0.0276884670158961,0,0.0630188621366021,0.0349482621180304,0,-0.0099750624002148,0.126756321798939,-8.67361737988404e-19,0,0,0,0,0.0513552200299012,6.57293888074641e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00631752696651026,0,0,0,0,0,0,0
X600028.SH,0.569899081158935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00908268069251649,0,0,0,0,0,0,0,0,0,0,0.066686984757719,0,0.0711162006442829,0.0037358950076235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00288951877495292,-0.01676990764693,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028231450126776,0,0,0.126678465516627,0,0.109762323124374,0,0,0,0,0.295194238670785,0,0,0,0,0.133793966214015,0,0,0.190734042926618,0,-0.134648724390919,0,-0.0864008411994144,0,0,0,0.053514834711819,0.0534156779546829,0,0,-0.214954463584468,0,0,0,0,0,0,0,0,-0.0235336399243324,0,0,0,0,0,0
X600188.SH,0,0.739266387605401,0,0,0,0,0,0,0,0,0.0643976177630828,0,0,0,0,0,0.0990102551127534,-0.0791902529467902,0,0,0,0,0,0,0,0,0.0310998989990802,0,0,0.0193719596542215,0.0347845731187469,0,0,0.0486390017478433,0,0,-0.0822137606951737,0,0,0,0,0,0.24268511134165,0,0,-0.043962294029492,0,0,0,0,0,0.00266698828134673,0.0642531579902144,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,-0.0586546675337467,0,0,0,0,0,0,0,0.251678908881549,0,0,0,0,0.24917907737074,0,0.0637090800486424,0,0,0,-0.00667033491616111,0.0787688711471834,0.0259623053615999,0,0,0.36203835289845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00127323565346301,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.422666518626363,0.131427146028359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0397494353425135,0,0,0,0,0.107764946832392,0,0,0.00786555169304681,0,0,0,0,0,0,0,0.0045452893831675,0.0297882629333242,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0.633966036109808,0,0,0,0,0,0,0,0,0,0,0.170561575084856,0,0,0,0,0,0,0,0,0.0982421842400276,0,0,0,0,-0.119006892318387,0,0.139738190606033,0.186855135915925,-0.0332924911215903,0,0,0,0,0,0,0,0.0746013380216902,0,0,-0.0543411100903177,0,0,0,0,-0.0205614405757778,-0.0393350821357671,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0.244597215594451,0.0844676448376292,0,0,0,0,0,0.214149683731331,0,0,0,0,0,0,0.132183940548202,0,0,0,0,0,-1.73472347597681e-18,0,0,-0.0282031286312679,0,0,0,0.0426055858173273,0,0,0.046661822379859,0,0.0106612791714968,0.0534047409046295,0,0,0,0,0,0.0290015483805096,0,0,0,0,0.106036047512004,-0.0138038099020793,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0.0502315872895216,0,0,0,0,0,0,0,0.329464972354138,0.00398171647196886,0,0,0.120889957604927,0,0,0,0,0,-6.93889390390723e-18,0,0.186545643098071,-0.103313615613182,-0.0247319016309024,0,-0.10650626249591,0,0,0,0,0,0,0,0,0,0,0.11545315622438,0,0.0673587937277897,0,0,-0.00164058922430692,0.00655735423131015,0,0,0,0,0,0
